58b95b7ee8716f78d84ae8b74eb284ae34451d191e7de6bef6206a9fe619af58,0f2cda16bf388e69dcea3138f0c924cdd03eb0f62c68e358d4dea5aca5a6ced7,6bf1530a928908354a652c3f350a0ff6e3f7d158ad742e5cefd043ecf7ee1076,54e6faa2100f99e0eb1a54b0c90dfb99d94457f7010bba5ff05979192b7e4c0e,3e0a37ececeb0e91fb83b85a66ffc803392de183389b140113ebf3ad9dcc0f94,93f68d2211616d394a94ba9ca1eee99e3664b74421a5273fb88fbbbc887b6ccc
"212","211","1","803100263","2146041","3001"
"212","211","1","803100263","2146042","3002"
"212","211","1","803100263","2146043","3003"
"212","211","1","803100263","2146044","3004"
"212","213","1","803100272","2147041","3006"
"212","213","1","803100272","2147042","3007"
"313","202","1","803100253","2145039","30011"
"302","105","0","803100253","2145040","30012"
"311","204","1","803100256","2145069","30021"
"312","205","1","803100256","2145070","30022"
"310","212","1","803100259","2145099","30031"
"301","107","0","803100259","2145100","30032"
"307","110","0","803100262","2146039","30041"
"302","105","0","803100262","2146040","30042"
"314","203","1","803100267","2146081","30051"
"312","205","1","803100269","2147019","30061"
"303","106","0","803100269","2147020","30062"
"313","202","1","803100271","2147039","30071"
"310","212","1","803100271","2147040","30072"
"100","104","0","803100251","2145011","300101"
"100","104","0","803100251","2145012","300102"
"102","105","0","803100251","2145013","300103"
"100","104","0","803100251","2145014","300104"
"102","105","0","803100251","2145015","300105"
"103","106","0","803100251","2145016","300106"
"102","105","0","803100251","2145017","300107"
"103","106","0","803100251","2145018","300108"
"111","204","1","803100251","2145019","300109"
"100","104","0","803100251","2145020","300110"
"100","104","0","803100252","2145021","300111"
"102","105","0","803100252","2145022","300112"
"100","104","0","803100252","2145023","300113"
"102","105","0","803100252","2145024","300114"
"103","106","0","803100252","2145025","300115"
"102","105","0","803100252","2145026","300116"
"103","106","0","803100252","2145027","300117"
"111","204","1","803100252","2145028","300118"
"100","104","0","803100252","2145029","300119"
"100","104","0","803100252","2145030","300120"
"102","105","0","803100253","2145031","300121"
"100","104","0","803100253","2145032","300122"
"102","105","0","803100253","2145033","300123"
"112","208","1","803100253","2145034","300124"
"110","212","1","803100253","2145035","300125"
"100","104","0","803100253","2145036","300126"
"102","105","0","803100253","2145037","300127"
"103","106","0","803100253","2145038","300128"
"101","107","0","803100254","2145041","300201"
"101","107","0","803100254","2145042","300202"
"102","105","0","803100254","2145043","300203"
"103","106","0","803100254","2145044","300204"
"113","202","1","803100254","2145045","300205"
"114","203","1","803100254","2145046","300206"
"101","107","0","803100254","2145047","300207"
"113","202","1","803100254","2145048","300208"
"114","203","1","803100254","2145049","300209"
"101","107","0","803100254","2145050","300210"
"101","107","0","803100255","2145051","300211"
"102","105","0","803100255","2145052","300212"
"103","106","0","803100255","2145053","300213"
"113","202","1","803100255","2145054","300214"
"114","203","1","803100255","2145055","300215"
"101","107","0","803100255","2145056","300216"
"113","202","1","803100255","2145057","300217"
"114","203","1","803100255","2145058","300218"
"101","107","0","803100255","2145059","300219"
"101","107","0","803100255","2145060","300220"
"102","105","0","803100256","2145061","300221"
"103","106","0","803100256","2145062","300222"
"101","107","0","803100256","2145063","300223"
"112","208","1","803100256","2145064","300224"
"110","212","1","803100256","2145065","300225"
"102","105","0","803100256","2145066","300226"
"103","106","0","803100256","2145067","300227"
"101","107","0","803100256","2145068","300228"
"100","104","0","803100257","2145071","300301"
"101","107","0","803100257","2145072","300302"
"101","107","0","803100257","2145073","300303"
"113","202","1","803100257","2145074","300304"
"114","203","1","803100257","2145075","300305"
"100","104","0","803100257","2145076","300306"
"101","107","0","803100257","2145077","300307"
