16e8e5118d8fc3910c85e95871755f67f6c9ef2c139d2a476041635f7465800c,7e2b431af68a45b6f5fc3d50757a725b0a1264f8a170ba2413a5e3dc08468a78,3bc455a2fe050a8a15e7d6b0722c2ef877247e62c00878b3d5ccd4f0b5548c2e,47c96f20b240e98d49791df4d2ce09507b415fde721f5f242812b84ba0f9fa9e,9b3d1ef055e18caa196ad46e962f771d0cd657eb2983d8109b527c75643cc61e,82cf821533a45be8f66cb6b65e05f928a138c86354fcbb428fa4912fb0c8a7f9,c074f7674145542a182738aa3ca847b690f094e992f30789ad0d201edc193469,5698540feb0b4303a7570cbc032a4dbcaef05ad8f0dc3872afea98afaba4fa63,b73d6d561b98263e3dc4b9e890a51aba4a5afb17e80a136ff9cba66eb30b24c5,9383a48b278c16eeef8b54c8338a24fdbeb69ed5da4d2685aa4779b1e4ffcc35,a4791f9028b272cae7adbb7a6c481d4bec7efacb7822bccfa58a2c58fae97a82,8cce57c01df75243f7d07b641352e99166854ed8e35eff363cbae97b386eea8c,59107bc9e2df5febdf72970e988bdb23a872c3b4a0731234b26b1b455e62ee77
"100001","ヤマト","130011","0","0","0","10000101","攻撃力を15％アップさせ、攻撃速度を10％\nアップさせる。","攻撃力と攻撃速度を小アップ","2210101","0","0","2"
"100002","ワカナ","130111","0","0","0","10000201","最大HPを15％アップさせ、攻撃速度を10％\nアップさせる。","最大HPと攻撃速度を小アップ","2210201","0","0","2"
"100003","フブキ","130211","0","0","0","0","バトル開始から３秒間、敵の移動速度と攻撃\n速度を15%ダウンさせる。","敵の移動速度と攻撃速度を小ダウン","2210301","0","0","2"
"100004","ペコリーヌ","105811","0","0","0","10000401","最大HPを25％アップさせる。","最大HPを中アップ","0","1","0","2"
"100005","キャル","106011","0","0","0","0","バトル開始から３秒間、敵の移動速度を25％\nダウンさせる。","敵の移動速度を中ダウン","2210501","2","0","2"
"100006","コッコロ","105911","0","0","0","10000601","コスト上限を50％アップさせる。","コスト上限を大アップ","0","3","0","2"
"100007","シェフィ","106411","0","0","0","0","移動速度を25％アップさせる。","移動速度を中アップ","2210701","4","0","3"
"100008","リリ","131311","0","0","0","10000801","攻撃力を15％アップさせ、移動速度を10％\nアップさせる。","攻撃力と移動速度を小アップ","2210801","5","0","2"
"100009","クリア","131411","0","0","0","10000901","最大HPを15％アップさせ、移動速度を10％\nアップさせる。","最大HPと移動速度を小アップ","2210901","6","0","2"
"100010","プレシア","131511","0","0","0","10001001","コスト上限を25％アップさせ、移動速度を\n10％アップさせる。","コスト上限と移動速度を小アップ","2211001","7","0","2"
"100011","クローチェ","126411","0","0","0","10001101","攻撃力を10％アップさせ、バトル開始から\n３秒間、攻撃速度を15％アップさせる。","攻撃力と攻撃速度を小アップ","2211101","8","0","2"
"100012","ライラエル","126511","0","0","0","0","バトル開始から３秒間、攻撃力を25％アップ\nさせる。","攻撃力を中アップ","2211201","9","0","3"
"100013","リンド","127711","0","0","0","0","バトル開始から３秒間、攻撃速度を10％アッ\nプさせ、その後、攻撃力を25％アップさせる。","攻撃速度と攻撃力をアップ","2211301","10","0","2"
"100014","ヴルム","127811","0","0","0","0","バトル開始から３秒間、自分の攻撃速度を\n10％ダウンさせ、その後、敵の攻撃力を25％\nダウンさせる。","自分の攻撃速度と敵の攻撃力をダウン","2211401","11","0","2"
"100015","クルル","130911","0","0","0","10001501","コスト上限を25％アップさせ、HPを15％\nアップさせる。","コスト上限とHPを小アップ","0","12","10001502","3"
"100016","アネモネ","129611","0","0","0","0","敵の攻撃力と攻撃速度を10％ダウンさせる。","相手の攻撃力と攻撃速度を小ダウン","2211601","13","0","2"
