414426f3d8ccab2919d14e2b81abe391a18aded333ee88c162513d02f08a7b90,573a1d83bff3fd3b65c2c3b056f0e621bc816b65833d7ff1f8f58b65c63a676a,6b6876653eaeee07595bd7a7fefaf14a82e0879573f81ec5354d95698c3334ce,53b57269e139c6649233b9d2b7902bc0e0f7b41c75997135a435d28d034903c4,01ec8e07b2414c80610f2976b6197763c1360bd5137a9116d743b8e973019e7c,39645def0c26fd118fd912c1e55f13b43cf0d61a0ed4b41dc1097431a7f8e640,1fd8e337fd23c156e1c04c7daade4e3ebbb1d5b63505f216ecf10da480a28919,c5c7004ed5f3ee9aa4c377b827187c888bfbdb2e5a17bab020fba4b6bf1dd2e2,a4c45d8a4e5047f0ffd32920850274fe702162dafd0c3a257e040c37a98008a4,580ba63097dce32fd670bc9fc40d0128c6cee2f935835a54598b92a1e13e94d1,364e4fe0b1450d59535e44fc2e1c877be8aed21bf3232c2d9f737cc8fc9fc407,c69d39cef54186d9a5ccdbf211264cbef0742387610f9e977d4e4d7af8b28c8b,69b1a529c754d7167f931f0ecca54ffd6ab0e238168b003a93ca349235c42f67,c99e3c4a66ccda858d1bed3a73ce3010057352c21d3a02153723bc0cdd63d60b,d039327170cac9c8cc974bda6dbd78ceca90d948dd05a2649040221861a2d32d,975290e38b4896f5fded84b0bfab772c35c4fc371e8f0f119a7e70e1db9b5750
"1001101","91002","40","2","0","2","8","22002","0","0","40","0","90006","0","0","1"
"1001102","91002","50","2","0","2","8","22002","0","0","60","0","90006","0","0","2"
"1001103","91002","60","2","0","2","8","22002","0","0","80","0","90006","0","0","3"
"1001104","91002","80","2","0","2","8","22002","0","0","100","0","90006","0","0","4"
"1001105","91002","150","2","0","2","8","22003","0","0","200","0","90006","0","0","2"
"1001106","90006","1","0","0","2","2","0","0","0","20","0","22002","0","0","0"
"1001107","90006","1","0","0","2","2","0","0","0","20","0","22002","0","0","0"
"1001108","90006","1","0","0","2","2","0","0","0","20","0","22002","0","0","0"
"1001109","90006","1","0","0","2","2","0","0","0","20","0","22002","0","0","0"
"1001110","90006","1","0","0","2","2","0","0","0","20","0","22003","0","0","0"
"1002101","91002","40","2","0","2","8","22002","0","0","40","0","90006","0","0","1"
"1002102","91002","50","2","0","2","8","22002","0","0","60","0","90006","0","0","2"
"1002103","91002","60","2","0","2","8","22002","0","0","80","0","90006","0","0","3"
"1002104","91002","80","2","0","2","8","22002","0","0","100","0","90006","0","0","4"
"1002105","91002","150","2","0","2","8","22003","0","0","200","0","90006","0","0","2"
"1002106","90006","1","0","0","2","2","0","0","0","40","0","22002","0","0","0"
"1002107","90006","1","0","0","2","2","0","0","0","40","0","22002","0","0","0"
