5fad39ebaf4a544de4b1d3eaf71dd6c4741a178bd09b57cbc089cc6a2dacbbba,bb86474d77bef84ca0676152dbb750b9e8702e4c558c043f53b9e10bc2bf057f,47be9bf91688ea49928a9a25b9a7ecfbe706f31dc4b77680141484a0de2fefb1,518174f7617025cf0b9315506b0e1fd8b01492b60ea08307aaadb0add80c3cdc,9cb463f127297daf75e70563e972a50d569f49c51e984b925566b82858dd31f5
"6017101","信頼度","10053","10053102","1"
"6102101","信頼度","10129","10129106","1"
"6104101","信頼度","10131","10131114","1"
"6114101","信頼度","10141","10141107","1"
"6144101","信頼度","10144","10144102","1"
"6124101","信頼度","10151","10151110","1"
"0","信頼度","20015","0","1"
"0","信頼度","20017","0","1"
"0","信頼度","20018","0","1"
"0","信頼度","20019","0","1"
"0","信頼度","20020","0","1"
"0","信頼度","20022","0","1"
"0","信頼度","20023","0","1"
"0","信頼度","20024","0","1"
"0","信頼度","20025","0","1"
"0","信頼度","20026","0","1"
"0","信頼度","20028","0","1"
"0","信頼度","20029","0","1"
"0","信頼度","20030","0","1"
"0","信頼度","20031","0","1"
"0","信頼度","20032","0","1"
"0","信頼度","20035","0","1"
"0","信頼度","20037","0","1"
"0","信頼度","20038","0","1"
"0","信頼度","20042","0","1"
"0","信頼度","20043","0","1"
"0","信頼度","20048","0","1"
"0","信頼度","20049","0","1"
"0","信頼度","20051","0","1"
"0","信頼度","20054","0","1"
