68bb4ea01d519120a547d058a6f52bca64c0ab6ef5988d6a883794d1411d94f1,92d8f5b5b0a072b81c2a075226b7b66fa535f32a2acaabb1e086ac9c6e174aca,da9929092ed6e7d3a77bf70867741052dcde9e353503f6b99a0b8a3b2309af8c,48edbdac3d8d71038172e3fe61b5788e87ca172d9d57974c64379983657b4b13
"2","20","1","20"
"3","30","1","30"
"3","50","2","80"
"3","80","3","160"
"4","60","1","60"
"4","100","2","160"
"4","180","3","340"
"4","360","4","700"
"4","500","5","1200"
"5","100","1","100"
"5","160","2","260"
"5","280","3","540"
"5","480","4","1020"
"5","780","5","1800"
"6","100","1","100"
"6","160","2","260"
"6","280","3","540"
"6","480","4","1020"
"6","780","5","1800"
"7","100","1","100"
"7","160","2","260"
"7","280","3","540"
"7","480","4","1020"
"7","780","5","1800"
"8","100","1","100"
"8","160","2","260"
"8","280","3","540"
"8","480","4","1020"
"8","780","5","1800"
"9","100","1","100"
"9","160","2","260"
"9","280","3","540"
"9","480","4","1020"
"9","780","5","1800"
"10","100","1","100"
"10","160","2","260"
"10","280","3","540"
"10","480","4","1020"
"10","780","5","1800"
