01715f389fca5082a54c7920843c4e1cc7a4abc5eeebced39ef3e18f2c9bee70,54fabc7f4efe27e3a84800a3cbee21c17c32aaec240f39f7a7864350ac21f76e,55d510d0042572de521184ffa6ba933e05a3e4032ef49b557ad5125d69c63b54,5b63ebb5d55cfe3cfa14dca9b30e869b75902b1dcf0265c44c4add2c7e7a6a1a,3f9d10908c998a506c51fe7dd3b97c60ec758ec4af2a1b02b0a9a818ac0a8852,4ebefd6138e9185715df3226afa6484fbcbb1ce639b030f9eea29888d9c8d154,150645354d73dff1909f06c8a2de1eb5d632d8831c48cc510cd7c33a4179c10a,cf1cde3262e10543d7b1655155f8568bd27599fc6df279197443867ebd1d9bd5,b51954749110c46634e6191725473b61f24804b9997378aee6dca5347fd953d2,5684e7ccd1d1422a72368a6947cd831bb86a2cfa8f15c89c68a826cb69fb60fb,9cd114f764b1242fadb0a8a331cdd98316c1035027e7dcd9ec6d38991ebb5ebd
"7000","2021/08/24 11:59:59","10","0","1000","1","10000101","10000101","1回バトルしよう","2021/08/17 12:00:00","0"
"7000","2021/08/24 11:59:59","10","0","1000","5","10000102","10000102","5回バトルしよう","2021/08/17 12:00:00","0"
"7000","2021/08/24 11:59:59","10","0","1000","10","10000103","10000103","10回バトルしよう","2021/08/17 12:00:00","0"
"7000","2021/08/24 11:59:59","10","0","1000","15","10000104","10000104","15回バトルしよう","2021/08/17 12:00:00","0"
"7000","2021/08/24 11:59:59","10","0","1000","20","10000105","10000105","20回バトルしよう","2021/08/17 12:00:00","0"
"7000","2021/08/24 11:59:59","10","0","1000","25","10000106","10000106","25回バトルしよう","2021/08/17 12:00:00","0"
"7000","2021/08/24 11:59:59","10","0","1000","30","10000107","10000107","30回バトルしよう","2021/08/17 12:00:00","0"
"7000","2021/08/24 11:59:59","10","0","1000","35","10000108","10000108","35回バトルしよう","2021/08/17 12:00:00","0"
"7000","2021/08/24 11:59:59","10","0","1000","40","10000109","10000109","40回バトルしよう","2021/08/17 12:00:00","0"
"7001","2021/08/24 11:59:59","50","0","1005","3000000","10050501","10050501","ミソラに累積300万ダメージ与えよう","2021/08/17 12:00:00","1005"
"7001","2021/08/24 11:59:59","50","0","1005","9000000","10050502","10050502","ミソラに累積900万ダメージ与えよう","2021/08/17 12:00:00","1005"
"7001","2021/08/24 11:59:59","50","0","1005","15000000","10050503","10050503","ミソラに累積1500万ダメージ与えよう","2021/08/17 12:00:00","1005"
"7002","2021/08/24 11:59:59","51","1000000","1005","1","10050511","10050511","ミソラに1度のバトルで100万ダメージ与えよう","2021/08/17 12:00:00","1005"
"7002","2021/08/24 11:59:59","51","3000000","1005","1","10050512","10050512","ミソラに1度のバトルで300万ダメージ与えよう","2021/08/17 12:00:00","1005"
"7001","2021/08/24 11:59:59","60","0","1006","5000000","10060601","10060601","ランファに累積500万ダメージ与えよう","2021/08/17 12:00:00","1006"
"7001","2021/08/24 11:59:59","60","0","1006","15000000","10060602","10060602","ランファに累積1500万ダメージ与えよう","2021/08/17 12:00:00","1006"
"7001","2021/08/24 11:59:59","60","0","1006","24000000","10060603","10060603","ランファに累積2400万ダメージ与えよう","2021/08/17 12:00:00","1006"
"7002","2021/08/24 11:59:59","61","2000000","1006","1","10060611","10060611","ランファに1度のバトルで200万ダメージ与えよう","2021/08/17 12:00:00","1006"
"7002","2021/08/24 11:59:59","61","5000000","1006","1","10060612","10060612","ランファに1度のバトルで500万ダメージ与えよう","2021/08/17 12:00:00","1006"
"7001","2021/08/24 11:59:59","70","0","1007","3000000","10070701","10070701","アゾールドに累積300万ダメージ与えよう","2021/08/17 12:00:00","1007"
"7001","2021/08/24 11:59:59","70","0","1007","9000000","10070702","10070702","アゾールドに累積900万ダメージ与えよう","2021/08/17 12:00:00","1007"
"7001","2021/08/24 11:59:59","70","0","1007","15000000","10070703","10070703","アゾールドに累積1500万ダメージ与えよう","2021/08/17 12:00:00","1007"
"7002","2021/08/24 11:59:59","71","1000000","1007","1","10070711","10070711","アゾールドに1度のバトルで100万ダメージ与えよう","2021/08/17 12:00:00","1007"
"7002","2021/08/24 11:59:59","71","3000000","1007","1","10070712","10070712","アゾールドに1度のバトルで300万ダメージ与えよう","2021/08/17 12:00:00","1007"
"7001","2021/08/24 11:59:59","80","0","1008","5000000","10080801","10080801","カリザに累積500万ダメージ与えよう","2021/08/17 12:00:00","1008"
"7001","2021/08/24 11:59:59","80","0","1008","15000000","10080802","10080802","カリザに累積1500万ダメージ与えよう","2021/08/17 12:00:00","1008"
"7001","2021/08/24 11:59:59","80","0","1008","24000000","10080803","10080803","カリザに累積2400万ダメージ与えよう","2021/08/17 12:00:00","1008"
"7002","2021/08/24 11:59:59","81","2000000","1008","1","10080811","10080811","カリザに1度のバトルで200万ダメージ与えよう","2021/08/17 12:00:00","1008"
"7002","2021/08/24 11:59:59","81","5000000","1008","1","10080812","10080812","カリザに1度のバトルで500万ダメージ与えよう","2021/08/17 12:00:00","1008"
