9afc10fe5d3bf548f164df7d91bb0e578c50c311f5846af05bb5210b19febe66,de6f6a10efd93e280b3e9834a2bd281b96e5cec2bf6590d17111614388452c29,e294ecd469e3da63799cb83491ed0128740d9ca45b81eb2419e703ab5b7ce408,829759482770f96673efafd89d5d6ee4685aba0bf66672ec630e61d7d5b59bbb,d5adb6c99e6feff19ba476ce3e38413c32cf22f58b920c849cc66a0d085e4a92,dcbcbf3df9c7598ad520967f259ef114e8ffa29a216e7089e8f4d2dd4b083828
"60000001","6","10011001","4","1","101011"
"60000002","6","10011001","4","1","101071"
"60000003","6","10011001","4","1","101101"
"60000004","7","10011001","4","1","101131"
"60000005","6","10011001","4","1","101161"
"60000006","6","10011001","4","1","101191"
"60000007","7","10011001","4","1","101251"
"60000008","7","10011001","4","1","101281"
"60000009","7","10011001","4","1","101371"
"60000010","7","10011001","4","1","101401"
"60000011","7","10011001","4","1","101431"
"60000012","7","10011001","4","1","101521"
"60000013","7","10011001","4","1","101551"
"60000014","7","10011001","4","1","101581"
"60000015","7","10011001","4","1","101611"
"60000016","2","10011002","4","1","102011"
"60000017","2","10011002","4","1","102013"
"60000018","2","10011002","4","1","102014"
"60000019","2","10011002","4","1","102041"
"60000020","2","10011002","4","1","102071"
"60000021","2","10011002","4","1","102101"
"60000022","2","10011002","4","1","102131"
"60000023","2","10011002","4","1","102162"
"60000024","2","10011002","4","1","102163"
"60000025","2","10011002","4","1","102191"
"60000026","2","10011002","4","1","102192"
"60000027","2","10011002","4","1","102221"
"60000028","2","10011002","4","1","102222"
"60000029","2","10011002","4","1","102251"
"60000030","3","10011002","4","1","102252"
"60000031","3","10011002","4","1","102281"
"60000032","3","10011002","4","1","102461"
"60000033","3","10011002","4","1","102551"
"60000034","3","10011002","4","1","102552"
"60000035","3","10011002","4","1","102581"
"60000036","3","10011002","4","1","102582"
"60000037","3","10011002","4","1","102611"
"60000038","3","10011002","4","1","102612"
"60000039","3","10011002","4","1","122282"
