e172b1929a6a9b7dafa08ef0fea029fa8e86accd4e4543b890dc858bc9bf1ac9,4b30ff57cd35b8d8feff091b7d7b3438868d653321e6c74a628afc44a2b22be9,11cc47e35205c1f8287bc9d0e324f545d4a45e6e3025f8cf5526c499ecc9dcd0,1f00ecc66994a52c380600ee72c523428bcf68c4ed2b042250f47c7d3d5cb1fa,f806026a07a3de64c8c7fa3092d7a43279e2b5ca9a51b28767c3c500b8ed8eac,e36637789ed219ed0071076a29943f62b430e5f9dd4009ccdef56bf056715ff0,600d1e70bffae6bbbbb384b874b815e2c50480a2585a54c6285255dd54b086dc,a55d2104b16cdd5c69a0d3e9fc9c5ec2ac6bd6952aed9d030ecb668174813ade,82f5a0e647b50e429c1add7367b9d80621ecb381dac7c16040728e0269970fe2,5e9d0d13e72c4187e2cebd515a12b8e6f84fb0fb356f8bded6c27c8c1a952542,39320f10221f4585add9d8c0486724011caaf03e6187cabe84c92c9c2e4b91b8,1ebf675358b078101b84b064d250f499cdac90f24adb48e4a0a1792543be1331,820dfbfcc3042dcb477f4904adf7fbf643af056e8595626f54bde1bba02d68f4,f84ecf0f8743019cb495caa3c143629f3f5787c24cc4018a3edba1e1c1e3a5c0
"ミッションをクリアすると、\n報酬がもらえますよ！\n頑張ってください","0","2030/01/01 14:59:59","62","2","1","3.414","1","-416.5","2025/01/31 12:00:00","190805","1000001","1","カリン"
"ミッションをクリアして、\n報酬をゲットしましょう！","0","2030/01/01 14:59:59","62","2","1","3.099","1","-416.5","2025/01/31 12:00:00","190805","1000002","2","カリン"
"受け取ることができる\n報酬があるようです\n確認してみてください","0","2030/01/01 14:59:59","63","2","1","2.801","1","-416.5","2025/01/31 12:00:00","190805","1000003","3","カリン"
"報酬がもらえますよ！\nチェックしてみてください","0","2030/01/01 14:59:59","63","2","1","0","2","-416.5","2025/01/31 12:00:00","190805","1000004","4","カリン"
"ギルド管理協会です！\nイベント報酬券をお持ちでしたら、様々なアイテムと交換できますよ","0","2030/01/01 14:59:59","64","1","1","2.12","2","-363","2025/01/31 12:00:00","190805","1000005","5","カリン"
"お疲れさまです！\nこちらでイベント報酬券とアイテムを交換することができますよ","0","2030/01/01 14:59:59","64","2","1","1.68","1","-363","2025/01/31 12:00:00","190805","1000006","6","カリン"
"いつもありがとうございます！\n報酬交換ですか？\nでは、イベント報酬券とお引き換えいたしますね","0","2030/01/01 14:59:59","64","1","1","2.33","2","-363","2025/01/31 12:00:00","190805","1000007","7","カリン"
"今度の敵は、アタシにとっても\n放ってはおけない存在だ\n少年、アタシも全力で行くからさ\n一緒に守ろう、この世界を","-6","2030/01/01 14:59:59","61","7","10201","5.18","3","-285","2025/01/31 12:00:00","133701","1020101","101","ラビリスタ"
"退屈の吹き飛ぶような\n戦いの気配がするなぁ坊や\nさっさとワタシをそこへ連れてゆけ\n世界も守ってやるさ、ついでにな","-2","2030/01/01 14:59:59","61","2","10201","8.77","1","-285","2025/01/31 12:00:00","133901","1020102","201","クリスティーナ"
"おや、私の力が必要……と？\nグレゴールが手伝うそうですよ\n私は戦わないのか、という顔ですね\n……考えておきます","0","2030/01/01 14:59:59","61","1","10201","15.5","6","-285","2025/01/31 12:00:00","133801","1020103","301","ネネカ"
