3f97d8955a5236c929c1dbf04fe31dd19c7381e357aed5e92cccd534a06edde6,2214c7d3b38fc721fd6f333e58e9a8642645d0e6d325d59dff67ee1ecf24c2e5,9defbc39a17aca8c557652f7b6a3de036ef762bd2ab103f784c92515e1b273c3,259fe07c5dceb3c54f58a26aa9646cc28d419ca5b8582bb36296d44fb2848d8d,a865c17082fcb1ceb2c2698be211c6e39056ab7eee767a8272f73148799bda2d,8e5e15a313fe8c9583228036250c31ea165b156db942cb0e9c20b4cc45e4a0dd,16a2603d49690538c03ba00ad50f75d14e98a541851a71c95ab9c5082142b4ff,fc5ae0acf734c549142650c2fb0446746e64ebe5eae093e07b47fdbd795d5ca0
"110001","1","111","70000","90110001","0","110001","ガーゴイル（EASY）をクリアしよう"
"110002","1","112","70000","90110002","0","110001","ガーゴイル（NORMAL）をクリアしよう"
"110003","1","113","70000","90110003","0","110001","ガーゴイル（HARD）をクリアしよう"
"110004","1","114","70000","90110004","0","110001","ガーゴイル（VERY HARD）をクリアしよう"
"110005","1","115","70000","90110005","0","110001","ガーゴイル（EXTREME）をクリアしよう"
"120001","1","121","70000","90120001","0","110001","マグスガーゴイル（EASY）をクリアしよう"
"120002","1","122","70000","90120002","0","110001","マグスガーゴイル（NORMAL）をクリアしよう"
"120003","1","123","70000","90120003","0","110001","マグスガーゴイル（HARD）をクリアしよう"
"120004","1","124","70000","90120004","0","110001","マグスガーゴイル（VERY HARD）をクリアしよう"
"120005","1","125","70000","90120005","0","110001","マグスガーゴイル（EXTREME）をクリアしよう"
"130001","1","131","70000","90130001","0","110001","ガードガーゴイル（EASY）をクリアしよう"
"130002","1","132","70000","90130002","0","110001","ガードガーゴイル（NORMAL）をクリアしよう"
"130003","1","133","70000","90130003","0","110001","ガードガーゴイル（HARD）をクリアしよう"
"130004","1","134","70000","90130004","0","110001","ガードガーゴイル（VERY HARD）をクリアしよう"
"130005","1","135","70000","90130005","0","110001","ガードガーゴイル（EXTREME）をクリアしよう"
"140001","1","141","70000","90140001","0","110001","ガーゴイル・バースト（EASY）をクリアしよう"
"140002","1","142","70000","90140002","0","110001","ガーゴイル・バースト（NORMAL）をクリアしよう"
"140003","1","143","70000","90140003","0","110001","ガーゴイル・バースト（HARD）をクリアしよう"
"140004","1","144","70000","90140004","0","110001","ガーゴイル・バースト（VERY HARD）をクリアしよう"
"140005","1","145","70000","90140005","0","110001","ガーゴイル・バースト（EXTREME）をクリアしよう"
"150001","1","151","70000","90150001","0","110001","ガーゴイル・マギ（EASY）をクリアしよう"
"150002","1","152","70000","90150002","0","110001","ガーゴイル・マギ（NORMAL）をクリアしよう"
"150003","1","153","70000","90150003","0","110001","ガーゴイル・マギ（HARD）をクリアしよう"
"150004","1","154","70000","90150004","0","110001","ガーゴイル・マギ（VERY HARD）をクリアしよう"
"150005","1","155","70000","90150005","0","110001","ガーゴイル・マギ（EXTREME）をクリアしよう"
