03ab8261bcfc5ef63aa9ea765a2e4d9b9823e2077819747877b550758857ece5,20eba65e39070cd193d3c1d6f93f574e99716e0b5273e663ea99e137b6aceae4,a790e3330977d2b43f3e980a2be23621a3a5e4b7003ea104a528f9df58ced05c,364c73e265faa7b1dc3ab9e8b4a7c933d464479ad3bde4b2d2e89bcc75bf493e,8f2ee7af815e13010ecd90ce45634fa5118c642671844203d1ad711f7c8fc5cc,8c1e00f659e1aab9123223e51b9983ac59aa2c294d7dbe2d3c1240875957cd46,22f261e8e9ef7f061881e9fb65a59971951559a0800ae92a3e072f643c614ffe,85c93a50b506449db26b05dc176c87e1ed7f8fa13e99113859dd5b93420b8338,228e429207cada91add99ed08213ea23db6f6f3c090c710ee0ce467a568aad10,4e9845d71f525883158afe4e23993412fe20699120a3a705dc5172a5e7524765,729f2ccbeab20e7958418cc58b27e0b1bf615dc495db190046ac4ee319342ecf,449fad508af0ae1eb7b170c7c1ba41559107dc8762afae8f9fbc730b65b91014,0e101a815a704ad83c86624e256112ca45831ae0b6ac2aff4bf49d8c0bcb09a6,c60321d0f48e4cb5494a5e7ff3bb0aa9d6df6226bd78e35f6bf8ef205fd307e2,244c2cbc99200f2283685ee0eef58a905a9e2df76cc9a22824e2cbadf2b120da
"110001","bgm_M57","EASY","90","1","100113","0","1","0","0","bgm_M57","1","90110001","100113","701000101"
"110001","bgm_M57","NORMAL","90","1","100113","0","2","0","0","bgm_M57","1","90110002","100113","701000102"
"110001","bgm_M57","HARD","90","1","100113","0","3","0","0","bgm_M57","1","90110003","100113","701000103"
"110001","bgm_M57","VERY HARD","90","1","100113","0","4","0","0","bgm_M57","1","90110004","100113","701000104"
"110001","bgm_M57","EXTREME","90","1","100113","0","5","0","0","bgm_M57","1","90110005","100113","701000105"
"120001","bgm_M169","EASY","90","1","103013","0","1","0","0","bgm_M169","2","90120001","103013","701000201"
"120001","bgm_M169","NORMAL","90","1","103013","0","2","0","0","bgm_M169","2","90120002","103013","701000202"
"120001","bgm_M169","HARD","90","1","103013","0","3","0","0","bgm_M169","2","90120003","103013","701000203"
"120001","bgm_M169","VERY HARD","90","1","103013","0","4","0","0","bgm_M169","2","90120004","103013","701000204"
"120001","bgm_M169","EXTREME","90","1","103013","0","5","0","0","bgm_M169","2","90120005","103013","701000205"
"130001","bgm_M64","EASY","90","1","100113","0","1","0","0","bgm_M64","3","90130001","100113","701000301"
"130001","bgm_M64","NORMAL","90","1","100113","0","2","0","0","bgm_M64","3","90130002","100113","701000302"
"130001","bgm_M64","HARD","90","1","100113","0","3","0","0","bgm_M64","3","90130003","100113","701000303"
"130001","bgm_M64","VERY HARD","90","1","100113","0","4","0","0","bgm_M64","3","90130004","100113","701000304"
"130001","bgm_M64","EXTREME","90","1","100113","0","5","0","0","bgm_M64","3","90130005","100113","701000305"
"140001","bgm_M07","EASY","90","1","100113","0","1","0","0","bgm_M07","4","90140001","100113","701000401"
"140001","bgm_M07","NORMAL","90","1","100113","0","2","0","0","bgm_M07","4","90140002","100113","701000402"
"140001","bgm_M07","HARD","90","1","100113","0","3","0","0","bgm_M07","4","90140003","100113","701000403"
"140001","bgm_M07","VERY HARD","90","1","100113","0","4","0","0","bgm_M07","4","90140004","100113","701000404"
"140001","bgm_M07","EXTREME","90","1","100113","0","5","0","0","bgm_M07","4","90140005","100113","701000405"
"150001","bgm_M170","EASY","90","1","103013","0","1","0","0","bgm_M170","5","90150001","103013","701000501"
"150001","bgm_M170","NORMAL","90","1","103013","0","2","0","0","bgm_M170","5","90150002","103013","701000502"
"150001","bgm_M170","HARD","90","1","103013","0","3","0","0","bgm_M170","5","90150003","103013","701000503"
"150001","bgm_M170","VERY HARD","90","1","103013","0","4","0","0","bgm_M170","5","90150004","103013","701000504"
"150001","bgm_M170","EXTREME","90","1","103013","0","5","0","0","bgm_M170","5","90150005","103013","701000505"
