bc8fa222c07e502f59a514ce664b92e7f8e9d7634760becae33840b7970bfc1c,9c8dc1e7f9ddf675cd39556dd5ea7c95092d2e5062112f00525fa982a811f4b8,5d4b98df73822c7dfb68684a2492d556708dce71ef4d444b91503d889f75a267,4265b00184ba17572caf3f3afb9f1d8f4543f31219b9d8217a4dbbbdaad2a7a2,5ec144713ad706f3bf85143b8f9604b3ed022d47bdc35a5dd1cc6162c36b8fc7,2a62f559d6b01873a939728495c8cea77d0b9acac2c8c926f24ed7e0ac0e6540,c394a259807757dfbb6dc6d85b032884a2ff58e5e2df0a054c69955e3d754f22
"306700","0","0","1","1","1001101","81001105"
"306700","0","0","1","1","1001102","81001106"
"306800","0","0","1","1","1001201","81001205"
"306800","0","0","1","1","1001202","81001206"
"307000","0","0","1","1","1001301","81001305"
"307000","0","0","1","1","1001302","81001306"
"307500","0","0","1","1","1001401","81001405"
"307500","0","0","1","1","1001402","81001406"
"307300","0","0","1","1","1001501","81001505"
"307300","0","0","1","1","1001502","81001506"
"307700","0","0","1","1","1001601","81001605"
"307700","0","0","1","1","1001602","81001606"
"307400","0","0","1","1","1001701","81001705"
"307400","0","0","1","1","1001702","81001706"
"307900","0","0","1","1","1001801","81001805"
"307900","0","0","1","1","1001802","81001806"
"307800","0","0","1","1","1001901","81001905"
"307800","0","0","1","1","1001902","81001906"
"308100","0","0","1","1","1002001","81002005"
"308100","0","0","1","1","1002002","81002006"
"308000","0","0","1","1","1002101","81002101"
"308000","0","0","1","1","1002102","81002102"
"308300","0","0","1","1","1002201","81002205"
"308300","0","0","1","1","1002202","81002206"
"308200","0","0","1","1","1002301","81002301"
"308200","0","0","1","1","1002302","81002302"
"304705","0","0","1","1","1002401","81002405"
"304705","0","0","1","1","1002402","81002406"
"308400","0","0","1","1","1002501","81002501"
"308400","0","0","1","1","1002502","81002502"
"305004","0","0","1","1","1002601","81002605"
"305004","0","0","1","1","1002602","81002606"
"308600","0","0","1","1","1002701","81002701"
"308600","0","0","1","1","1002702","81002702"
"305205","0","0","1","1","1002801","81002805"
"305205","0","0","1","1","1002802","81002806"
"309300","0","0","1","1","1002901","81002901"
"309300","0","0","1","1","1002902","81002902"
"305500","0","0","1","1","1003001","81003005"
"305500","0","0","1","1","1003002","81003006"
"310000","0","0","1","1","1003101","81003101"
"310000","0","0","1","1","1003102","81003102"
"306000","0","0","1","1","1003201","81003205"
"306000","0","0","1","1","1003202","81003206"
"310300","0","0","1","1","1003301","81000605"
"310300","0","0","1","1","1003302","81003301"
"306700","0","0","1","1","1003401","81001105"
"306700","0","0","1","1","1003402","81001106"
"310500","0","0","2.5","2.5","1003501","100021"
"310500","0","0","2.5","2.5","1003502","100531"
"310600","0","0","0.4","0.4","1003601","81003601"
"310600","0","0","0.4","0.4","1003602","81003602"
"306800","0","0","1","1","1003701","81001205"
"306800","0","0","1","1","1003702","81001206"
"310700","0","0","1.2","1.2","1003801","81003801"
"310700","0","0","1.2","1.2","1003802","81003802"
"307000","0","0","1","1","1003901","81001305"
"307000","0","0","1","1","1003902","81001306"
"310800","0","0","1","1","1004001","81004001"
"310800","0","0","1","1","1004002","81004002"
"307300","0","0","1","1","1004101","81001505"
"307300","0","0","1","1","1004102","81001506"
"311100","0","0","1","1","1004201","81004201"
"311100","0","0","1","1","1004202","81004202"
"307800","0","0","1","1","1004301","81001905"
"307800","0","0","1","1","1004302","81001906"
"311300","0","0","1","1","1004401","81004401"
"311300","0","0","1","1","1004402","81004402"
"308000","0","0","1","1","1004501","81002101"
"308000","0","0","1","1","1004502","81002102"
"311400","0","0","1","1","1004601","81004601"
"311400","0","0","1","1","1004602","81004602"
"308200","0","0","1","1","1004701","81002301"
"308200","0","0","1","1","1004702","81002302"
"311500","0","0","1","1","1004801","81002405"
"311500","0","0","1","1","1004802","81002406"
"308400","0","0","1","1","1004901","81002501"
"308400","0","0","1","1","1004902","81002502"
"311600","0","-28","1.4","1.4","1005001","81005001"
"311600","0","-28","1.4","1.4","1005002","81005002"
"308600","0","0","1","1","1005101","81002701"
"308600","0","0","1","1","1005102","81002702"
"312100","0","0","1","1","1005201","81000605"
"312100","0","0","1","1","1005202","81003301"
"307400","0","0","1","1","1005301","81001705"
"307400","0","0","1","1","1005302","81001706"
"312200","0","0","1","1","1005401","81003005"
"312200","0","0","1","1","1005402","81003006"
"309300","0","0","1","1","1005501","81002901"
"309300","0","0","1","1","1005502","81002902"
"312300","0","0","1","1","1005601","81005601"
"312302","0","0","1","1","1005602","81005602"
"310000","0","0","1","1","1005701","81003101"
"310000","0","0","1","1","1005702","81003102"
"312600","0","0","1.75","1.75","1005801","100021"
"312600","0","0","1.75","1.75","1005802","100531"
"312700","0","0","1","1","1005901","101821"
"312700","0","0","1","1","1005902","101841"
"310300","0","0","1","1","1006001","81000605"
"310300","0","0","1","1","1006002","81003301"
"312800","0","-27","0.65","0.65","1006101","81006101"
"312800","0","-27","0.65","0.65","1006102","81006102"
"310500","0","0","2.5","2.5","1006201","100021"
"310500","0","0","2.5","2.5","1006202","100531"
"310600","0","0","0.4","0.4","1006301","81003601"
"310600","0","0","0.4","0.4","1006302","81003602"
"313200","0","-30","1","1","1006401","81006401"
"313200","0","-30","1","1","1006402","81006402"
"310700","0","0","1.2","1.2","1006501","81003801"
"310700","0","0","1.2","1.2","1006502","81003802"
"313100","0","-25","0.7","0.7","1006601","81006601"
"313100","0","-25","0.7","0.7","1006602","81006602"
"310800","0","0","1","1","1006701","81004001"
"310800","0","0","1","1","1006702","81004002"
"313300","0","-26","1.25","1.25","1006801","81006801"
"313300","0","-26","1.25","1.25","1006802","81006802"
"311100","0","0","1","1","1006901","81004201"
"311100","0","0","1","1","1006902","81004202"
"314001","0","-30","1.25","1.25","1007001","81007001"
"314002","0","-30","1.25","1.25","1007002","81007002"
"311300","0","0","1","1","1007101","81004401"
"311300","0","0","1","1","1007102","81004402"
"314100","0","-27","0.77","0.77","1007201","81007201"
"314100","0","-27","0.77","0.77","1007202","81007202"
"311400","0","0","1","1","1007301","81004601"
"311400","0","0","1","1","1007302","81004602"
"314200","0","-33","1.33","1.33","1007401","81007401"
"314200","0","-33","1.33","1.33","1007402","81007402"
"311500","0","0","1","1","1007501","81002405"
"311500","0","0","1","1","1007502","81002406"
"314300","0","-20","1.7","1.7","1007601","81007601"
"314300","0","-20","1.7","1.7","1007602","81007602"
"311600","0","-28","1.4","1.4","1007701","81005001"
"311600","0","-28","1.4","1.4","1007702","81005002"
"314400","0","-33","1.25","1.25","1007801","81007801"
"314400","0","-33","1.25","1.25","1007802","81007802"
"312100","0","0","1","1","1007901","81000605"
"312100","0","0","1","1","1007902","81003301"
"314500","0","-20","1","1","1008001","81003006"
"314500","0","-20","1","1","1008002","81008002"
"312200","0","0","1","1","1008101","81003005"
"312200","0","0","1","1","1008102","81003006"
"314600","0","-25","1.6","1.6","1008201","81003205"
"314600","0","-25","1.6","1.6","1008202","81003206"
"312300","0","0","1","1","1008301","81005601"
"312302","0","0","1","1","1008302","81005602"
"314700","0","0","1","1","1008401","100111"
"314700","0","0","1","1","1008402","100431"
"314800","0","0","0.9","0.9","1008501","81008501"
"314800","0","0","0.9","0.9","1008502","81008504"
"312600","0","0","1.75","1.75","1008601","100021"
"312600","0","0","1.75","1.75","1008602","100531"
"312700","0","0","1","1","1008701","101821"
"312700","0","0","1","1","1008702","101841"
"315100","0","-20","0.8","0.8","1008801","81008801"
"315100","0","-20","0.8","0.8","1008802","81008802"
"312800","0","-27","0.65","0.65","1008901","81006101"
"312800","0","-27","0.65","0.65","1008902","81006102"
"315400","0","-25","0.85","0.85","1009001","102994"
"315400","0","-25","0.85","0.85","1009002","102997"
"313200","0","-30","1","1","1009101","81006401"
"313200","0","-30","1","1","1009102","81006402"
"316000","0","-20","0.95","0.95","1009201","103021"
"316000","0","-20","0.95","0.95","1009202","103011"
"313100","0","-25","0.7","0.7","1009301","81006601"
"313100","0","-25","0.7","0.7","1009302","81006602"
"316200","0","-20","1.5","1.5","1009401","102091"
"316200","0","-20","1.5","1.5","1009402","102111"
"313300","0","-26","1.25","1.25","1009501","81006801"
"313300","0","-26","1.25","1.25","1009502","81006802"
"316300","0","-27","0.77","0.77","1009601","102591"
"316300","0","-27","0.77","0.77","1009602","102601"
"314001","0","-30","1.25","1.25","1009701","81007001"
"314002","0","-30","1.25","1.25","1009702","81007002"
"316400","0","-27","0.8","0.8","1009801","81000405"
"316400","0","-27","0.8","0.8","1009802","81000406"
"314100","0","-27","0.77","0.77","1009901","81007201"
"314100","0","-27","0.77","0.77","1009902","81007202"
"316500","0","-20","0.95","0.95","1010001","81010001"
"316500","0","-20","0.95","0.95","1010002","81010002"
"314200","0","-33","1.33","1.33","1010101","81007401"
"314200","0","-33","1.33","1.33","1010102","81007402"
"316700","0","-27","0.8","0.8","1010201","81010201"
"316700","0","-27","0.8","0.8","1010202","81010202"
"314300","0","-20","1.7","1.7","1010301","81007601"
"314300","0","-20","1.7","1.7","1010302","81007602"
"318000","0","-20","1","1","1010401","100091"
"318000","0","-20","1","1","1010402","100381"
"314400","0","-33","1.25","1.25","1010501","81007801"
"314400","0","-33","1.25","1.25","1010502","81007802"
"318200","0","-27","1","1","1010601","101361"
"318200","0","-27","1","1","1010602","102961"
"314500","0","-20","1","1","1010701","81003006"
"314500","0","-20","1","1","1010702","81008002"
"318100","0","-17","1.1","1.1","1010801","81001505"
"318100","0","-17","1.1","1.1","1010802","81010802"
"314600","0","-25","1.6","1.6","1010901","81003205"
"314600","0","-25","1.6","1.6","1010902","81003206"
"318500","0","-25","0.7","0.7","1011001","101581"
"318500","0","-25","0.7","0.7","1011002","103141"
"318600","0","-28","0.92","0.92","1011101","103151"
"318600","0","-28","0.92","0.92","1011102","103161"
"314700","0","0","1","1","1011201","100111"
"314700","0","0","1","1","1011202","100431"
"314800","0","0","0.9","0.9","1011301","81008501"
"314800","0","0","0.9","0.9","1011302","81008504"
"318300","0","-27","1.1","1.1","1011401","81011401"
"318300","0","-27","1.1","1.1","1011402","81011402"
"315100","0","-20","0.8","0.8","1011501","81008801"
"315100","0","-20","0.8","0.8","1011502","81008802"
"318800","0","0","1.18","1.18","1011601","102091"
"318800","0","0","1.18","1.18","1011602","102111"
"315400","0","-25","0.85","0.85","1011701","102994"
"315400","0","-25","0.85","0.85","1011702","102997"
"319100","0","-25","1.1","1.1","1011801","81011801"
"319100","0","-25","1.1","1.1","1011802","81011802"
"316000","0","-20","0.95","0.95","1011901","103021"
"316000","0","-20","0.95","0.95","1011902","103011"
"318900","0","-17","1.1","1.1","1012001","81012001"
"318900","0","-17","1.1","1.1","1012002","81012002"
"316200","0","-20","1.5","1.5","1012101","102091"
"316200","0","-20","1.5","1.5","1012102","102111"
"319000","0","0","1.4","1.4","1012201","81012207"
"319000","0","0","1.4","1.4","1012202","81012208"
"316300","0","-27","0.77","0.77","1012301","102591"
"316300","0","-27","0.77","0.77","1012302","102601"
"319300","0","-55","0.77","0.77","1012401","103051"
"319300","0","-55","0.77","0.77","1012402","102601"
"316400","0","-27","0.8","0.8","1012501","81000405"
"316400","0","-27","0.8","0.8","1012502","81000406"
"319500","0","-30","1.18","1.18","1012601","81012601"
"319500","0","-30","1.18","1.18","1012602","81012602"
"316500","0","-20","0.95","0.95","1012701","81010001"
"316500","0","-20","0.95","0.95","1012702","81010002"
"320000","0","0","1.5","1.5","1012801","101111"
"320000","0","0","1.5","1.5","1012802","101131"
"316700","0","-27","0.8","0.8","1012901","81010201"
"316700","0","-27","0.8","0.8","1012902","81010202"
"313702","0","0","1","1","1013001","81011401"
"313702","0","0","1","1","1013002","81013002"
"318000","0","-20","1","1","1013101","100091"
"318000","0","-20","1","1","1013102","100381"
"320200","0","-50","0.7","0.7","1013201","100941"
"320200","0","-50","0.7","0.7","1013202","100961"
"320200","0","-50","0.7","0.7","1013203","100961"
"318200","0","-27","1","1","1013301","101361"
"318200","0","-27","1","1","1013302","102961"
"318200","0","-27","1","1","1013303","102961"
"320300","-20","-50","1","1","1013401","81013401"
"320300","-20","-50","1","1","1013402","81013402"
"320300","-20","-50","1","1","1013403","81013402"
"318100","0","-17","1.1","1.1","1013501","81001505"
"318100","0","-17","1.1","1.1","1013502","81010802"
"318100","0","-17","1.1","1.1","1013503","81010802"
"320400","0","0","1","1","1013601","81013601"
"320400","0","0","1","1","1013602","81013602"
"320400","0","0","1","1","1013603","81013602"
"320500","0","10","0.65","0.65","1013701","81013701"
"320500","0","10","0.65","0.65","1013702","81013702"
"320500","0","10","0.65","0.65","1013703","81013702"
"318500","0","-25","0.7","0.7","1013801","101581"
"318500","0","-25","0.7","0.7","1013802","103141"
"318500","0","-25","0.7","0.7","1013803","103141"
"318600","0","0","0.9","0.9","1013901","103151"
"318600","0","0","0.9","0.9","1013902","103161"
"318600","0","0","0.9","0.9","1013903","103161"
"320700","0","-20","1.2","1.2","1014001","101951"
"320700","0","-20","1.2","1.2","1014002","101951"
"320700","0","-20","1.2","1.2","1014003","101951"
