6dac9fc9f9e9c40c2de0a7c414811af7fc330b64bbb87fde6b6d15df4dab6e55,fa4f64766b3e9a873e55f8589b2756dab1b36e423930ae63d9668342e07c3e68,14b8e84ca8c427e932c27479f1431e810251a4df50cbf4d453251ce68484c39d,0bba77178b05dbc7379dadfc198e3483cc69f73baa3b7d930110714f32fe79ca,c2d87497b6717b89a6c185f7c32aad9aab6674d6726a1d0f64e8c57b9ae2e55d,25509a7cb02234a4d443ebdbdd169bed0bd22178f8fd4e8fc6b41070c5ee3ceb,2cabfb172c88b690e4e7ca51aa3e4210b38b90023d800ff68e09c09673a4d6c2,214b870367e1b011e7cbbbc0f40ef523f4ca07093aed410fb7ddcc3469b17fd8,8a67931209287e0c1f12d68d63b9e52018830a9d075caec35d0cdc0ecf0dcdb4,8b3deb36d312a40a3b87bb8c38b22b0043e5f1b1a141ce21d1613a95ba11bbec,0bf4d2fbe01633bcf75d521ff7b1ec546dd3a6fe858080f2c38929791acc1933,34a8d87cf49362f13fd267dbc73a7c7ade878df5af2a7071edaef14bad424e90,edc8110ec7c8d8a4f10e96ddeb19a25863d1accae51e6015135050be3c52684b,1e7c341738231ecc196fc9e084c394e80295ba794cd26d6e4270556effd4431f,dce53ef475e3b1088ed8d8bdee772b6995ef051597231d914a95e7e1cd007c8a
"1001","2","ヒヨリでっす♪\n元気いっぱいがんばるよ♪","0","ねぇねぇ、騎士クン\n手伝ってあげようよ～","1","お！\nあそこに困ってそうな人発見！","1","0","0","1.4","0","1","0","春咲 ひより"
"1002","2","みんなみたいに\nわたしも強くならなきゃ","0","わ、わたし、\nなに言ってるんだろ\nあはは…","1","大切な人を\n守れるようになりたい…って","1","0","0","1.4","0","1","0","草野 優衣"
"1003","2","フェンシングを始めてみては？","0","少しは磨かれると思いますよ。","1","キミに必要な集中力と感性が","1","0","0","1.4","0","1","0","士条 怜"
"1004","2","ねぇ、にいちゃん！","0","みそぎはねぇ、\nかくれんぼやりたい！","1","今日はなにして遊ぶ？","1","0","0","1.5","0","1","0","穂高 みそぎ"
"1006","2","風宮あかりです","0","私といっしょに…\nいかない？","1","ねぇ…","1","0","0","1.4","0","1","0","風宮 あかり"
"1007","2","出雲宮子なのー","0","食べ物の恨みは怖いのー","1","プリンたべたいのー","1","0","0","1.5","0","1","0","出雲 宮子"
"1008","2","ボクは虹村雪。","0","いいよ。\n見られることは運命さ…","1","キミもボクの美貌に\n吸い寄せられたんだね。","1","0","0","1.4","0","1","0","虹村 雪"
"1009","2","フッ…聞いて後悔するがいい！","0","人呼んで「疾風の冥姫」!!","1","我が真名は\nアンネローゼ・フォン・シュテッヒパルム！","1","0","0","1.4","0","1","0","柊杏奈"
"1010","2","マホマホ王国のプリンセス、\nまほ姫どす","0","ほんまおおきにやわ～♪","1","うさぎさん、\n運命の王子はんに巡りあわせてくれて","1","0","0","1.5","0","1","0","姫宮 真歩"
"1011","2","衣之咲璃乃です！","0","ここで会ったが\n100年目～！","1","生き別れたお兄ちゃんを探して\n三千世界！","1","0","0","1.4","0","1","0","衣之咲 璃乃"
"1012","2","私はハツネ、\n結構強いんだよ。\nきらーん☆","0","…って、お願い！\n誰にも言わないでおいて～！","1","ち、超能力って…\n何のことかな～？","1","0","0","1.4","0","1","0","柏崎 初音"
"1016","2","ちょす！\n美波鈴奈だよ～♪","0","ヒデサイまぢ\nGF（グッドフィーリング）～♪","1","一応カリスマ読モJKやってまっす！","1","0","0","1.4","0","1","0","美波 鈴奈"
"1017","2","はいたーい。\n喜屋武香織さー。","0","でも、沖縄もとってもいいとこさー","1","東京は遊園地みたいなところさー","1","0","0","1.4","0","1","0","喜屋武 香織"
"1018","2","支倉伊緒です。","0","イオちゃんって呼んでね。","1","先生って呼ばれるのは\nくすぐったいから","1","0","0","1.4","0","1","0","支倉 伊緒"
"1020","2","ふえ…？\nミミ、むずかしいこと\nよくわかんない…","0","ミミをおいてかないでぇ～","1","あ！/\お兄ちゃ～ん\nまってよ～","1","0","0","1.5","0","1","0","茜 ミミ"
"1021","2","あ…あの…えっと…\n栗…林…くるみ…です……","0","ふぇぇぇぇぇん……","1","あの……\nふぇ……","1","0","0","1.5","0","1","0","栗林 くるみ"
"1022","2","風宮よりです。\nあああああ！","0","なんてありがとうございます！","1","こんな私に貴重な時間を\n割いていただき、","1","0","0","1.4","0","1","0","風宮 より"
"1023","2","私、アヤネ！\nぷうきちと一緒についてってあげるね！","0","私こっち行きたいー\nね、早く早くー","1","おにいちゃんどこいくの？\nえ？","1","0","0","1.5","0","1","0","北条 綾音"
"1025","2","わっ…わっ…私、\n天野すずめといいます！","0","これて何か違う…\nあああすみません！","1","ふ、不束者ですが\nどうぞ末永く…って、","1","0","0","1.4","0","1","0","天野 すずめ"
"1027","2","……クスクス…私は\n…倉石恵理子……","0","離しませんわ………\n絶対に…!!","1","あなたは…運命の……\n伴侶……","1","0","0","1.4","0","1","0","倉石 恵理子"
"1028","2","佐々木咲恋よ。\nねえ、世の中に無駄なことが\n多すぎると思わない？","0","…そうでしょ？？","1","その無駄を省くことができれば、\nもっと余裕のある暮らしができるっ！","1","0","0","1.4","0","1","0","佐々木 咲恋"
"1029","2","桜井望だよ！\nよろしくねっ","0","あはは、\n私もまだまだだなぁ～","1","ぇっと…\nキミ、私のこと知らないの?!","1","0","0","1.4","0","1","0","桜井 望"
"1030","2","デケデケデンっ！","0","ショーグン、\nワタシと一緒に天下統一デース！","1","初めまして、\n私はニノン・ジュベール申すデス！","1","0","0","1.4","0","1","0","ニノン・ジュベール"
"1031","2","上喜しのぶです。\n手元のドクロが父です。","0","おかしいですね……","1","でもって私の隣にいるのが……\nえ、見えない？","1","0","0","1.4","0","1","0","上喜 しのぶ"
"1033","2","目指すはビッグな\nお笑い芸人だっぺ！","0","そう、\nオラのボケに突っ込める相方が…！","1","けんども\nそれには足りないモンが…","1","0","0","1.5","0","1","0","野戸まひる"
"1034","2","あの…私…綾瀬ゆかりです…\nあの…ごめんなさい！","0","ちょ\nちょっと一杯飲んできます…！","1","ちょっと緊張しちゃって…","1","0","0","1.4","0","1","0","綾瀬 ゆかり"
"1036","2","氷川鏡華…です","0","これ以上お話しすることは…\nないです！","1","知らない人とは話しちゃいけないので","1","0","0","1.5","0","1","0","氷川 鏡華"
"1038","2","柏崎…栞です。","0","私体が弱いから、\n30分に一度休憩しないと\nいけないんです。","1","……あ、アラーム。","1","0","0","1.4","0","1","0","柏崎 栞"
"1040","2","ふ、双葉碧です。","0","野に咲く花が、\n唯一の話相手です。","1","私、一人も友達がいなくて……","1","0","0","1.4","0","1","0","双葉 碧"
"1042","2","三角千歌です。","0","そう思っています。","1","私の歌声で、\n皆さんが幸せになってくれたらいいなって…","1","0","0","1.4","0","1","0","三角 千歌"
"1043","2","安芸真琴だ。","0","う、疑ってすまなかったな…","1","あぁ？\nお前のそいつの仲間か？","1","0","0","1.4","0","1","0","安芸 真琴"
"1044","2","わらわこそは夜を総べる者！","0","わらわの偉大な力に\nひれ伏すがいい！\nはっはっは！","1","生けとし生ける全ての者よ！","1","0","0","1.4","0","1","0","イリヤ・オーンスタイン"
"1045","2","そこで騎士は妖精を乱暴に……","0","ｌク、クウカに何かご用ですか!?","1","ぐふふふふ……はっ！","1","0","0","1.4","0","1","0","遠見 空花"
"1046","2","宮坂たまきにゃ♪\n猫はいいにゃよ？","0","う～ん…\n猫ってホントに最高にゃ～♪","1","自由気ままで♪\n寝て遊んで、食べてケンカして…","1","0","0","1.4","0","1","0","宮坂たまき"
"1048","2","大神美冬よ！","0","…と思ったら\nバイトの時間だ！\nまたあとでね！","1","それでは早速クエストに…","1","0","0","1.4","0","1","0","大神 美冬"
"1049","2","星野静流だよ！","0","お姉ちゃんがぜ～んぶ\nやってあげるからね！","1","クエストもバトルも\n掃除も洗濯も","1","0","0","1.4","0","1","0","星野静流"
"1050","2","アタシは玉泉美咲。","0","学校では誰もが憧れる\nアイドル的な存在ってやつよ♪","1","見ての通りの\nセクシー美少女で","1","0","0","1.5","0","1","0","玉泉美咲"
"1052","2","？？？","0","？？？？","1","？？？？","1","0","0","1.4","0","1","0","リマ"
"1053","2","モニカ・ヴァイスヴィントだ。","0","そ、そこまでいうなら\nもらってやる","1","菓子でつろうなどと\n稚拙な策を……","1","0","0","1.5","0","1","0","モニカ・ヴァイスヴィント"
"1058","2","モニカ・ヴァイスヴィントだ。","0","そ、そこまでいうなら\nもらってやる","1","菓子でつろうなどと\n稚拙な策を……","1","0","0","1.5","0","1","0","ペコリーヌ"
"1059","2","モニカ・ヴァイスヴィントだ。","0","そ、そこまでいうなら\nもらってやる","1","菓子でつろうなどと\n稚拙な策を……","1","0","0","1.5","0","1","0","コッコロ"
"1060","2","モニカ・ヴァイスヴィントだ。","0","そ、そこまでいうなら\nもらってやる","1","菓子でつろうなどと\n稚拙な策を……","1","0","0","1.5","0","1","0","キャル"
