fb34cc175ccf6a9519c5ac63e92a9e5d19a3db72ac366abc70aa12436cbf14ab,91a1b6c1e32dc39017759eb28b2e6d353784de472287f42ce43d57d386d46bf5,eb713eb8ef8e7404f97b1c1f86dc8f3c679f8555e747abb5e0970fb4d16846d1,58f02a548e6906f3199cdfdb9fd3282d00c47007f16534d57e059deefd2f6cae,2952e98064944337207391ad934ae1bb2e2e4c53e1caea0f88de860c336fbbf4,14f7a2a35a8a268dff97f5fc873a19a27975a481fc83fe2116f6c1b3fee29b2d,dee06600c76b9d3ce4bff872086854fbde3012856232619e46278cd01e633781,c7d9c0b2fce305aaf7dffa0c6fa84701764d8113f4a6e8b0fcdf243ab026746b,4881dd399a7e3decd44321f7be6d10a12ff954b702f80ae4440073f4b2954841,6000f9849700eaa48a021fa5d5f2e968132b428988cb30a6f774a108c0e47698,d7038b8070b656d79a899bf37887e783f8ed17d83999290de80439cf8f0e90b2,9b3b21ebb2de2049e4c46b72eb6317fa85b879e6f7f9ba5bcb4967a60eba6355,b612dd9e50df0c538496c252bb9ed7239dc00b3d2e44cd69313c63c55786ff88,c5b4b0440781a3c0fcc034f0db2342f0ad42daff6fa9f1ab8cb702a3644e7cd0,d55e75fe196289b4113d506760a582e7f8cbfce1e8c2b5925c6e0708cb17520e,55c2bf46b9212b33017cfb0c14634032fe5ae38aa26b920a1df25b96ec8d0223,377f4e1f88ca381ac6ee47098b79df6aca69f551a56ea6016db86a0d6550e4a0,2f9824ed07f96e991aa8317ab1a856b6c1bc8b57a4220c5d89a06e4e26ab0425
"10000","1","0","0","0","0","0","94002","累計スコアを10000pt 獲得しよう","0","0","0","0","0","0","0","100000","12"
"20000","2","0","0","0","0","0","91002","累計スコアを20000pt 獲得しよう","0","0","0","0","0","0","0","50","8"
"30000","3","0","0","0","0","0","94002","累計スコアを30000pt 獲得しよう","0","0","0","0","0","0","0","100000","12"
"50000","4","0","0","0","0","0","91002","累計スコアを50000pt 獲得しよう","0","0","0","0","0","0","0","50","8"
"80000","5","0","0","0","0","0","94002","累計スコアを80000pt 獲得しよう","0","0","0","0","0","0","0","100000","12"
"100000","6","0","0","0","0","0","94002","累計スコアを100000pt 獲得しよう","0","0","0","0","0","0","0","100000","12"
"120000","7","0","0","0","0","0","91002","累計スコアを120000pt 獲得しよう","0","0","0","0","0","0","0","100","8"
"150000","8","0","0","0","0","0","94002","累計スコアを150000pt 獲得しよう","0","0","0","0","0","0","0","200000","12"
"200000","9","0","0","0","0","0","94002","累計スコアを200000pt 獲得しよう","0","0","0","0","0","0","0","200000","12"
"250000","10","0","0","0","0","0","91002","累計スコアを250000pt 獲得しよう","0","0","0","0","0","0","0","100","8"
"300000","11","0","0","0","0","0","94002","累計スコアを300000pt 獲得しよう","0","0","0","0","0","0","0","200000","12"
"350000","12","0","0","0","0","0","94002","累計スコアを350000pt 獲得しよう","0","0","0","0","0","0","0","200000","12"
"400000","13","0","0","0","0","0","91002","累計スコアを400000pt 獲得しよう","0","0","0","0","0","0","0","100","8"
