e63cc751413a59c47b78fb45ffb160319d570b3a9526fd5d12b9f6226432b29b,729aa8ef4c2a102f73e8621d5955adcf71205f2fe51ba6436ecfed5335044908,d76cec68ad9dafd9428476ea52704098910d0a27ffad6067e39b2e3962987a65
"0","1","0"
"5","2","40"
"14","3","60"
"24","4","80"
"39","5","100"
"59","6","120"
"84","7","140"
"114","8","160"
"149","9","180"
"188","10","200"
"233","11","220"
"283","12","240"
"338","13","260"
"397","14","280"
"462","15","300"
"532","16","320"
"606","17","340"
"686","18","360"
"770","19","380"
"860","20","400"
"954","21","420"
"1054","22","440"
"1158","23","460"
"1267","24","480"
"1382","25","500"
"1501","26","520"
"1626","27","540"
"1755","28","560"
"1889","29","580"
"2028","30","600"
"2172","31","620"
"2322","32","640"
"2476","33","660"
"2635","34","680"
"2799","35","700"
"2968","36","720"
"3142","37","740"
"3321","38","760"
"3505","39","780"
"3694","40","800"
"3888","41","820"
"4087","42","840"
"4291","43","860"
"4500","44","880"
"4713","45","900"
"4932","46","920"
"5156","47","940"
"5385","48","960"
"5618","49","980"
"5857","50","1000"
"6101","51","1020"
"6349","52","1040"
"6603","53","1060"
"6862","54","1080"
"7125","55","1100"
"7394","56","1120"
"7667","57","1140"
"7946","58","1160"
"8229","59","1180"
"8517","60","1200"
"8811","61","1220"
"9109","62","1240"
"9412","63","1260"
"9721","64","1280"
"10034","65","1300"
"10352","66","1320"
"10675","67","1340"
"11004","68","1360"
"11337","69","1380"
"11675","70","1400"
"12018","71","1420"
"12366","72","1440"
"12719","73","1460"
"13077","74","1480"
"13440","75","1500"
"13808","76","1520"
"14181","77","1540"
"14559","78","1560"
"14942","79","1580"
"15330","80","1600"
"15723","81","1620"
"16120","82","1640"
"16523","83","1660"
"16931","84","1680"
"17344","85","1700"
"17761","86","1720"
"18184","87","1740"
"18612","88","1760"
"19044","89","1780"
"19482","90","1800"
"19924","91","1820"
"20372","92","1840"
"20824","93","1860"
"21282","94","1880"
"21744","95","1900"
"22212","96","1920"
"22684","97","1940"
"23161","98","1960"
"23644","99","1980"
"24131","100","2000"
"24623","101","2020"
"25121","102","2040"
"25623","103","2060"
"26130","104","2080"
"26642","105","2100"
"27159","106","2120"
"27681","107","2140"
"28208","108","2160"
"28741","109","2180"
"29278","110","2200"
"29820","111","2220"
"30367","112","2240"
"30919","113","2260"
"31475","114","2280"
"32037","115","2300"
"32604","116","2320"
"33176","117","2340"
"33753","118","2360"
"34335","119","2380"
"34921","120","2400"
"35513","121","2420"
"36110","122","2440"
"36711","123","2460"
"37318","124","2480"
"37930","125","2500"
"38546","126","2520"
"39168","127","2540"
"39794","128","2560"
"40426","129","2580"
"41062","130","2600"
