69425296f34c7a414d9a8cf6f2e59d4af25d91eee669c59764a3df091c18fcfb,94ba12d94c4eb591f7ec88a40ab22493d01b5cfa8ccad82aaaa060bac2adbfb9,82b6b24bf298acacb537f2855fff620330467f7dddc4e28e97421d7a33297495,d27cb7539bf2483f62eb0c5e76c308535c19f4f0fa81cc52dfa0ccce29b5098f,5031cf82c9f54e24948726f87d9988cf1f60e9017e9f7d9ea4df9f27f117b039,67c086e421e414b7e366d9ddca480a10ea14135f7a9ff95f57067f371ea63b1c,3c33bf27b9a088f093cdcd6cbe4e4f7d1415e6aac2eec4d791e143aa7ce060c4,927b600f1dd67cbf306548f251f935f3aaf4b14b73f0b5fa896896eefa158390,1d3e4679561e462bf67777568670adab9fdb4b82fe8cfbbd48f3c3be42ecb0a1,643180a51ceb0d2827c0b68f018df0ef965b0f17e814af455784d859125a79cd,e2ba33ebc3cf311ad5ff9ffe7207d6853342c70d3b429f10e06ee5e646ee6712,3b51ff99b860578897904a7701e625a02eeda1250fff61b85585a985b2e0b277,257e6f8c8c940cb6b914fccd9becd942dba9dd6c9c2b52b85d184b929f682315,b340ff8ab1b3b35e3717ace97034db42a8a980a135015cd8d1a3aa50bdb509be,52baca56f46ee3a663810f8abb6cc051b23f05bfaa13e0cfa955220bec61bfac,63672c1366b512339709e550ed829f251944cc6a4b98713dcf113c06e317dba4,82c0e7bd4686f76f22679c4f669d0690ba430a54c26028534770d3e692a88422,54f32ea71dadba034a2bd7673bd92186f16fc55683ef888daa799e6e524a0a0a,7dd827acbfcbf07e8c83f239d7c981eda1f347405354d6b2ad34e2e2237ee473
"240701","2","25102","0","0","1000000000","25015","2","abyss_reward_icon_masterpieces_piece","0","10","2","1000","25014","2","92407","25021","1000","200"
"240702","2","25021","0","0","2000000000","25013","2","abyss_reward_icon_astralshard","0","300","2","1000","25012","2","92407","25011","1000","1000"
"240703","2","25102","0","0","3000000000","25015","2","abyss_reward_icon_masterpieces_piece","0","10","2","1000","25014","2","92407","25021","1000","500"
"240704","2","25021","0","0","4000000000","25013","2","abyss_reward_icon_astralshard","0","500","2","1000","25012","2","92407","25011","1000","1000"
"240705","2","25102","0","0","5000000000","25015","2","abyss_reward_icon_masterpieces_piece","0","10","2","1000","25014","2","92407","25021","1000","1000"
"240706","2","25021","0","0","6000000000","25013","2","abyss_reward_icon_astralshard","0","1000","2","1000","25012","2","92407","25011","1000","1000"
"240707","2","25102","0","0","7000000000","25015","2","abyss_reward_icon_masterpieces_piece","0","10","2","3000","25014","2","92407","25021","3000","1000"
"240708","2","25021","0","0","8000000000","25013","2","abyss_reward_icon_astralshard","0","1000","2","3000","25012","2","92407","25011","3000","3000"
"240709","2","25102","0","0","9000000000","25015","2","abyss_reward_icon_masterpieces_piece","0","10","2","3000","25014","2","92407","25021","3000","1000"
"240710","2","25102","0","0","10000000000","25012","2","abyss_reward_icon_masterpieces_piece","0","10","2","3000","25011","2","92407","25021","3000","1000"
"240711","2","25102","0","0","12000000000","25015","2","abyss_reward_icon_masterpieces_piece","0","10","2","3000","25013","2","92407","25021","3000","1000"
"240712","2","25021","0","0","16000000000","25014","2","abyss_reward_icon_astralshard","0","1000","2","3000","25012","2","92407","25011","3000","3000"
