d4f5da8984e8eac9d09d01d9a4210d9163648cff2c6410b0af2dee35ebb33c77,c897862c8f5bb983999e8fd41825633b9d70f251f9ea65c21ec1dbc15db12215,f70499eb7d08df0a177e061de754d7141870f8cdf456464d10cd5003a693ab3a,c34eb90b01e7b81add2d4f9931857c360724d46d36edde81fcb315a8e7a83174
"2019/03/01 4:59:59","1st Anniversary スペシャルログインボーナス","10000","2019/02/15 5:00:00"
"2019/05/07 4:59:59","GW スペシャルログインボーナス","10001","2019/04/27 5:00:00"
"2019/09/01 4:59:59","1.5Year Anniversary スペシャルログインボーナス","10002","2019/08/15 5:00:00"
"2020/03/01 4:59:59","2nd Anniversary スペシャルログインボーナス","10003","2020/02/15 5:00:00"
"2020/09/01 4:59:59","2.5 Year Anniversary スペシャルログインボーナス","10004","2020/08/15 5:00:00"
"2021/03/01 4:59:59","3rd Anniversary スペシャルログインボーナス","10005","2021/02/15 5:00:00"
"2021/09/01 4:59:59","3.5 Year Anniversary スペシャルログインボーナス","10006","2021/08/15 5:00:00"
"2022/03/01 4:59:59","4th Anniversary スペシャルログインボーナス","10007","2022/02/15 5:00:00"
"2022/09/01 4:59:59","4.5 Year Anniversary スペシャルログインボーナス","10008","2022/08/15 5:00:00"
"2023/03/01 4:59:59","5th Anniversary スペシャルログインボーナス","10009","2023/02/15 5:00:00"
"2023/09/01 4:59:59","5.5 Year Anniversary スペシャルログインボーナス","10010","2023/08/15 5:00:00"
"2024/03/01 4:59:59","6th Anniversary スペシャルログインボーナス","10011","2024/02/15 5:00:00"
"2024/09/01 4:59:59","6.5 Year Anniversary スペシャルログインボーナス","10012","2024/08/15 5:00:00"
"2025/03/01 4:59:59","7th Year Anniversary スペシャルログインボーナス","10013","2025/02/15 5:00:00"
"2025/09/01 4:59:59","7.5 Year Anniversary スペシャルログインボーナス","10014","2025/08/15 5:00:00"
"2026/03/01 4:59:59","8th Anniversary スペシャルログインボーナス","10015","2026/02/15 5:00:00"
