c6d073702ec787ae219de9c6cceb081dc344ad5f7354a3b213bf70288169ac5a,f903f6e06a9d087a68fc66293c461149062e521473ea6f23bc492691e004ff8e,38d0532ac2c864c78a858cd67a8d9414930210afff01de28b6c7d11afbf8a1d3,fff7743c4a0865b2b8ce262c6d598d0c02efa6770a0fc2aa6db3b7db7fcc3387,578a2eef26bb8fc7f44239baafef8216fe15ee5fcb3eb5aa9413f54fe9acf8b7,8a0ba5091f304fe3d29e2c6665d4b649b039318f82a7e27fdf37ad3881978017,a1f92e96425fa937c3e9670a2b47ac1f04f31a1968606c12f35f194d8408a941,f1676ea35b561af7efef3eb6818950d01aecb782123ea76cbae32bac91534e02,cb5e2ba2305f2bbad2ae5f696763ab020fe7409d0a485b68388a17644fd3e623,ae4e5d569a5e0e60a52b6ebaccbc106603af2324de1ddedc82f78d9527107ff4,09d23c8c997b267dc82e58da9f097f4e0aee7862fb7ed2e71b6087ac95984f8d
"idle_normal","100","-216","-103","1","1","1.4","5","1","1001","1"
"","-57","-140","1","1","13","0","31","","1002","13"
"","-57","-140","1","1","14","0","31","","1003","14"
"","","","","1","0","","91","","1004","0"
"","0","top_luis_arm_crossed_idle","1","1","1","0.2","3","0","1005","top_luis_arm_crossed_in"
"","","","","1","4","","93","","1006","0"
"","0","top_luis_approach_idle","1","1","1","0.2","3","0","1007","top_luis_approach_in"
"","","","","1","3.5","","93","","1008","0"
"","1","","","1","1","0.2","3","","1009","top_luis_thinking"
"","","","","1","3.5","","93","","1010","0"
"","1","","","1","1","0.2","3","","1011","top_luis_walk_think"
"","-103","2","0","1","1","","2","","1012","-495"
"","","","","1","2","","93","","1013","0"
"","","","","1","1","","4","","1014","0"
"","-103","2","0","1","1","","2","","1015","-216"
"","","","","1","2","","93","","1016","0"
"","1","","","1","1","0","3","","1017","top_luis_notice"
"","","","","1","1","","93","","1018","0"
"","1","","","1","1","0.2","3","","1019","top_luis_walk_jog"
"","-130","0.5","0","1","1","","2","","1020","-100"
"","","","","1","0.5","","93","","1021","0"
"","","","","1","1","","4","","1022","1"
"","0","top_luis_sit_idle","1","1","1","0.2","3","0","1023","top_luis_sit_in"
"","","","","1","0.1","","93","","1024","0"
"","-140","0.4","0","1","1","","2","","1025","-57"
"","","","","1","1","","93","","1026","0"
"","0","","","1","1","0.2","3","","1027","top_luis_experiment_failer_in"
"","","","","1","2.3","","93","","1028","0"
"","0","","","1","1","0.1","3","","1029","top_luis_experiment_failer_mix"
"","","","","1","2.7","","93","","1030","0"
"","","","","1","13","","32","","1031","1"
"","0","","","1","1","0.1","3","","1032","top_luis_experiment_failer_burst"
"","","","","1","2.7","","93","","1033","0"
"","0","","","1","1","0.1","3","","1034","top_luis_experiment_failer_out"
"","","","","1","1.1","","93","","1035","0"
"","0","idle_normal","1","1","1","0.2","3","0","1036","top_luis_sit_out"
"","-130","0.3","0","1","1","","2","","1037","-100"
"","","","","1","1","","93","","1038","0"
"","0","","","1","1","0.2","3","","1039","walk_normal"
"","-103","1","0","1","1","","2","","1040","-216"
"","","","","1","1","","93","","1041","0"
"","0","","","1","1","0.1","3","","1042","idle_normal"
"","","","","1","0.8","","93","","1043","0"
"","","","","1","13","","32","","1044","0"
"","0","top_luis_arm_crossed_idle","1","1","1","0.2","3","0","1045","top_luis_arm_crossed_in"
"","","","","1","4","","93","","1046","0"
"","0","top_luis_approach_idle","1","1","1","0.2","3","0","1047","top_luis_approach_in"
"","","","","1","3.5","","93","","1048","0"
"","1","","","1","1","0.2","3","","1049","top_luis_thinking"
"","","","","1","3.5","","93","","1050","0"
"","1","","","1","1","0.2","3","","1051","top_luis_walk_think"
"","-103","2","0","1","1","","2","","1052","-495"
"","","","","1","2","","93","","1053","0"
"","","","","1","1","","4","","1054","0"
"","-103","2","0","1","1","","2","","1055","-216"
"","","","","1","2","","93","","1056","0"
"","1","","","1","1","0","3","","1057","top_luis_notice"
"","","","","1","1","","93","","1058","0"
"","1","","","1","1","0.2","3","","1059","top_luis_walk_jog"
"","-130","0.5","0","1","1","","2","","1060","-100"
"","","","","1","0.5","","93","","1061","0"
"","","","","1","1","","4","","1062","1"
"","0","top_luis_sit_idle","1","1","1","0.2","3","0","1063","top_luis_sit_in"
"","","","","1","0.1","","93","","1064","0"
"","-140","0.4","0","1","1","","2","","1065","-57"
"","","","","1","1","","93","","1066","0"
"","0","","","1","1","0.2","3","","1067","top_luis_experiment_success_in"
"","","","","1","2.3","","93","","1068","0"
"","0","","","1","1","0.1","3","","1069","top_luis_experiment_success_mix"
"","","","","1","2.7","","93","","1070","0"
"","","","","1","14","","32","","1071","1"
"","0","","","1","1","0.1","3","","1072","top_luis_experiment_success_burst"
"","","","","1","2.7","","93","","1073","0"
"","0","","","1","1","0.1","3","","1074","top_luis_experiment_success_out"
"","","","","1","1.1","","93","","1075","0"
"","0","idle_normal","1","1","1","0.2","3","0","1076","top_luis_sit_out"
"","-130","0.3","0","1","1","","2","","1077","-100"
"","","","","1","1","","93","","1078","0"
"","0","","","1","1","0.2","3","","1079","walk_normal"
"","-103","1","0","1","1","","2","","1080","-216"
"","","","","1","1","","93","","1081","0"
"","0","","","1","1","0.1","3","","1082","idle_normal"
"","","","","1","0.8","","93","","1083","0"
"","","","","1","14","","32","","1084","0"
"","0","0","","1","1005","","101","","1085",""
"top_iroha_read","100","400","-130","2","2","1.43","5","1","2001","2"
"butterfly","101","980","130","2","11","1.4","5","1","2002","11"
"","400","-130","1","2","11","0","31","","2003","11"
"","","","","2","0","","91","","2004","0"
"","1","","","2","2","0.2","3","","2005","top_iroha_read"
"","","","","2","9","","93","","2006","0"
"","","","","2","11","","4","","2007","1"
"","130","7","0","2","11","","2","","2008","-980"
"","","","","2","2.5","","93","","2009","0"
"","0","","","2","2","0.2","3","","2010","top_iroha_read_notice"
"","","","","2","0.6","","93","","2011","0"
"","0","top_iroha_run","1","2","2","0","3","0","2012","top_iroha_notice_to_run"
"","","","","2","0.4","","93","","2013","0"
"","","","","2","11","","32","","2014","1"
"","","","","2","11","","37","","2015","smokeR"
"","-130","4.2","0","2","11","","33","","2016","-980"
"","-130","4.2","0","2","2","","2","","2017","-980"
"","","","","2","4.2","","93","","2018","0"
"","","","","2","11","","32","","2019","0"
"","","","","2","1","","93","","2020","0"
"","","","","2","11","","4","","2021","0"
"","130","7","0","2","11","","2","","2022","980"
"","","","","2","1.5","","93","","2023","0"
"","","","","2","11","","32","","2024","1"
"","","","","2","11","","37","","2025","smokeL"
"","-130","5.964","0","2","11","","33","","2026","980"
"","1","","","2","2","0","3","","2027","top_iroha_run_joy"
"","","","","2","2","","4","","2028","0"
"","-130","5.964","0","2","2","","2","","2029","980"
"","","","","2","5.964","","93","","2030","0"
"","","","","2","11","","32","","2031","0"
"","","","","2","2","","93","","2032","0"
"","1","","","2","2","0","3","","2033","top_iroha_walk"
"","","","","2","2","","4","","2034","1"
"","-130","3","0","2","2","","2","","2035","400"
"","-130","3","0","2","11","","33","","2036","400"
"","","","","2","3","","93","","2037","0"
"","0","idle_normal","1","2","2","0.2","3","0","2038","top_iroha_walk_out"
"","","","","2","0.4","","93","","2039","0"
"","0","","","2","2","0.2","3","0.2","2040","top_iroha_sit_in"
"","","","","2","4","","93","","2041","0"
"","","","","2","2005","","101","","2042",""
"top_sono_readPaper","100","350","-130","3","3","1.38","5","1","3001","3"
"","475","-18","1","3","10","1","31","","3002","10"
"","","","","3","0","","91","","3003","0"
"","1","","","3","3","0.2","3","","3004","top_sono_readPaper"
"","","","","3","13.6","","93","","3005","0"
"","0","top_sono_stretch","1","3","3","0.2","3","0","3006","top_sono_sit_out"
"","","","","3","3.5","","93","","3007","0"
"","1","","","3","3","0.2","3","","3008","top_sono_drink"
"","","","","3","10.5","","93","","3009",""
"","0","","","3","3","0.2","3","","3010","top_sono_sit_in"
"","","","","3","2.6","","93","","3011","0"
"","","","","3","3004","","101","","3012",""
"top_iroha_read","101","400","-130","4","2","1.43","5","1","4001","2"
"top_luis_thinking","100","-216","-103","4","1","1.4","5","1","4002","1"
"butterfly","102","980","130","4","11","1.4","5","1","4003","11"
"","400","-130","1","4","11","0","31","","4004","11"
"","","","","4","0","","91","","4005","0"
"","1","","","4","1","0.2","3","","4006","top_luis_thinking"
"","1","","","4","2","0.2","3","","4007","top_iroha_read"
"","","","","4","9","","93","","4008","0"
"","","","","4","11","","4","","4009","1"
"","130","7","0","4","11","","2","","4010","-980"
"","","","","4","2.5","","93","","4011","0"
"","0","","","4","2","0.2","3","","4012","top_iroha_read_notice"
"","","","","4","0.6","","93","","4013","0"
