36bde453c7baf8fc02f55264ce4c6eef0ed818b8bcb05b7706ab5cde48698362,08534c9f9711e699b0777b5f53f491b1a401fa60bce2fa059d555376e8c24329,9e13679cf8999e66e10d015adc16c4f5668b35f5e8017bc435748448593d0a05,c95963851fcd55625138e89727167c9f98fd850fd95d0c619021d7623295621f,2d8ea11da661c0ebac161427803bd75a36e7d1d7e6cac9097bac33ffeef81cbb,9f9e05b3bb29741d4ae997f42655988ac03848111dc6482163523a6b67692936,6ee06beac75f67b73a044abaf00abf128a656ead6ff10c07082782b89b06c030,a25530e2135a7ee03b318255732c396dfd7532f1dba58e754540e620e49d9381,1bfbfaff820cf69fa85d80409f3d9fe46e6314cc9785676f91ba9f4cc0617ba2,20eb48f8ece2d5ec3d518a25b512440029e6c978c5a13b9fd1027297be678ae7,d1a351d4d5e83fbd9b5cc0613dbfb547cbfade1a51e552106b9683443a27240a
"1回バトルしよう","7000","2021/08/17 12:00:00","2021/08/24 11:59:59","10000101","0","10000101","0","10","1","1000"
"5回バトルしよう","7000","2021/08/17 12:00:00","2021/08/24 11:59:59","10000102","0","10000102","0","10","5","1000"
"10回バトルしよう","7000","2021/08/17 12:00:00","2021/08/24 11:59:59","10000103","0","10000103","0","10","10","1000"
"15回バトルしよう","7000","2021/08/17 12:00:00","2021/08/24 11:59:59","10000104","0","10000104","0","10","15","1000"
"20回バトルしよう","7000","2021/08/17 12:00:00","2021/08/24 11:59:59","10000105","0","10000105","0","10","20","1000"
"25回バトルしよう","7000","2021/08/17 12:00:00","2021/08/24 11:59:59","10000106","0","10000106","0","10","25","1000"
"30回バトルしよう","7000","2021/08/17 12:00:00","2021/08/24 11:59:59","10000107","0","10000107","0","10","30","1000"
"35回バトルしよう","7000","2021/08/17 12:00:00","2021/08/24 11:59:59","10000108","0","10000108","0","10","35","1000"
"40回バトルしよう","7000","2021/08/17 12:00:00","2021/08/24 11:59:59","10000109","0","10000109","0","10","40","1000"
"ミソラに累積300万ダメージ与えよう","7001","2021/08/17 12:00:00","2021/08/24 11:59:59","10050501","1005","10050501","0","50","3000000","1005"
"ミソラに累積900万ダメージ与えよう","7001","2021/08/17 12:00:00","2021/08/24 11:59:59","10050502","1005","10050502","0","50","9000000","1005"
"ミソラに累積1500万ダメージ与えよう","7001","2021/08/17 12:00:00","2021/08/24 11:59:59","10050503","1005","10050503","0","50","15000000","1005"
"ミソラに1度のバトルで100万ダメージ与えよう","7002","2021/08/17 12:00:00","2021/08/24 11:59:59","10050511","1005","10050511","1000000","51","1","1005"
"ミソラに1度のバトルで300万ダメージ与えよう","7002","2021/08/17 12:00:00","2021/08/24 11:59:59","10050512","1005","10050512","3000000","51","1","1005"
"ランファに累積500万ダメージ与えよう","7001","2021/08/17 12:00:00","2021/08/24 11:59:59","10060601","1006","10060601","0","60","5000000","1006"
"ランファに累積1500万ダメージ与えよう","7001","2021/08/17 12:00:00","2021/08/24 11:59:59","10060602","1006","10060602","0","60","15000000","1006"
"ランファに累積2400万ダメージ与えよう","7001","2021/08/17 12:00:00","2021/08/24 11:59:59","10060603","1006","10060603","0","60","24000000","1006"
"ランファに1度のバトルで200万ダメージ与えよう","7002","2021/08/17 12:00:00","2021/08/24 11:59:59","10060611","1006","10060611","2000000","61","1","1006"
"ランファに1度のバトルで500万ダメージ与えよう","7002","2021/08/17 12:00:00","2021/08/24 11:59:59","10060612","1006","10060612","5000000","61","1","1006"
"アゾールドに累積300万ダメージ与えよう","7001","2021/08/17 12:00:00","2021/08/24 11:59:59","10070701","1007","10070701","0","70","3000000","1007"
"アゾールドに累積900万ダメージ与えよう","7001","2021/08/17 12:00:00","2021/08/24 11:59:59","10070702","1007","10070702","0","70","9000000","1007"
"アゾールドに累積1500万ダメージ与えよう","7001","2021/08/17 12:00:00","2021/08/24 11:59:59","10070703","1007","10070703","0","70","15000000","1007"
"アゾールドに1度のバトルで100万ダメージ与えよう","7002","2021/08/17 12:00:00","2021/08/24 11:59:59","10070711","1007","10070711","1000000","71","1","1007"
"アゾールドに1度のバトルで300万ダメージ与えよう","7002","2021/08/17 12:00:00","2021/08/24 11:59:59","10070712","1007","10070712","3000000","71","1","1007"
"カリザに累積500万ダメージ与えよう","7001","2021/08/17 12:00:00","2021/08/24 11:59:59","10080801","1008","10080801","0","80","5000000","1008"
"カリザに累積1500万ダメージ与えよう","7001","2021/08/17 12:00:00","2021/08/24 11:59:59","10080802","1008","10080802","0","80","15000000","1008"
"カリザに累積2400万ダメージ与えよう","7001","2021/08/17 12:00:00","2021/08/24 11:59:59","10080803","1008","10080803","0","80","24000000","1008"
"カリザに1度のバトルで200万ダメージ与えよう","7002","2021/08/17 12:00:00","2021/08/24 11:59:59","10080811","1008","10080811","2000000","81","1","1008"
"カリザに1度のバトルで500万ダメージ与えよう","7002","2021/08/17 12:00:00","2021/08/24 11:59:59","10080812","1008","10080812","5000000","81","1","1008"
