b7968b48ff10178784c3069845e1600c3153d6c2adc849cb8e83e813c2d538ec,085e87263942486551a2b7122d70c1171b59a5035c280f4ca9de643776b71af6,9d69ee5a40817ba20b3087cb18493047d230391fb0a0642633dea40ff7953df9,4c9cc4490af769792cd34be74c36dd09ae82fb96f940bba18ec89911f85af4f8,1b7348d4f730cc5c89d5f1d6c4a8331e684a1ebeb6f671e0aae8a8ee827023e8
"1","1","1","41","26"
"2","2","1","41","101"
"3","3","1","61","61"
"4","4","1","50","82"
"5","5","1","41","21"
"6","6","1","41","108"
"7","7","1","55","79"
"8","8","1","68","57"
"9","9","1","44","28"
"10","10","1","44","97"
"11","11","1","55","47"
"12","12","1","67","68"
"13","13","1","38","10"
"14","14","1","38","119"
"15","15","1","52","90"
"16","16","1","65","28"
"17","17","1","40","25"
"18","18","1","40","101"
"19","19","1","58","65"
"20","20","1","64","36"
"21","21","1","41","25"
"22","22","1","41","86"
"23","23","1","60","40"
"24","24","1","40","16"
"25","25","1","40","115"
"26","26","1","63","28"
"27","27","1","41","28"
"28","28","1","41","96"
"29","29","1","55","70"
"30","30","1","41","33"
"31","31","1","41","83"
"32","32","1","68","57"
"33","33","1","37","36"
"34","34","1","37","82"
"35","35","1","58","82"
"36","36","1","38","27"
"37","37","1","38","102"
"38","38","1","52","39"
"39","39","1","65","62"
"40","40","1","38","28"
"41","41","1","38","93"
"42","42","1","56","54"
"43","43","1","63","28"
"44","44","1","40","39"
"45","45","1","40","115"
"46","46","1","55","21"
"47","47","1","66","60"
"48","48","1","38","15"
"49","49","1","38","76"
"50","50","1","53","58"
"51","51","1","61","36"
"52","52","1","38","28"
"53","53","1","38","89"
"54","54","1","56","23"
"55","55","1","66","67"
"56","56","2","40","31"
"57","57","2","40","89"
"58","58","2","67","42"
"59","59","2","55","61"
"60","60","2","40","21"
"61","61","2","40","93"
"62","62","2","57","61"
"63","63","2","68","44"
"64","64","2","43","21"
"65","65","2","43","101"
"66","66","2","57","56"
"67","67","2","75","108"
"68","68","2","37","30"
"69","69","2","37","83"
"70","70","2","53","39"
"71","71","2","67","24"
"72","72","2","38","25"
"73","73","2","38","91"
"74","74","2","65","83"
"75","75","2","55","65"
"76","76","2","39","21"
"77","77","2","39","93"
"78","78","2","62","26"
"79","79","2","72","107"
"80","80","2","38","36"
"81","81","2","38","86"
"82","82","2","55","50"
"83","83","2","62","25"
"84","84","2","40","24"
"85","85","2","40","86"
"86","86","2","65","46"
"87","87","2","58","69"
"88","88","2","43","24"
"89","89","2","43","99"
"90","90","2","62","24"
"91","91","2","72","107"
"92","92","2","43","21"
"93","93","2","43","104"
"94","94","2","67","46"
"95","95","2","55","69"
"96","96","2","40","28"
"97","97","2","40","86"
"98","98","2","65","43"
"99","99","2","44","21"
"100","100","2","44","98"
"101","101","2","65","54"
"102","102","2","38","36"
"103","103","2","38","83"
"104","104","2","58","93"
"105","105","2","43","17"
"106","106","2","43","98"
"107","107","2","61","28"
"108","108","2","37","36"
"109","109","2","37","86"
"110","110","2","65","72"
"111","111","3","44","26"
"112","112","3","44","102"
"113","113","3","91","50"
"114","114","3","78","88"
"115","115","3","35","43"
"116","116","3","35","86"
"117","117","3","85","43"
"118","118","3","66","53"
"119","119","3","47","28"
"120","120","3","47","101"
"121","121","3","66","46"
"122","122","3","85","79"
"123","123","3","37","39"
"124","124","3","37","91"
"125","125","3","78","57"
"126","126","3","60","71"
"127","127","3","37","36"
"128","128","3","37","93"
"129","129","3","62","39"
"130","130","3","88","50"
"131","131","3","106","65"
"132","132","3","35","39"
"133","133","3","35","91"
"134","134","3","86","65"
"135","135","3","57","41"
"136","136","3","70","93"
"137","137","3","106","65"
"138","138","3","41","30"
"139","139","3","41","99"
"140","140","3","91","78"
"141","141","3","60","57"
"142","142","3","72","37"
"143","143","3","106","65"
"144","144","3","41","36"
"145","145","3","41","93"
"146","146","3","57","57"
"147","147","3","75","39"
"148","148","3","85","86"
"149","149","3","106","65"
"150","150","3","38","39"
"151","151","3","38","91"
"152","152","3","88","48"
"153","153","3","63","67"
"154","154","3","81","83"
"155","155","3","106","65"
"156","156","3","35","39"
"157","157","3","35","91"
"158","158","3","72","92"
