e481cfd87426479cd75d9a59211c37dd7aea0b6b2a46f7aeaa3848e36ef29ca1,5b0a45d667cbaa487e8997a8e6924780677ae2f63f8e55cb5a99050b7fe4b47d,77b88a4ec6823f30ff5c39a8e0cc29dbe99d63efd1bcb5af1962842e2f53f19c,09b0433d2970ec290c8672393bed662960d442f7ee09623ef7fc7a1d344e043f,2956842b61c2e007c7aa41c35e66c9822cd8fe281d1c9ed93142b8feeabf8ad7,9938a7261e059cd12a4d824f64a393a2d4dcb6bce6a000d693ef5c2568f0a66c,19c484ce500a1240214df946652fa3c2f651df7a92ead555a4964604c0df0128,486b37b9aa9a77ac33e41e24affddeb316a5de3583e5758872c2217f4d22fb2f,8e113cf074c1ab2169cdab05c5e04bc8db1fdccd6f242d98ea4476df70d55e8e,b69129c8732e56cc0bb8d8d9315f29a7e23f348fd7003400da43e4493774449f,ea479ff9a77d17db412c2bb15c2afc48bd93d6e7ece859f32e468cb9d270917e,fc50b376250d38f42d47ebd27a95ef03ed6cb600474755b65fda7cc364ab2ae7
"1","107601","107601","10004","0","2018/06/30 12:00:00","0","0","1004","0","2018/07/19 14:59:59","5004401"
"2","107601","1000403","10004","0","2018/06/30 12:00:00","1","0","1002","0","2018/07/19 14:59:59","5004402"
"3","107701","10","10004","0","2018/06/30 12:00:00","0","0","1001","0","2018/07/19 14:59:59","5004403"
"4","107501","20","10004","0","2018/06/30 12:00:00","0","0","1001","0","2018/07/19 14:59:59","5004404"
"5","107601","30","10004","0","2018/06/30 12:00:00","0","0","1001","0","2018/07/19 14:59:59","5004405"
"6","107501","2","10004","0","2018/06/30 12:00:00","0","0","1003","0","2018/07/19 14:59:59","5004406"
"7","107601","5","10004","0","2018/06/30 12:00:00","0","0","1003","0","2018/07/19 14:59:59","5004407"
"8","107801","8","10004","0","2018/06/30 12:00:00","0","0","1003","0","2018/07/19 14:59:59","5004408"
"9","107701","12","10004","0","2018/06/30 12:00:00","0","0","1003","0","2018/07/19 14:59:59","5004409"
"10","107501","16","10004","0","2018/06/30 12:00:00","0","0","1003","0","2018/07/19 14:59:59","5004410"
"11","107601","20","10004","0","2018/06/30 12:00:00","0","0","1003","0","2018/07/19 14:59:59","5004411"
"12","108001","108001","10005","0","2018/07/31 12:00:00","0","0","1004","0","2018/08/19 14:59:59","5005401"
"13","107901","1000503","10005","0","2018/07/31 12:00:00","1","0","1002","0","2018/08/19 14:59:59","5005402"
"14","108001","10","10005","0","2018/07/31 12:00:00","0","0","1001","0","2018/08/19 14:59:59","5005403"
"15","107901","20","10005","0","2018/07/31 12:00:00","0","0","1001","0","2018/08/19 14:59:59","5005404"
"16","108001","30","10005","0","2018/07/31 12:00:00","0","0","1001","0","2018/08/19 14:59:59","5005405"
"17","107901","2","10005","0","2018/07/31 12:00:00","0","0","1003","0","2018/08/19 14:59:59","5005406"
"18","108001","5","10005","0","2018/07/31 12:00:00","0","0","1003","0","2018/08/19 14:59:59","5005407"
"19","107901","8","10005","0","2018/07/31 12:00:00","0","0","1003","0","2018/08/19 14:59:59","5005408"
"20","108001","12","10005","0","2018/07/31 12:00:00","0","0","1003","0","2018/08/19 14:59:59","5005409"
"21","107901","16","10005","0","2018/07/31 12:00:00","0","0","1003","0","2018/08/19 14:59:59","5005410"
"22","108001","20","10005","0","2018/07/31 12:00:00","0","0","1003","0","2018/08/19 14:59:59","5005411"
"23","103701","1000603","10006","0","2018/08/31 12:00:00","1","0","1002","0","2018/09/18 14:59:59","5006402"
