3787f4e8b2a31c7c190fd348ac34cd788d18aaef7e143ac17c4fb10b97b1f870,929b6b1f7d3697c5135d580728b76bc7ee17a1428f54169e18b54e4dc2e1ed69,64be9d4c08e245afdc5c8b9ba2743f37b26b8b9cd910ac0e55a499d43a51ee7f
"1","1","118501"
"2","1","105801"
"3","1","105901"
"4","1","106001"
"5","1","106401"
"6","2","105801"
"7","3","105901"
"8","4","106001"
"9","5","106401"
"10","6","104401"
"11","7","102201"
"12","8","100601"
"13","9","103101"
"14","10","100701"
"15","11","105301"
"16","12","100801"
"17","13","104501"
"18","14","103001"
"19","15","102901"
"20","16","104201"
"21","17","105401"
"22","18","107101"
"23","19","104701"
"24","20","103701"
"25","21","100501"
"26","22","103201"
"27","23","104801"
"28","24","103401"
"29","25","104601"
"30","26","104001"
"31","27","101201"
"32","28","101501"
"33","29","102801"
"34","30","102501"
"35","31","102301"
"36","32","102101"
"37","33","101001"
"38","34","104301"
"39","35","101701"
"40","36","101401"
"41","37","106101"
"42","38","107001"
"43","39","106501"
"44","40","106601"
"45","41","103301"
"46","42","105201"
"47","43","103801"
"48","44","102601"
"49","45","105801"
"50","45","105901"
"51","45","106001"
"52","45","106401"
"53","46","100401"
"54","47","103601"
"55","48","102001"
"56","48","100401"
"57","48","103601"
"58","49","100101"
"59","50","100101"
"60","50","100201"
"61","50","100301"
"62","51","100301"
"63","52","105501"
"64","52","105301"
"65","52","104501"
"66","52","100801"
"67","52","103001"
"68","53","105001"
"69","54","101801"
"70","55","101601"
"71","55","105001"
"72","55","101801"
"73","56","105301"
"74","57","100801"
"75","58","104501"
"76","59","103001"
"77","60","106501"
"78","61","106601"
"79","62","106701"
"80","62","106501"
"81","62","106601"
"82","63","106001"
"83","64","105901"
"84","65","106401"
"85","66","100401"
"86","67","103601"
"87","68","101801"
"88","69","105001"
"89","70","105301"
"90","71","100801"
"91","72","104501"
"92","73","103001"
"93","74","100101"
"94","75","100301"
"95","76","105801"
"96","77","106001"
"97","78","106401"
"98","79","100701"
"99","80","104401"
"100","80","103101"
"101","80","100701"
"102","80","102201"
"103","80","100601"
"104","81","103101"
"105","82","102801"
"106","83","102501"
"107","84","102101"
"108","85","102301"
"109","85","102101"
"110","85","102801"
"111","85","102501"
"112","86","105901"
"113","86","106401"
"114","86","106001"
"115","86","105801"
"116","87","106401"
"117","88","106001"
"118","89","105801"
"119","90","103101"
"120","91","100701"
"121","92","104401"
"122","93","102801"
"123","94","102501"
"124","95","102101"
"125","96","102301"
"126","97","106401"
"127","98","106001"
"128","99","105901"
"129","100","105801"
"130","101","104401"
"131","102","103101"
"132","103","100701"
"133","104","102801"
