46d9d4dc97945d0c1de9ff69823fc5776e357bdb2e623ab0f17afbdcac687cff,fcd980e1649f66900f8b2e632382136808581993655040174b1063c883df98b8,0635f2e20e2abf014eb5ba3ff39cf8d3f402c1e7077997f1824362a8cdbbdd61,4e1ab85899a8e78a3d1701524eb2b3c9b07e1320fcfb00a0aa9bcc910265fa0b,9c24756a858fbf66f7ec9026bd41d7026861512dd0c4f0cd9500851ff1f7fb65,19ca885c56205f32cf8a43916c7bdc1736926cf8ba3f9e630afe1880e14a8b35,2012a8579c1671c9e07860b2f9f29f6ef9636cde72c2ab81f99f69930fcaeed4
"50","1","1004","150","100","250","200"
"80","2","1004","240","160","400","320"
"50","3","1004","150","100","250","200"
"50","5","1004","150","100","250","200"
"80","6","1004","240","160","400","320"
"1","12","1004","1","1","3","2"
"50","1","1005","150","100","250","200"
"50","3","1005","150","100","250","200"
"80","4","1005","240","160","400","320"
"50","5","1005","150","100","250","200"
"80","7","1005","240","160","400","320"
"1","13","1005","1","1","3","2"
"25","1","1010","75","50","125","100"
"40","2","1010","120","80","200","160"
"25","3","1010","75","50","125","100"
"25","5","1010","75","50","125","100"
"40","6","1010","120","80","200","160"
"25","1","1011","75","50","125","100"
"25","3","1011","75","50","125","100"
"40","4","1011","120","80","200","160"
"25","5","1011","75","50","125","100"
"40","7","1011","120","80","200","160"
"100","1","1006","300","200","500","400"
"50","2","1006","150","100","250","200"
"100","3","1006","300","200","500","400"
"100","5","1006","300","200","500","400"
"50","6","1006","150","100","250","200"
"1","12","1006","1","1","3","2"
"100","1","1007","300","200","500","400"
"100","3","1007","300","200","500","400"
"50","4","1007","150","100","250","200"
"100","5","1007","300","200","500","400"
"50","7","1007","150","100","250","200"
"1","13","1007","1","1","3","2"
"50","1","1012","150","100","250","200"
"80","2","1012","240","160","400","320"
"50","3","1012","150","100","250","200"
"50","5","1012","150","100","250","200"
"80","6","1012","240","160","400","320"
"1","12","1012","3","2","5","4"
