264bbc4c46a740888d1045c8c04fde9d9cacaba0ec0358d42696fe5f7f528010,101a8a4ad281412efdb973e9dabd2782e5da32acfae907af9a160f8304f28433,b7ab9cd03cb6b5249595546107a689b17bd6a45558903163cdcbb5b8450922e6,23d76533298016e1917e3070e21830d10d7850a04286534b47c5de18e2002718,40e6479c485800119b0dcbf2110b08107fbcfec8a3f10068387a2adc77ce8c9c,7ddc1b349efa405e107bca409f02ba533f5b3972a6ceae908d1c8178b5a8b92b,8837727b30d0f6975b72e0d8a6805d677b3b968a4e8397e4a22c9516869e2de0,4bb2394d6967321cda7b6469138215e3ff3a166762feb9a4f166925e220541ca,f516f1d765d5ff06a243a96911080a02da88789c8dd5a99fa955fc9216aeb3aa,ee465185807a7eef78c3ad97cc1700980875c05f49b45058dbb0fd81ff3f8bf6,a8b25f4738ecbffbdf4ce2775587a9c0447a2ab314fc4d51187670ca7c3c473a,7779ac60af827070f57f774082a48cead84bda7a594b76f169411e095128969b,4c80126b823c963c424c4350b4e8a07426cec5d0ae62b5128253fa990c8a5882,37220ce282d5270913661e6e6eb462f4585a94d9a896fc66b54144fba6ae3d1b,047cfb7646d7876562b7d075fd1e369fb1b0c013c1211f3f27e62a0d583511c2,9cfe731bcc686ecbabfcad7f17d70a709c8e8c2a7da18f40f69717a3d3046cf1,fb9b48786df1a65c5a385db32510394c4e45134fab36476f4808540e5804dbe4,7f901b4432a39cc86f18d8dd9a1578bf6e47e75fc8b4797dbc9aae31d1ea5bed,85a215b55a20fab983e0f2b8b640b90ff020bbf579afcd7a2e00b56841d834f1,dce297b437654d5e947451c93036e7c5146cca232242e0c74c5ff955180e968c
"803100251","100","803100201","0","0","0","0","803100201","803100263","0","803100253","0","0","0","0","803100252","0","0","803100201","0"
"803100251","100","803100205","0","0","0","0","803100202","803100263","0","803100253","0","0","0","0","803100252","0","0","803100202","0"
"803100251","100","803100209","0","0","0","0","803100203","803100263","0","803100253","0","0","0","0","803100252","0","0","803100203","0"
"803100254","100","803100213","0","0","0","0","803100204","803100263","0","803100256","0","0","0","0","803100255","0","0","803100204","0"
"803100254","100","803100214","0","0","0","0","803100205","803100263","0","803100256","0","0","0","0","803100255","0","0","803100205","0"
"803100254","100","803100215","0","0","0","0","803100206","803100263","0","803100256","0","0","0","0","803100255","0","0","803100206","0"
"803100257","100","803100216","0","0","0","0","803100207","803100263","0","803100259","0","0","0","0","803100258","0","0","803100207","0"
"803100257","100","803100217","0","0","0","0","803100208","803100263","0","803100259","0","0","0","0","803100258","0","0","803100208","0"
"803100257","100","803100218","0","0","0","0","803100209","803100263","0","803100259","0","0","0","0","803100258","0","0","803100209","0"
"803100260","100","803100219","0","0","0","0","803100210","803100263","0","803100262","0","0","0","0","803100261","0","0","803100210","0"
"803100260","100","803100220","0","0","0","0","803100211","803100263","0","803100262","0","0","0","0","803100261","0","0","803100211","0"
"803100260","100","803100221","0","0","0","0","803100212","803100263","0","803100262","0","0","0","0","803100261","0","0","803100212","0"
"803100264","100","803100222","0","0","0","0","803100213","803100267","0","803100266","0","0","0","0","803100265","0","0","803100213","0"
"803100264","100","803100223","0","0","0","0","803100214","803100267","0","803100266","0","0","0","0","803100265","0","0","803100214","0"
"803100264","100","803100224","0","0","0","0","803100215","803100267","0","803100266","0","0","0","0","803100265","0","0","803100215","0"
"803100226","100","803100225","0","0","0","0","803100216","803100272","0","803100269","0","0","0","0","803100268","0","0","803100216","0"
"803100228","100","803100227","0","0","0","0","803100217","803100272","0","803100269","0","0","0","0","803100268","0","0","803100217","0"
"803100230","100","803100229","0","0","0","0","803100218","803100272","0","803100269","0","0","0","0","803100268","0","0","803100218","0"
"803100232","100","803100231","0","0","0","0","803100219","803100272","0","803100271","0","0","0","0","803100270","0","0","803100219","0"
"803100234","100","803100233","0","0","0","0","803100220","803100272","0","803100271","0","0","0","0","803100270","0","0","803100220","0"
"803100236","100","803100235","0","0","0","0","803100221","803100272","0","803100271","0","0","0","0","803100270","0","0","803100221","0"
"0","100","803100237","0","0","0","0","803100222","0","0","0","0","0","0","0","0","0","0","803100222","0"
"0","100","803100238","0","0","0","0","803100223","0","0","0","0","0","0","0","0","0","0","803100223","0"
"0","100","803100239","0","0","0","0","803100224","0","0","0","0","0","0","0","0","0","0","803100224","0"
