a19ee26771f6cfa7d2d6a290dc6c709c165a525e8e5793ccfb2a51710230413b,8c5d22d74a841bf02085a8607a0cf6d538b7f310d89e739803b3428532b2adf7,2d5a16b4143be7dc1e9b7417fde57b485a6887ba8042a9cd0c01a368bec0d545,0a7d9e33b3c009b0772aa459a5c5be8597fd91992c8134d03c659843b2873594,8805c5255301c8139accb4f654cbb4b8e4ca5cb2708bdad8d4b835161081a9ee,eeedbed6db8fa11aee380bf749fce19c0ea3cbdb8e61b179f136660c35e2a7f3,84783418ba3f5698ea799085f7c2ed4b264e19e889fa98114f6664df24fc0b18,a622f9fedd91f2e050db90e7c7edb8a0e7b62cb8d39018c20886b4ca33cc5e65
"1","0","1","14","25201","0","6","25203"
"1","0","2","14","25201","0","6","25203"
"1","0","3","14","25201","0","6","25203"
"1","4","4","16","25201","25205","6","25203"
"1","4","5","16","25201","25205","6","25203"
"1","4","6","16","25201","25205","6","25203"
"1","5","7","18","25201","25205","8","25203"
"1","5","8","18","25201","25205","8","25203"
"1","5","9","18","25201","25205","8","25203"
"1","6","10","20","25201","25205","10","25203"
"1","6","11","20","25201","25205","10","25203"
"1","6","12","20","25201","25205","10","25203"
"1","7","13","22","25201","25205","12","25203"
"1","7","14","22","25201","25205","12","25203"
"1","7","15","22","25201","25205","12","25203"
"2","0","1","14","25201","0","6","25203"
"2","0","2","14","25201","0","6","25203"
"2","0","3","14","25201","0","6","25203"
"2","4","4","16","25201","25205","6","25203"
"2","4","5","16","25201","25205","6","25203"
"2","4","6","16","25201","25205","6","25203"
"2","5","7","18","25201","25205","8","25203"
"2","5","8","18","25201","25205","8","25203"
"2","5","9","18","25201","25205","8","25203"
"2","6","10","20","25201","25205","10","25203"
"2","6","11","20","25201","25205","10","25203"
"2","6","12","20","25201","25205","10","25203"
"2","7","13","22","25201","25205","12","25203"
"2","7","14","22","25201","25205","12","25203"
"2","7","15","22","25201","25205","12","25203"
"3","0","1","8","25201","0","14","25205"
"3","0","2","8","25201","0","14","25205"
"3","0","3","8","25201","0","14","25205"
"3","8","4","3","25201","25205","16","25203"
"3","8","5","3","25201","25205","16","25203"
"3","8","6","3","25201","25205","16","25203"
"3","10","7","4","25201","25205","18","25203"
"3","10","8","4","25201","25205","18","25203"
"3","10","9","4","25201","25205","18","25203"
"3","12","10","5","25201","25205","20","25203"
"3","12","11","5","25201","25205","20","25203"
"3","12","12","5","25201","25205","20","25203"
"3","14","13","6","25201","25205","22","25203"
"3","14","14","6","25201","25205","22","25203"
"3","14","15","6","25201","25205","22","25203"
"4","0","1","8","25201","0","14","25205"
"4","0","2","8","25201","0","14","25205"
"4","0","3","8","25201","0","14","25205"
"4","8","4","3","25201","25205","16","25203"
"4","8","5","3","25201","25205","16","25203"
"4","8","6","3","25201","25205","16","25203"
"4","10","7","4","25201","25205","18","25203"
"4","10","8","4","25201","25205","18","25203"
"4","10","9","4","25201","25205","18","25203"
"4","12","10","5","25201","25205","20","25203"
"4","12","11","5","25201","25205","20","25203"
"4","12","12","5","25201","25205","20","25203"
"4","14","13","6","25201","25205","22","25203"
"4","14","14","6","25201","25205","22","25203"
"4","14","15","6","25201","25205","22","25203"
"5","8","1","7","25201","25205","6","25203"
"5","8","2","6","25201","25205","7","25203"
"5","8","3","7","25201","25205","7","25203"
"5","10","4","8","25201","25205","8","25203"
"5","10","5","9","25201","25205","8","25203"
"5","10","6","8","25201","25205","9","25203"
"5","11","7","10","25201","25205","10","25203"
"5","11","8","10","25201","25205","10","25203"
"5","11","9","10","25201","25205","10","25203"
"5","13","10","12","25201","25205","11","25203"
"5","13","11","11","25201","25205","12","25203"
"5","13","12","12","25201","25205","12","25203"
"5","15","13","13","25201","25205","13","25203"
"5","15","14","13","25201","25205","14","25203"
"5","15","15","14","25201","25205","13","25203"
"6","0","1","14","25203","0","6","25205"
"6","0","2","14","25203","0","6","25205"
"6","0","3","14","25203","0","6","25205"
"6","16","4","6","25201","25205","3","25203"
"6","16","5","6","25201","25205","3","25203"
"6","16","6","6","25201","25205","3","25203"
"6","18","7","8","25201","25205","4","25203"
"6","18","8","8","25201","25205","4","25203"
"6","18","9","8","25201","25205","4","25203"
"6","20","10","10","25201","25205","5","25203"
"6","20","11","10","25201","25205","5","25203"
"6","20","12","10","25201","25205","5","25203"
"6","22","13","12","25201","25205","6","25203"
"6","22","14","12","25201","25205","6","25203"
"6","22","15","12","25201","25205","6","25203"
"7","0","1","14","25203","0","6","25205"
"7","0","2","14","25203","0","6","25205"
"7","0","3","14","25203","0","6","25205"
"7","16","4","6","25201","25205","3","25203"
"7","16","5","6","25201","25205","3","25203"
"7","16","6","6","25201","25205","3","25203"
"7","18","7","8","25201","25205","4","25203"
"7","18","8","8","25201","25205","4","25203"
"7","18","9","8","25201","25205","4","25203"
"7","20","10","10","25201","25205","5","25203"
"7","20","11","10","25201","25205","5","25203"
"7","20","12","10","25201","25205","5","25203"
"7","22","13","12","25201","25205","6","25203"
"7","22","14","12","25201","25205","6","25203"
"7","22","15","12","25201","25205","6","25203"
"8","8","1","7","25201","25205","6","25203"
"8","8","2","6","25201","25205","7","25203"
"8","8","3","7","25201","25205","7","25203"
"8","10","4","8","25201","25205","8","25203"
"8","10","5","9","25201","25205","8","25203"
"8","10","6","8","25201","25205","9","25203"
"8","11","7","10","25201","25205","10","25203"
"8","11","8","10","25201","25205","10","25203"
"8","11","9","10","25201","25205","10","25203"
"8","13","10","12","25201","25205","11","25203"
"8","13","11","11","25201","25205","12","25203"
"8","13","12","12","25201","25205","12","25203"
"8","15","13","13","25201","25205","13","25203"
"8","15","14","13","25201","25205","14","25203"
"8","15","15","14","25201","25205","13","25203"
