ade5e2c6646efd0b818fb6978db20427410892513a1cc449e1061243b523835a,6b04b52b29c41d4b09abe7899a786e75c0e2b0c7cef7de2b9cfd737020de61ea,9695b8c620afe3f5ac06005866cc1d62583d90fa219c2a142701cd79bfe400ef,0a32bb0ca5b266fd17a7ab1a29770c007d6b11a411523c6783f828da98f32b19
"101","1","1","1"
"102","2","1","1"
"103","3","1","1"
"104","4","1","1"
"105","5","3","1"
"106","6","3","1"
"107","7","3","1"
"108","8","3","1"
"109","9","3","1"
"110","10","4","1"
"111","11","4","1"
"112","12","4","1"
"113","13","4","1"
"114","14","4","1"
"115","15","4","1"
"116","16","4","1"
"117","17","4","1"
"118","18","4","1"
"119","19","4","1"
"120","20","6","1"
"121","21","6","1"
"122","22","6","1"
"123","23","6","1"
"124","24","6","1"
"125","25","6","1"
"126","26","6","1"
"127","27","6","1"
"128","28","6","1"
"129","29","6","1"
"130","30","7","1"
"131","31","7","1"
"132","32","7","1"
"133","33","7","1"
"134","34","7","1"
"135","35","7","1"
"136","36","7","1"
"137","37","7","1"
"138","38","7","1"
"139","39","7","1"
"140","40","8","1"
"141","41","8","1"
"142","42","8","1"
"143","43","8","1"
"144","44","8","1"
"145","45","8","1"
"146","46","8","1"
"147","47","8","1"
"148","48","8","1"
"149","49","8","1"
"150","50","8","1"
"201","0","1","2"
"202","0","2","2"
"203","0","3","2"
"204","0","4","2"
"301","0","1","3"
"302","0","2","3"
"303","0","3","3"
"304","0","4","3"
"401","1","0","4"
"402","2","0","4"
"403","3","0","4"
"404","4","0","4"
"405","5","0","4"
"406","6","0","4"
"407","7","0","4"
"408","8","0","4"
"409","9","0","4"
"410","10","0","4"
"411","11","0","4"
"412","12","0","4"
"413","13","0","4"
"414","14","0","4"
"415","15","0","4"
"416","16","0","4"
"417","17","0","4"
"418","18","0","4"
"419","19","0","4"
"420","20","0","4"
"421","21","0","4"
"422","22","0","4"
"423","23","0","4"
"424","24","0","4"
"425","25","0","4"
"426","26","0","4"
"427","27","0","4"
"428","28","0","4"
"429","29","0","4"
"430","30","0","4"
"431","31","0","4"
"432","32","0","4"
"433","33","0","4"
"434","34","0","4"
"435","35","0","4"
"436","36","0","4"
"437","37","0","4"
"438","38","0","4"
"439","39","0","4"
"440","40","0","4"
"441","41","0","4"
"442","42","0","4"
"443","43","0","4"
"444","44","0","4"
"445","45","0","4"
"446","46","0","4"
"447","47","0","4"
"448","48","0","4"
"449","49","0","4"
"450","50","0","4"
