a448303bc5b581fbf8ce31bc95d50c3ce66fdd810dffc723e1210fadeb7ab1a1,701b61348bbdffd891d43319671d71791f654f2b01c4db0b2cfdd1f12b669ee9,2f6c27c1b22c727134c5463e64d212cf151c3de84f1e77c74bbbcdfa286d2752
"106101","装備中","通常時"
"106701","特殊スキル","通常時"
"106801","権能解放中","通常時"
"106901","特殊スキル","通常時"
"115801","変身中","通常時"
"116401","特殊スキル","通常時"
"118201","特殊スキル","通常時"
"118501","特殊スキル","通常時"
"118601","特殊スキル","通常時"
"120801","初回発動時","通常時"
"122001","特殊スキル","通常時"
"122301","共闘中","通常時"
"122701","特殊スキル","通常時"
"123001","特殊スキル","通常時"
"125001","共闘中","通常時"
"125801","特殊スキル","通常時"
"126001","特殊スキル","通常時"
"126101","特殊スキル","通常時"
"126201","特殊スキル","通常時"
"126401","【フルチャージ】中","通常時"
"126501","特殊スキル","通常時"
"129001","特殊スキル","通常時"
"129301","特殊スキル","通常時"
"129401","特殊スキル","通常時"
"129601","特殊スキル","通常時"
"129701","特殊スキル","通常時"
"131201","特殊スキル","通常時"
