815b05bafb47d1675a86aab6c0820259205fcbc9daa6a0727199838c4b303ba8,d7fd609424d54330c8e3d1dddaf803326b26b5e21fee70c301d4896072429620,f27320960c8ada674596af5039f9be8430d2ca4f4b39fd6acc6fea029f343a4c,0210115ea9f08b21ceff54c142f1801d23576718bc1772d31ecda7af96d3ce40,13952c00046e6c65bcb778dff7864f73a0a1216615ff1c5bf66d5f14ca58c1eb,447213df390a704f842062c3768a9269eec8b136efb36f460796c4459595bdfb
"10201","102013011","1","301","1","5201087"
"10201","102014021","1","402","1","5201081"
"10201","102014022","0","402","101","5201082"
"10201","102015011","1","501","1","5201066"
"10201","102015012","2","501","1","5201067"
"10201","102015013","3","501","1","5201068"
"10201","102015014","4","501","1","5201069"
"10201","102015015","5","501","1","5201070"
"10201","102015016","6","501","1","5201071"
"10201","102015017","7","501","1","5201072"
"10201","102015018","8","501","1","5201073"
