29a5d732cc035abe2e09ce781690f020fb10e679ed599f4b9f6e1efb1658388d,5c96ec7fe8e1c8220e17058897bc0c2fa5cd0d91f23109b38d5b01a19b30aa1a,c6731fa300ead48e2aaabef576edb3f09bfd6818a88e0a5865bb1503e0a35ed9,9bd4f1730fdaa08980990ab97cf1d01407aa1a12dfe76bc8b049674b4215d2c7,f8800210b1bbf68950c344485881c9cc5a1b81488900ecea24260ff37bd1c11d,80251b073b8c2e0927283a9a3a1b29782667aeade3c0f83c4159fb9c312c0336,0369ea0e9dab59823d211601a0b2001999e35744c14b54895d62be6f5f9e8124,5c659bd773993cf3d819a17e7ebc832b492fab511386b1de51e59b16c0103eae,30ab9c4db48aa48c62455de6b6382306885979bfa2218e91e197537999621105,7f123b6ad968ce9bc50d7488952afdb880f292eb6560795026587ba768823fc9,7ab75dedb27811f988eef62371dd56288901e36d2b88b300f499aae240126fb4
"119931","1","1","1.7","psy_miyako_idle","1","100","-220","0","1001","-200"
"1","1","1","1.7","psy_idle_normal","5","100","-220","1","1002","1000"
"2","1","1","1.7","psy_fairy_idle","5","105","-220","0","1003","-50"
"11","1","1","1","","31","0","1","","1004","0"
"psy_item00_run","1","1","0.2","","3","1","","","1005",""
"285","1","1","","","2","-220","0","","1006","2.5"
"","2.5","1","","","93","","","","1007",""
"psy_item00_idle","1","1","0.2","","3","1","","","1008",""
"","0.5","1","","","93","","","","1009",""
"psy_miyako_talk1","119931","1","0.2","","3","1","","","1010",""
"vo_minigame_1008_drama_0101","vo_minigame_1008","1","","","21","0","","","1011","0"
"おばあちゃんが買い物から\n帰ってきたら\n究極のプリンを見せて\n驚かせちゃうの！","119931","1","0","0.5","11","6","0","0","1012","1"
"1","6","1","","","93","","","","1013",""
"psy_miyako_doya_in","119931","1","0.2","","3","0","1","0.2","1014","psy_miyako_doya_loop"
"","1012","1","","","91","","","","1015",""
"0","0","1","","","22","","","","1016",""
"psy_fairy_talk","2","1","0.2","","3","1","","","1017",""
"vo_minigame_1008_drama_9901","vo_minigame_1008","1","","","21","0","","","1018","0"
"キュイキュイ！","2","1","0","0.5","11","6","0","0","1019","1"
"","0","1","","","91","","","","1020",""
"psy_fairy_idle","2","1","0.2","","3","1","","","1021",""
"psy_miyako_talk2","119931","1","0.2","","3","1","","","1022",""
"vo_minigame_1008_drama_0102","vo_minigame_1008","1","","","21","0","","","1023","0"
"オマエも手伝いたいの？\nそれなら卵と牛乳をマヒルから\nたくさんもらってくるの！\n材料はたくさんあったほうがいいの！","119931","1","0","0.5","11","5","0","0","1024","1"
"1","2","1","","","93","","","","1025",""
"psy_miyako_talk_joy2","119931","1","0.2","","3","1","","","1026",""
"","1024","1","","","91","","","","1027",""
"0","0","1","","","22","","","","1028",""
"psy_miyako_idle","119931","1","0.2","","3","1","","","1029",""
"1","2","1","","","4","","","","1030",""
"psy_fairy_run_in","2","1","0.2","","3","0","1","0","1031","psy_fairy_run"
"","1.3","1","","","93","","","","1032",""
"1000","2","1","","","2","-220","0","","1033","1"
"","2","1","","","93","","","","1034",""
"psy_miyako_doya_in","119931","1","0.2","","3","0","1","0.2","1035","psy_miyako_doya_loop"
"vo_minigame_1008_drama_0103","vo_minigame_1008","1","","","21","0","","","1036","0"
"オマエはミヤコを手伝うの！\nめんどくさいことは全部\nオマエに任せるの！","119931","1","0","0.5","11","6","0","0","1037","1"
"","0","1","","","91","","","","1038",""
"0","0","1","","","22","","","","1039",""
"11","1","1","0","0","12","1","0","0","1040","0"
"psy_item00_talk_guts","1","1","0.2","","3","0","1","0.2","1041","psy_item00_idle_guts"
"","2","1","","","93","","","","1042",""
"psy_miyako_talk_joy2","119931","1","0.2","","3","1","","","1043",""
"vo_minigame_1008_drama_0104","vo_minigame_1008","1","","","21","0","","","1044","0"
"みんなみんな\nおいしいプリンにしてやるの～♪","119931","1","0","0.5","11","5","0","0","1045","1"
"1","4","1","","","93","","","","1046",""
"psy_miyako_fight_in","119931","1","0.2","","3","0","1","0.2","1047","psy_miyako_fight_loop"
"psy_item00_handsup","1","1","0.2","","3","0","1","0.2","1048","psy_item00_handsup_loop"
"","1.5","1","","","93","","","","1049",""
"","1045","1","","","91","","","","1050",""
"0","0","1","","","22","","","","1051",""
"119931","1","2","1.7","psy_miyako_start","1","100","-200","0","2001","-300"
"106011","1","2","1.7","psy_walk","1","100","-220","1","2002","300"
"11","1","2","1","","31","0","1","","2003","0"
