f5c6b93de0eecb0f3571cd0575bedd99b6c0336ef4a408e0885eb77cc708267e,ce42a093c9e98b128678f9c224ac6e9a4b87d4fc25061d40c826b74e236ab8b8,e1c5af457da8f63679916bcee1a06dff7e0f1a5d2ebf5d8984a5d3730a9ca483,37c13e8c1fb686098c7dd773c3aff1b95a23b20b2dcbda91e605888c32442988,afc3f0728c29f422ac3b69556c31d4a24c5af1e612162c5f539723ccffbc2e1e,59bb68deb00f7e40936366192dda33908a57fd81009f214466fa940780dcfe5c,3434a4e7054cf937ce13693945aa1d4f673345ddb630bb04b6c0e16400c78d21,cf08780ead975e7f6cc96263dc0c8a36494076f3e69e71ec807c048fad916f15,c9f389b2f707289bd248ab18910371001960b10b4445cbc9a2dfdb23f0fa3898,49dea5d3b5bb7e39f9064ae75b06cb852529ee99d90e25e8dfa2df7aceefab66,dd423202d400b8363ad73b94c87d7f56f8fc7408a5f925566a5292372acef84c,e1a6201d747c93a94846750a3c206d7bc6f211ee7998df4541ea7960fba87163,eacf0c9912484b9116b4ece9bd397e250e58fb1a81de71daaca17da4f64958e5,b113761088b7a6976816f875046a770be807fe247c300da693ce80a6a579d0a3,4dbafefceea372d542f3d4f742466635111dba387f4956bc19de8a6cd20789fc
"bgm_M220","0","bgm_M220","100584","350","1001001","90","800100101","2","？？？","1","100584","-75","-30","100000"
"bgm_M220","0","bgm_M220","100584","350","1001002","90","800100102","2","？？？","1","100584","-75","-30","100000"
"bgm_M220","0","bgm_M220","100584","350","1001003","90","800100103","2","？？？","1","100584","-75","-30","100000"
"bgm_M221","0","bgm_M221","100584","350","1001004","90","800100101","2","？？？","1","100584","-75","-30","100000"
"bgm_M221","0","bgm_M221","100584","350","1001005","90","800100102","2","？？？","1","100584","-75","-30","100000"
"bgm_M221","0","bgm_M221","100584","350","1001006","90","800100103","2","？？？","1","100584","-75","-30","100000"
"bgm_M220","0","bgm_M220","100584","350","1002001","90","800100201","2","？？？","1","100584","-75","-30","100000"
"bgm_M220","0","bgm_M220","100584","350","1002002","90","800100202","2","？？？","1","100584","-75","-30","100000"
"bgm_M220","0","bgm_M220","100584","350","1002003","90","800100203","2","？？？","1","100584","-75","-30","100000"
"bgm_M221","0","bgm_M221","100584","350","1002004","90","800100201","2","？？？","1","100584","-75","-30","100000"
"bgm_M221","0","bgm_M221","100584","350","1002005","90","800100202","2","？？？","1","100584","-75","-30","100000"
"bgm_M221","0","bgm_M221","100584","350","1002006","90","800100203","2","？？？","1","100584","-75","-30","100000"
