8c52bbcd6a04645dcd6e23b202aff924d13235b372c51c3b1629717b5b1f86f9,a7995d8525507339e7f11615c5783b7da101a80a3222005210bb65006469516f,deb3be2e104cb4f45ae9ad35aee2fb73d2278460e82e767717345913758a4c7e,39ce075fe82765cf7578adc84b477dfda3d0618b34ba11c1c5a14d1b4a58fbcb,4048a46d70c4e2d3fa629362fa5a676c53a6d14835e05e6b24815271a46b3f09,3d290bfa0b7b922546b0f0db934d3196feeabcb445cf77d81f5fadfa5e1ae7e2
"1","","200","100","0","2"
"2","","200","101","2","300"
"200","","201","200","7","100207"
"201","","100900","200","6","100206"
"300","","301","300","0","302"
"301","","302","301","0","100301"
"302","","100910","200","1","303"
"303","","100910","200","2","100201"
"100201","201","0","0","0","0"
"100206","206","0","0","0","0"
"100207","207","0","0","0","0"
"100301","301","0","0","0","0"
"100900","1","0","300","0","0"
"100901","1","0","0","0","0"
"100910","1,2000","0","0","0","0"
