453dd2aadae68b70bb2c76b0a85380de87f1cc896e0dbca34dc89a324bc1d055,fc1791aa86d1576378e53fc7d1f89e4eb520062c23274bc5a966e2ec65bd88d4,c9de9570992ec6c8744730eda8735d5833930fd438f85ad6208f168873c6fdb4
"106101","通常時","装備中"
"106701","通常時","特殊スキル"
"106801","通常時","権能解放中"
"106901","通常時","特殊スキル"
"115801","通常時","変身中"
"116401","通常時","特殊スキル"
"118201","通常時","特殊スキル"
"118501","通常時","特殊スキル"
"118601","通常時","特殊スキル"
"120801","通常時","初回発動時"
"122001","通常時","特殊スキル"
"122301","通常時","共闘中"
"122701","通常時","特殊スキル"
"123001","通常時","特殊スキル"
"125001","通常時","共闘中"
"125801","通常時","特殊スキル"
"126001","通常時","特殊スキル"
"126101","通常時","特殊スキル"
"126201","通常時","特殊スキル"
"126401","通常時","【フルチャージ】中"
"126501","通常時","特殊スキル"
"129001","通常時","特殊スキル"
"129301","通常時","特殊スキル"
"129401","通常時","特殊スキル"
"129501","通常時","初回発動時"
"129601","通常時","特殊スキル"
"129701","通常時","特殊スキル"
"130001","通常時","特殊スキル"
"130101","通常時","特殊スキル"
"131201","通常時","特殊スキル"
"131801","通常時","特殊スキル"
"132001","通常時","特殊スキル"
"132101","通常時","鬼化中"
"132901","通常時","初回発動時"
"133801","通常時","召喚体スキル"
"181201","通常時","特殊スキル"
