2c9ab6abcae94d063053948a2d67cb7418c6021324771d22261d5cb883e2d1ca,0b7740504261440849fd33b85c4366dae6ab4572ff7964b780ce5532eaa07be7,3a8bd600c0b144d003c57fdf200c5fdf91c2cc043cc4439dc10a3e829769838d,b1c46da327df82a862659053778856cef80b9d4f6d5c343c7433368bb254ad89,480d0245123dcb31a9d438e4c7524ec1803c0309b36bfbcd3ebd878739c009d3
"25","1","13000001","101","1"
"26","1","40001","102","1"
"28","1000","99012","103","1"
"25","1","13000002","201","2"
"26","1","40002","202","2"
"28","1000","99012","203","2"
"25","1","13000004","301","3"
"26","1","40006","302","3"
"28","1000","99012","303","3"
"25","1","13000011","401","4"
"26","1","40008","402","4"
"28","1000","99012","403","4"
"25","1","13000007","501","5"
"26","1","40007","502","5"
"28","1000","99012","503","5"
"25","1","13000009","701","7"
"26","1","40003","702","7"
"28","1000","99012","703","7"
"25","1","13000013","901","9"
"26","1","40010","902","9"
"28","1000","99012","903","9"
"25","1","13000008","1101","11"
"26","1","40004","1102","11"
"28","1000","99012","1103","11"
"25","1","13000012","1301","13"
"26","1","40009","1302","13"
"28","1000","99012","1303","13"
"25","1","13000003","1501","15"
"26","1","40005","1502","15"
"28","1000","99012","1503","15"
