0ccef80dd38d9c9b70e1f12925259f93eec9bda35161223eff942766c5311a6f,d5be661fd33badcbcb2e3737d13ff5aebd5c8e8e992784c9a897db43ab9d23fc,62d81b9c6b579a8f3b05a7e35be9e9689bfa9b80bd7537bdd1ff397816b937fb,a4a08d6ba8874499c99946964b11a7a1dfbac769e36325442016908d683bc3d4,1a1a076e65c262a234876e4d19c24be578e9d7368548db05032adfc45dc7fd09,5d07111240dd6e3b362603b06e93d1ce0b05978814a29f38e5e7af484639a064,594168b35da698245136582522713828331aa1f901af14b75283be10767e180b,485a3bb4799ce31dc4d2774fad20d8b0e5a8d344749f9c8a8c65dae65780acaf,6e2da09074bcc25048a9e2b40aadc432fc13d009bff8cb2e471689380a6e051e,0c1c0464d4dfe1ab2c722de2f4c85d1ce23724b19af20838cf77bf45c1d315c0,00849b9df2cd58d9a54773bdab7236b92f53a5c3dfcae429b1ae83cb04dd0a8a
"5","1","53","0","1","0","10101","1101010001","empty","0","1"
"5","101000","56","0","2","0","10101","1101010002","empty","0","1"
"5","101000","70","0","3","0","10101","1101010003","empty","0","1"
"31","101000","0","1","0","","10101","1101010004","","0","0"
"31","101001","0","1","1","","10101","1101010005","","0","0"
"31","101002","0","1","2","","10101","1101010006","","0","0"
"31","101003","0","1","3","","10101","1101010007","","0","0"
"31","101004","0","1","4","","10101","1101010008","","0","0"
"31","1","0","1","10","","10101","1101010009","","0","0"
"31","3","0","1","30","","10101","1101010010","","0","0"
"91","0","","","0","","10101","1101010011","","",""
"32","0","","","1","","10101","1101010012","","",""
"32","10","","","1","","10101","1101010013","","",""
"3","2","0","","getDish_1_in","","10101","1101010014","","","0"
"93","0.2","","","0","","10101","1101010015","","",""
"3","1","0","","getDish","","10101","1101010016","","","0"
"3","2","0","","getDish_1_B","","10101","1101010017","","","0"
"3","3","0","","getDish_1_F","","10101","1101010018","","","0"
"32","1","","","1","","10101","1101010019","","",""
"32","3","","","1","","10101","1101010020","","",""
"93","7.2","","","0","","10101","1101010021","","",""
"101","1101010023","","","1","","10101","1101010022","","",""
"35","2","","","1","","10101","1101010023","","",""
"32","2","","","1","","10101","1101010024","","",""
"35","4","","","1","","10101","1101010025","","",""
"32","4","","","1","","10101","1101010026","","",""
"32","3","","","0","","10101","1101010027","","",""
"93","2.3","","","0","","10101","1101010028","","",""
"35","30","","","1","","10101","1101010029","","",""
"32","30","","","1","","10101","1101010030","","",""
"93","0.2","","","0","","10101","1101010031","","",""
"6","1","1","0","1","0","10101","1101010032","","1","0"
"6","2","1","0","1","0","10101","1101010033","","1","0"
"6","3","1","0","1","0","10101","1101010034","","1","0"
"32","0","","","0","","10101","1101010035","","",""
"32","1","","","0","","10101","1101010036","","",""
"32","2","","","0","","10101","1101010037","","",""
"32","3","","","0","","10101","1101010038","","",""
"32","4","","","0","","10101","1101010039","","",""
"32","10","","","0","","10101","1101010040","","",""
"93","0.3","","","0","","10101","1101010041","","",""
"111","1","1","0","1","0","10101","1101010042","","1","0.1"
"5","2","50","-325","1","0","10201","1102010001","empty","-205","0.9"
"5","102000","58","-325","2","0","10201","1102010002","empty","-205","0.9"
"5","100","54","-263","100","0","10201","1102010003","idle_single","1500","0.6"
"31","102000","0","1","0","","10201","1102010004","","0","0"
"31","102001","1500","1","1","","10201","1102010005","","-263","0"
"31","102002","0","1","2","","10201","1102010006","","0","0"
"31","102003","-132","1","3","","10201","1102010007","","-136","0"
"31","102004","0","1","4","","10201","1102010008","","0","0"
"31","1","0","1","10","","10201","1102010009","","0","0"
"31","2","0","1","20","","10201","1102010010","","0","0"
"31","3","0","1","30","","10201","1102010011","","0","0"
"91","0","","","0","","10201","1102010012","","",""
"32","0","","","1","","10201","1102010013","","",""
"32","10","","","1","","10201","1102010014","","",""
"23","se_caravan","0","","se_caravan_dice_get_intro","","10201","1102010015","","",""
"3","1","1","","getDice_idle","","10201","1102010016","","","0"
"3","100","0","1","run_getDice","0","10201","1102010017","","eat_loop","0"
