f1c96c7f84c41606648d7d551eb4e287bcb7c9fd01f1fc47f17c11bdacab0942,9d7061f1cf04932440ff99b9d9bf4f299877f9e2addcefc29ff49a53910846ba,fd5f11bf8659c86204d7d97cb91fbc0b8f19a4252725e0132f70253c3d49b250,5a9ac42889bb35ae0043dc162a7d630f38e79125288ed18fc8bbb673c752dd7c,b86b86691617c1dee47d188119fca47ceaf252813816390366110dd0077f8e3b,c2f6af6c9853b9c058c6566a8a052b37aa61a6f5f317e7a51270c606ae363382,23efc59838e04eba43e4505503316f4d22d9bcde43108b44d9c6a4bc6574896a,2c9f7489417cef8ec416c61cd06209a566b19a3bc6d9ce2f5eb2118d90a4ba86,5b3799778b24b7cbebd1408cd7cdd20dd75f1bee6ec9ad0d0eb6d7fb1e79ad58,ec3f81c3f5c38a12442dcd339fa52922c76a7d6aff0a64af6c25e37713cc86fc,dfd98907d87f02f4136d4247042a6c2c7c1944315712cbb551a9d56841ec6a7a,1c56fa168ed0c65b61df735af8fb900c7a82f061805f0892287dfe1673a5a057
"1","0","26","279","0.025","0.05","0","30","0","0","0","22"
"2","0","25","270","0.025","0.05","0","29","0","0","0","21"
"3","0","24","261","0.025","0.05","0","28","0","0","0","20"
"4","0","23","252","0.025","0.05","0","27","0","0","0","19"
"5","0","22","243","0.025","0.05","0","26","0","0","0","18"
"6","0","21","234","0.025","0.05","0","25","0","0","0","17"
"7","0","20","225","0.025","0.05","0","24","0","0","0","16"
"8","0","19","216","0.025","0.05","0","23","0","0","0","15"
"9","0","18","207","0.025","0.05","0","22","0","0","0","14"
"10","0","17","198","0.025","0.05","0","21","0","0","0","13"
"11","0","16","189","0.025","0.05","0","20","0","0","0","12"
"12","0","15","180","0.025","0.05","0","19","0","0","0","11"
"13","0","14","171","0.025","0.05","0","18","0","0","0","10"
"14","0","13","161","0.025","0.05","0","17","0","0","0","9"
"15","0","12","152","0.025","0.05","0","16","0","0","0","8"
"16","0","11","143","0.025","0.05","0","15","0","0","0","7"
"17","0","10","134","0.025","0.05","0","14","0","0","0","6"
"18","0","9","125","0.025","0.05","0","13","0","0","0","5"
"19","0","8","116","0.025","0.05","0","12","0","0","0","4"
"20","0","7","107","0.025","0.05","0","11","0","0","0","3"
"21","0","6","101","0.025","0.05","0","10","0","0","0","2"
"22","0","0","1","0","0","0","0","0","0","0","0"
