00c7b55e6be1e8bcb2e1288cbf9ab0b19ef4b63fe4ee3360d7e59ba7fcbfb281,d71b6d42b367a37048de4698e106fe061a9dd646eb65103c047f92d27ab1f7c4,f9a71cd738944adc0f9e20e27945e2553d983351c8a8dd1eb0c5d84e4e78e81c,1f1b5c6e3125f99d860ab87d6d2943bcf296c88bb60f3d2fcbedb13b302462a2,41abef4eafc35db81028eb90ead7ee60804f390a5522f87f8364fda335b684a1,38bda154e0fb42931cbbdbc720cf0e7a7c2e5033822bbe047f3559a92dcf44e3,69335fd2ac7c7e55d78f20754e9474ebf08f0566d432e1cf17eb9b3a568b2c1c
"累計スコアを2500pt 獲得しよう","8","101","2500","91002","1","10"
"累計スコアを5000pt 獲得しよう","8","102","5000","91002","1","10"
"累計スコアを10000pt 獲得しよう","8","103","10000","91002","1","10"
"累計スコアを12500pt 獲得しよう","8","104","12500","91002","1","10"
"累計スコアを15000pt 獲得しよう","8","105","15000","91002","1","10"
"累計スコアを20000pt 獲得しよう","8","106","20000","91002","1","10"
"累計スコアを25000pt 獲得しよう","8","107","25000","91002","1","10"
"累計スコアを30000pt 獲得しよう","8","108","30000","91002","1","10"
"累計スコアを35000pt 獲得しよう","8","109","35000","91002","1","10"
"累計スコアを40000pt 獲得しよう","8","110","40000","91002","1","10"
"累計スコアを45000pt 獲得しよう","8","111","45000","91002","1","10"
"累計スコアを50000pt 獲得しよう","15","112","50000","11001302","1","1"
"累計スコアを2500pt 獲得しよう","8","201","2500","91002","2","10"
"累計スコアを5000pt 獲得しよう","8","202","5000","91002","2","10"
"累計スコアを10000pt 獲得しよう","8","203","10000","91002","2","10"
"累計スコアを12500pt 獲得しよう","8","204","12500","91002","2","10"
"累計スコアを15000pt 獲得しよう","8","205","15000","91002","2","10"
"累計スコアを20000pt 獲得しよう","8","206","20000","91002","2","10"
"累計スコアを25000pt 獲得しよう","8","207","25000","91002","2","10"
"累計スコアを30000pt 獲得しよう","8","208","30000","91002","2","10"
"累計スコアを35000pt 獲得しよう","8","209","35000","91002","2","10"
"累計スコアを40000pt 獲得しよう","8","210","40000","91002","2","10"
"累計スコアを45000pt 獲得しよう","8","211","45000","91002","2","10"
"累計スコアを50000pt 獲得しよう","15","212","50000","11001303","2","1"
