9a44d6020b19a4c4f94de2b0169adbb250aa206246da78fdcd70877ef89e1b93,511788243220121081916976655bd9a68e0956e8af7e4cc18c14561ce64a485e,bdbdb679d26ba045be4b23a869c84b045f1db7b4249ee23a8a78e016137a8d20,75f1b6a0ff5faa76d84c3cc89126db56133825b27bf43f5e281474fce3945550,d356da6b3c01e8a0349270f3b30ffa6628b40fd4a8629b794910262d5953eb02,bfa9123a4320c2c66b114b682de713755e789649dd61c4986d33e021bb4537b2,1a65d1c853daa5c8de25a7fd278bcd40422bbcf95c2963f2723382d1d59b4b75,a9e5d5e559198e37ff1b1319f3f461f40f15b6c11795749f22cd2d333c01ebf6,b7e2b63b8a733e69ce57e8e719c3789c54f25434b97f3cc37bfba55d61fafe07,4745755bc8398fa6e2bfc5574254870b4dc2da2c7428831292b42522840fa1a8,a1b39b4246cfc6a53be1d46ac0904f4e3b26925db127dcc825a1366137d45129,9077a9a02e071111e9afc07b4189df2c434c8dfdde9b7292b4f5dd53d30ea872,54d2f1818930580c5c7de1d5db47a853380ed16ec66b6eb3f29ddbb8bb111113,da894361cbb399559d925d911e9a7272da18e88ca8d2985103648e72fd7d4cda,e2ff50c0299caa67271ea2d49cebca5b5544d2d3ff467908459c6eb445123109,3601d11176e33b8c29d0b7c50010c724a3c98e627c2110ca1e9104ef2a06d5a7,1702681c2eb5dea78450d29d6312505c7d4d892b215be29bc113d0bc483b8b6f,921b9abdc928cf0c8d3c51c39cebb71f024261480b9a962cffa4f507661cd759,e8bc994eddd9becd505263ae742c1ffcdf08dcd02e2e26a880882337998f7eb1
"10010","","0","610010004","5","0","0","0","5010321","1.5","90","0","1","0","0","0","0","610010401","2"
"10010","","108","610010005","5","0","0","0","5010322","1.5","90","0","2","0","0","0","0","610010402","3"
"10010","","0","610010006","5","0","0","0","0","1.5","90","0","3","0","0","0","0","0","1"
"10011","","0","610011004","5","70","5011321","0","5011322","1.5","90","0","1","0","0","0","0","0","1"
"10011","","0","610011005","5","40","0","0","5011323","1.5","90","0","2","0","0","0","0","0","1"
"10011","","0","610011006","5","0","0","0","0","1.5","90","0","3","0","0","0","0","0","1"
"10012","","0","610012004","5","0","0","600","5012321","1.5","90","0","1","3","0","0","1","610012401","2"
"10012","","0","610012005","5","51","0","0","5012322","1.5","90","0","2","0","0","0","1","0","1"
"10012","","0","610012006","5","0","0","0","0","1.5","90","0","3","0","0","0","1","0","1"
"10013","","0","610013004","5","0","0","600","5013321","1.5","90","0.9","1","3","50","0","1","610013401","2"
"10013","","0","610013005","5","50","0","0","5013322","1.5","90","1","2","0","84","0","0","0","1"
"10013","","0","610013006","5","0","0","0","0","1.5","90","1","3","0","84","0","0","0","1"
"10015","","0","610015004","5","0","0","600","5015321","1.5","90","0.9","1","3","1","0","1","610015401","2"
"10015","","0","610015005","5","50","0","0","5015322","1.5","90","1.3","2","0","-50","0","1","0","1"
"10015","","0","610015006","5","0","0","0","0","1.5","90","1.3","3","0","-50","0","1","0","1"
"10017","","0","610017004","5","0","0","600","5017321","1.5","90","0.9","1","3","50","0","1","610017401","2"
"10017","","0","610017005","5","50","0","0","5017322","1.5","90","1","2","0","84","0","1","0","1"
"10017","","0","610017006","5","0","0","0","0","1.5","90","1","3","0","84","0","1","0","1"
"10019","","200","610019004","5","0","5019321","0","5019322","1.5","90","1.25","1","0","-50","0","1","610019401","4"
"10019","","0","610019005","5","50","0","0","5019323","1.5","90","1.25","2","0","-50","0","1","0","1"
"10019","","0","610019006","5","0","0","0","0","1.5","90","1.25","3","0","-50","0","1","0","1"
