bc3d856c096b6293c4c59ddd4460eec27b38e0814b592e6bc5f9b288ba2b2938,b7c6baed6da2ec6c4a38b29417c4125d5558fa18dec56b8a333709dd4d36ccc1,e48728ac43d6a5e9499f4f34ba84c2a96638db2bfc3a270e106615dc9944f65a,c095e3673742a3f1b6357f019b421f0a4787120946286ebbaba4426751715583,6de6fb903c5b792e532971cb49c5029563c861bb02a67d8e893822e62ab43cf9,2cf080b1084c224fdf3eda89c6d50eaa48593be2865d1dbfc1979c01dc1b13ee,a07cd03fc933e55f875bdf38805fe29145f17477cd4a955e157898bc39639a86,b13935e993bf78c41b4c0cbb056bd60165542410b94e3756bf04b2fc936cf63d,2ebf7a640a14fb499038a66bb7862934d7cb9e0b819f39c04639e44ec41fb9f1,3e2e1994026b45e254eb3fb4df7c2675c4fc0ce48e01f6fb97054c770645f166,2068bd3bb9392534de2d73fb5d2492b836dbad7fa025d512d3a65ac2d7e096d2,4d73cf07c64bb67b013516aa742dca4e5326beaa751c5ed2d7d8d4bb6451f508
"1","15","vo_10011600","2","0","1150001","0","0","vo_10011600_1501","0","0","0"
"2","15","0","1","0","1150002","0.997402597402597","0","0","0","240","1"
"3","15","0","4","0","1150003","0","2.4974025974026","0","1","0","1"
"4","15","vo_10011600","2","0","1150004","0","0","vo_10011600_1502","0","0","0"
"5","15","0","1","0","1150005","0.748051948051948","0","0","0","180","2"
"6","15","0","4","0","1150006","0","0.848051948051948","0","1","0","2"
"7","15","vo_10011600","2","0","1150007","0","0","vo_10011600_1503","0","0","0"
"8","15","0","1","180","1150008","1.16363636363636","0","0","0","460","2"
"9","15","0","4","0","1150009","0","1.96363636363636","0","1","0","2"
"10","15","vo_10011600","2","0","1150010","0","0","vo_10011600_1504","0","0","0"
"11","15","0","1","0","1150011","2.07792207792208","0","0","0","500","3"
"12","15","0","4","0","1150012","0","3.47792207792208","0","1","0","3"
"13","15","vo_10011600","2","0","1150013","0","0","vo_10011600_1505","0","0","0"
"14","15","0","1","0","1150014","1.24675324675325","0","0","0","300","4"
"15","15","0","4","0","1150015","0","2.24675324675325","0","1","0","4"
"16","15","vo_10011600","2","0","1150016","0","0","vo_10011600_1506","0","0","0"
"17","15","0","1","300","1150017","1.95324675324675","0","0","0","770","4"
"18","15","0","4","0","1150018","0","1.95324675324675","0","1","0","4"
"19","15","vo_10011600","2","0","1150019","0","0","vo_10011600_1507","0","0","0"
"20","15","0","1","0","1150020","2.07792207792208","0","0","0","500","5"
"21","15","0","4","0","1150021","0","2.97792207792208","0","1","0","5"
"22","15","vo_10011600","2","0","1150022","0","0","vo_10011600_1508","0","0","0"
"23","15","0","1","500","1150023","1.12207792207792","0","0","0","770","5"
"24","15","0","4","0","1150024","0","2.02207792207792","0","1","0","5"
"25","15","vo_10011600","2","0","1150025","0","0","vo_10011600_1509","0","0","0"
"26","15","0","1","0","1150026","1.32987012987013","0","0","0","320","6"
"27","15","0","4","0","1150027","0","2.57987012987013","0","1","0","6"
"28","15","vo_10011600","2","0","1150028","0","0","vo_10011600_1510","0","0","0"
"29","15","0","1","320","1150029","1.87012987012987","0","0","0","770","6"
"30","15","0","4","0","1150030","0","2.87012987012987","0","1","0","6"
"31","15","vo_10011600","2","0","1150031","0","0","vo_10011600_1511","0","0","0"
"32","15","0","1","0","1150032","1.55844155844156","0","0","0","375","7"
"33","15","0","4","0","1150033","0","1.75844155844156","0","1","0","7"
"34","15","vo_10011600","2","0","1150034","0","0","vo_10011600_1512","0","0","0"
"35","15","0","1","375","1150035","1.26753246753247","0","0","0","680","7"
"36","15","0","4","0","1150036","0","2.51753246753247","0","1","0","7"
"37","15","vo_10011600","2","0","1150037","0","0","vo_10011600_1513","0","0","0"
"38","15","0","1","0","1150038","1.99480519480519","0","0","0","480","8"
"39","15","0","4","0","1150039","0","2.49480519480519","0","1","0","8"
"40","15","vo_10011600","2","0","1150040","0","0","vo_10011600_1514","0","0","0"
"41","15","0","1","480","1150041","1.03896103896104","0","0","0","730","8"
"42","15","0","4","0","1150042","0","2.53896103896104","0","1","0","8"
"43","15","0","1","0","1150043","0.01","0","0","0","400","9"
"44","15","0","4","0","1150044","0","0","0","1","0","9"
"45","15","vo_10011600","2","0","1150045","0","0","vo_10011600_1515","0","0","0"
"46","15","0","1","400","1150046","1.32987012987013","0","0","0","720","9"
"1","16","vo_10011600","2","0","1160001","0","0","vo_10011600_1601","0","0","0"
"2","16","0","1","0","1160002","0.623376623376623","0","0","0","150","1"
"3","16","0","4","0","1160003","0","2.12337662337662","0","1","0","1"
"4","16","vo_10011600","2","0","1160004","0","0","vo_10011600_1602","0","0","0"
"5","16","0","1","0","1160005","3.63636363636364","0","0","0","700","2"
"6","16","0","4","0","1160006","0","5.13636363636364","0","1","0","2"
"7","16","vo_10011600","2","0","1160007","0","0","vo_10011600_1603","0","0","0"
"8","16","0","1","0","1160008","1.18441558441558","0","0","0","285","3"
"9","16","0","4","0","1160009","0","2.18441558441558","0","1","0","3"
"10","16","vo_10011600","2","0","1160010","0","0","vo_10011600_1604","0","0","0"
"11","16","0","1","285","1160011","0.353246753246753","0","0","0","370","3"
"12","16","0","4","0","1160012","0","0.553246753246753","0","1","0","3"
"13","16","vo_10011600","2","0","1160013","0","0","vo_10011600_1605","0","0","0"
"14","16","0","1","370","1160014","1.1012987012987","0","0","0","635","3"
"15","16","0","4","0","1160015","0","1.1012987012987","0","1","0","3"
"16","16","0","1","0","1160016","1.95324675324675","0","0","0","470","4"
"17","16","0","4","0","1160017","0","2.45324675324675","0","1","0","4"
"18","16","vo_10011600","2","0","1160018","0","0","vo_10011600_1606","0","0","0"
"19","16","0","1","470","1160019","0.78961038961039","0","0","0","660","4"
"20","16","0","4","0","1160020","0","1.78961038961039","0","1","0","4"
"21","16","vo_10011600","2","0","1160021","0","0","vo_10011600_1607","0","0","0"
"22","16","0","1","0","1160022","1.99480519480519","0","0","0","480","5"
"23","16","0","4","0","1160023","0","2.99480519480519","0","1","0","5"
"24","16","vo_10011600","2","0","1160024","0","0","vo_10011600_1608","0","0","0"
"25","16","0","1","480","1160025","0.748051948051948","0","0","0","660","5"
"26","16","0","4","0","1160026","0","1.99805194805195","0","1","0","5"
"27","16","vo_10011600","2","0","1160027","0","0","vo_10011600_1609","0","0","0"
"28","16","0","1","0","1160028","1.53766233766234","0","0","0","370","6"
"29","16","0","4","0","1160029","0","2.13766233766234","0","1","0","6"
"30","16","vo_10011600","2","0","1160030","0","0","vo_10011600_1610","0","0","0"
"31","16","0","1","370","1160031","1.41298701298701","0","0","0","710","6"
"32","16","0","4","0","1160032","0","1.41298701298701","0","1","0","6"
"33","16","0","1","0","1160033","0.78961038961039","0","0","0","190","7"
"34","16","0","4","0","1160034","0","2.33961038961039","0","1","0","7"
"35","16","vo_10011600","2","0","1160035","0","0","vo_10011600_1611","0","0","0"
"36","16","0","1","190","1160036","0.706493506493507","0","0","0","360","7"
"37","16","0","4","0","1160037","0","1.00649350649351","0","1","0","7"
"38","16","vo_10011600","2","0","1160038","0","0","vo_10011600_1612","0","0","0"
"39","16","0","1","360","1160039","1.45454545454545","0","0","0","710","7"
"40","16","0","4","0","1160040","0","2.95454545454545","0","1","0","7"
"41","16","vo_10011600","2","0","1160041","0","0","vo_10011600_1613","0","0","0"
"42","16","0","1","710","1160042","0.249350649350649","0","0","0","770","7"
"43","16","0","4","0","1160043","0","0.749350649350649","0","1","0","7"
"44","16","vo_10011600","2","0","1160044","0","0","vo_10011600_1614","0","0","0"
"45","16","0","1","0","1160045","2.31896103896104","0","0","0","558","8"
"46","16","0","4","0","1160046","0","3.71896103896104","0","1","0","8"
"47","16","vo_10011600","2","0","1160047","0","0","vo_10011600_1615","0","0","0"
"48","16","0","1","558","1160048","0.714805194805195","0","0","0","730","8"
"49","16","0","4","0","1160049","0","2.71480519480519","0","1","0","8"
"50","16","0","1","0","1160050","0.01","0","0","0","560","9"
"51","16","0","4","0","1160051","0","0","0","1","0","9"
"52","16","vo_10011600","2","0","1160052","0","0","vo_10011600_1616","0","0","0"
"53","16","0","1","560","1160053","0.623376623376623","0","0","0","710","9"
"1","17","vo_10011600","2","0","1170001","0","0","vo_10011600_1701","0","0","0"
"2","17","0","1","0","1170002","0.664935064935065","0","0","0","160","1"
"3","17","0","4","0","1170003","0","2.16493506493507","0","1","0","1"
"4","17","vo_10011600","2","0","1170004","0","0","vo_10011600_1702","0","0","0"
"5","17","0","1","0","1170005","0.730519480519481","0","0","0","125","2"
"6","17","0","4","0","1170006","0","1.53051948051948","0","1","0","2"
"7","17","vo_10011600","2","0","1170007","0","0","vo_10011600_1703","0","0","0"
"8","17","0","1","125","1170008","3.35064935064935","0","0","0","770","2"
"9","17","0","4","0","1170009","0","4.85064935064935","0","1","0","2"
"10","17","vo_10011600","2","0","1170010","0","0","vo_10011600_1704","0","0","0"
"11","17","0","1","0","1170011","0.851948051948052","0","0","0","205","3"
"12","17","0","4","0","1170012","0","2.10194805194805","0","1","0","3"
"13","17","vo_10011600","2","0","1170013","0","0","vo_10011600_1705","0","0","0"
"14","17","0","1","205","1170014","2.72727272727273","0","0","0","730","3"
"15","17","0","4","0","1170015","0","4.47727272727273","0","1","0","3"
"16","17","vo_10011600","2","0","1170016","0","0","vo_10011600_1706","0","0","0"
"17","17","0","1","0","1170017","1.66233766233766","0","0","0","400","4"
"18","17","0","4","0","1170018","0","2.86233766233766","0","1","0","4"
"19","17","vo_10011600","2","0","1170019","0","0","vo_10011600_1707","0","0","0"
"20","17","0","1","400","1170020","1.28831168831169","0","0","0","710","4"
"21","17","0","4","0","1170021","0","3.03831168831169","0","1","0","4"
"22","17","vo_10011600","2","0","1170022","0","0","vo_10011600_1708","0","0","0"
"23","17","0","1","0","1170023","2.36883116883117","0","0","0","570","5"
"24","17","0","4","0","1170024","0","3.76883116883117","0","1","0","5"
"25","17","vo_10011600","2","0","1170025","0","0","vo_10011600_1709","0","0","0"
"26","17","0","1","0","1170026","1.4961038961039","0","0","0","360","6"
"27","17","0","4","0","1170027","0","2.2461038961039","0","1","0","6"
"28","17","vo_10011600","2","0","1170028","0","0","vo_10011600_1710","0","0","0"
"29","17","0","1","360","1170029","0.976623376623377","0","0","0","595","6"
"30","17","0","4","0","1170030","0","1.97662337662338","0","1","0","6"
"31","17","vo_10011600","2","0","1170031","0","0","vo_10011600_1711","0","0","0"
"32","17","0","1","0","1170032","1.3838961038961","0","0","0","333","7"
"33","17","0","4","0","1170033","0","2.7838961038961","0","1","0","7"
"34","17","vo_10011600","2","0","1170034","0","0","vo_10011600_1712","0","0","0"
"35","17","0","1","333","1170035","0.818701298701299","0","0","0","530","7"
"36","17","0","4","0","1170036","0","1.8187012987013","0","1","0","7"
"37","17","vo_10011600","2","0","1170037","0","0","vo_10011600_1713","0","0","0"
"38","17","0","1","530","1170038","0.872727272727273","0","0","0","740","7"
"39","17","0","4","0","1170039","0","2.67272727272727","0","1","0","7"
"40","17","vo_10011600","2","0","1170040","0","0","vo_10011600_1714","0","0","0"
"41","17","0","1","0","1170041","0.581818181818182","0","0","0","140","8"
"42","17","0","4","0","1170042","0","1.38181818181818","0","1","0","8"
"43","17","vo_10011600","2","0","1170043","0","0","vo_10011600_1715","0","0","0"
"44","17","0","1","140","1170044","1.35064935064935","0","0","0","465","8"
"45","17","0","4","0","1170045","0","2.60064935064935","0","1","0","8"
"46","17","vo_10011600","2","0","1170046","0","0","vo_10011600_1716","0","0","0"
"47","17","0","1","465","1170047","0.976623376623377","0","0","0","700","8"
"48","17","0","4","0","1170048","0","2.97662337662338","0","1","0","8"
"49","17","0","1","0","1170049","0.01","0","0","0","470","9"
"50","17","0","4","0","1170050","0","0","0","1","0","9"
"51","17","vo_10011600","2","0","1170051","0","0","vo_10011600_1717","0","0","0"
"52","17","0","1","470","1170052","1.19480519480519","0","0","0","700","9"
