04370ab02b585dbee8ec45ec305fe3ccdd543118b1c111197b2308af7472ee14,f4c9a2aa8629f860a1d1d291cbaf5b66743517ee18012955582e1635e062a386,e3e1cbd31d434b151b4271581b3c4c839aed6dba76fac57e0b200e9a2b148daa,9aec366a6185d13931157010ec80f8e9325b585e093eb345e15e094c8a1d24ac,6d92f81f990040aeb92581d0451ce839394e5f03e1f1ff7eaccb377feddc83aa,ca04c02da68710fe7f3ad68950d49072ca4a46aa80f10130064c3644ccb01a23,714b50524e86e3b0b8583bbd71e08fbbba36279e3a7567d290613035788d71dc,bf6ff8c86b100aea249c9ddcf3fedc7ff9f62f34ce3c33583d28bedf0175fbf7
"1005","ＴＰ250アップ","2","0","バトル開始時、味方のＴＰが250アップ","1005","1005","0"
"1006","ＴＰ250アップ","2","0","バトル開始時、味方のＴＰが250アップ","1006","1006","0"
"1007","ＴＰ250アップ","2","0","バトル開始時、味方のＴＰが250アップ","1007","1007","0"
"1008","ＴＰ250アップ","2","0","バトル開始時、味方のＴＰが250アップ","1008","1008","0"
"100501","物理攻撃ダウン90秒","1","36000","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","100501","27160000000000"
"100502","物理攻撃ダウン90秒","1","36000","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","100502","26040000000000"
"100503","物理防御ダウン90秒","1","36000","バトル開始から90秒間、敵の物理防御力がダウン","1005","100503","25200000000000"
"100504","魔法防御ダウン90秒","1","36000","バトル開始から90秒間、敵の魔法防御力がダウン","1005","100504","24360000000000"
"100505","物理攻撃ダウン90秒","1","36000","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","100505","23520000000000"
"100506","物理攻撃ダウン90秒","1","36000","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","100506","22400000000000"
"100507","物理防御ダウン90秒","1","36000","バトル開始から90秒間、敵の物理防御力がダウン","1005","100507","21560000000000"
"100508","魔法防御ダウン90秒","1","36000","バトル開始から90秒間、敵の魔法防御力がダウン","1005","100508","20720000000000"
"100509","物理攻撃ダウン90秒","1","36000","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","100509","19600000000000"
"100510","物理攻撃ダウン90秒","1","36000","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","100510","18760000000000"
"100511","物理攻撃ダウン90秒","1","36000","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","100511","17920000000000"
"100512","物理攻撃ダウン90秒","1","36000","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","100512","16800000000000"
"100513","物理防御ダウン90秒","1","36000","バトル開始から90秒間、敵の物理防御力がダウン","1005","100513","15960000000000"
"100514","魔法防御ダウン90秒","1","36000","バトル開始から90秒間、敵の魔法防御力がダウン","1005","100514","15120000000000"
"100515","物理攻撃ダウン90秒","1","36000","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","100515","14280000000000"
"100516","物理攻撃ダウン90秒","1","36000","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","100516","13160000000000"
"100517","物理防御ダウン90秒","1","36000","バトル開始から90秒間、敵の物理防御力がダウン","1005","100517","12320000000000"
"100518","魔法防御ダウン90秒","1","36000","バトル開始から90秒間、敵の魔法防御力がダウン","1005","100518","11480000000000"
"100519","物理攻撃ダウン90秒","1","36000","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","100519","10360000000000"
"100520","物理攻撃ダウン90秒","1","36000","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","100520","9520000000000"
"100521","物理攻撃ダウン90秒","1","36000","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","100521","8680000000000"
"100522","物理攻撃ダウン90秒","1","36000","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","100522","7560000000000"
"100523","物理防御ダウン90秒","1","36000","バトル開始から90秒間、敵の物理防御力がダウン","1005","100523","6720000000000"
"100524","魔法防御ダウン90秒","1","36000","バトル開始から90秒間、敵の魔法防御力がダウン","1005","100524","5880000000000"
"100525","物理攻撃ダウン90秒","1","36000","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","100525","5040000000000"
"100526","ＴＰ150アップ","1","36000","バトル開始時、味方のＴＰが150アップ","1005","100526","3920000000000"
"100527","無敵10秒","1","36000","バトル開始から10秒間、味方が無敵状態になる","1005","100527","3080000000000"
"100528","物理攻撃ダウン90秒","1","36000","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","100528","2240000000000"
"100529","物理防御ダウン90秒","1","36000","バトル開始から90秒間、敵の物理防御力がダウン","1005","100529","1120000000000"
"100530","魔法防御ダウン90秒","1","36000","バトル開始から90秒間、敵の魔法防御力がダウン","1005","100530","280000000000"
"100601","魔法攻撃アップ90秒","1","36000","バトル開始から90秒間、味方の魔法攻撃力がアップ","1006","100601","43650000000000"
"100602","物理攻撃アップ90秒","1","36000","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","100602","41850000000000"
"100603","物理防御ダウン90秒","1","36000","バトル開始から90秒間、敵の物理防御力がダウン","1006","100603","40500000000000"
"100604","魔法防御ダウン90秒","1","36000","バトル開始から90秒間、敵の魔法防御力がダウン","1006","100604","39150000000000"
"100605","魔法攻撃アップ90秒","1","36000","バトル開始から90秒間、味方の魔法攻撃力がアップ","1006","100605","37800000000000"
"100606","物理攻撃アップ90秒","1","36000","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","100606","36000000000000"
"100607","毎秒ＨＰ回復90秒","1","36000","バトル開始から90秒間、味方のＨＰが毎秒回復","1006","100607","34650000000000"
"100608","物理攻撃アップ90秒","1","36000","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","100608","33300000000000"
"100609","物理攻撃アップ90秒","1","36000","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","100609","31500000000000"
"100610","魔法防御ダウン90秒","1","36000","バトル開始から90秒間、敵の魔法防御力がダウン","1006","100610","30150000000000"
"100611","魔法攻撃アップ90秒","1","36000","バトル開始から90秒間、味方の魔法攻撃力がアップ","1006","100611","28800000000000"
"100612","物理攻撃アップ90秒","1","36000","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","100612","27000000000000"
"100613","物理防御ダウン90秒","1","36000","バトル開始から90秒間、敵の物理防御力がダウン","1006","100613","25650000000000"
"100614","魔法防御ダウン90秒","1","36000","バトル開始から90秒間、敵の魔法防御力がダウン","1006","100614","24300000000000"
"100615","魔法攻撃アップ90秒","1","36000","バトル開始から90秒間、味方の魔法攻撃力がアップ","1006","100615","22950000000000"
