97dac4f0f1f22fe0067276b6f238c299a980f6eae0e3e71686f5752ea4e9601c,6d4b51f1be9627fe3b5b8fa4496b9ee13b6770d9da8693cb32cd1b96b692a960,2c91a583d1ed756650389e24539fd1f1b7ea2007be78504be96b8045fda204bd,2137dcf6ca539a0d857bf44cd36aeca91de2a9758bb01e07a5e2b1adb649638d,f7814af91816a1e52ed0393daf6631ca35fd9a520820be804b7516c51eef523a,7954d10e4419996613fe340c6dd20b2d2c1bdf45940f918ab2d9c3c8003dd22a,c26389ba32a1e5637c2c7fd212dadfe0e5e8170345bc564412bf8a579942fc0c,33ce20baf465e93dff76b62514d7f07ba9ba44b47555b3f83b29dd0da2bd17d3,73c0e84b8706416273eff54e4c03d58a4a1b004cf6f79511f6e5f6a8d103bec1,b9856eb373f4f2ce97b2b15e0cf896a032cfc6bc6656f4ff16d4468e3ff808fe,069c754b4a3571cdd576168eab7067eecf12fc07d1f40c0110992ca0dd8610f4,d9d34dc92ec7e5e4acbc908248b5f2807bd5d8ff26b8d4ac37cb067c4c4df5d9
"0","0","0","0","1","0","0","0","0","0","0","0"
"0","0","2","0","11002","0","0","1","800","1","0","3"
"0","0","1","0","12001","0","0","1","500","1","0","1"
"0","0","1","0","12002","0","0","1","700","1","0","1"
"0","0","2","0","13001","0","0","1","600","1","0","1"
"0","0","2","0","13002","0","0","1","700","1","0","1"
"0","0","2","0","14002","0","0","1","600","1","0","1"
"0","0","2","0","21001","0","0","2","900","1","0","3"
"0","0","0","0","22001","0","0","8000","0","2","0","0"
"1","0","1","0","23001","0","0","5","1","3","0","99"
"1","0","1","0","23002","0","0","7","1","3","0","99"
"1","0","4","0","25001","0","0","0","3","5","0","0"
"0","0","1","0","25002","1","0","0","0","5","0","0"
"1","0","4","0","25003","0","0","1","3","5","0","0"
"0","0","1","0","25004","1","0","1","0","5","0","0"
"0","0","0","0","26001","40","0","76","37","6","0","0"
"0","0","0","0","27001","1","0","2","1","7","0","0"
"0","0","0","0","27002","1","0","3","1","7","0","0"
"0","0","0","0","28001","0","0","0","0","8","0","0"
