62ba32ce718d7f978b52875f301c17ef77a24836897d0e47944f473112f65c68,bd8b670f02ded824436ed5d198c739ac3ff500d9e13b70ee364a61553a0d56dc,7ac208b10d9e22f2a08c0062fc3829b4f27aea4e4f15babae1fc604c2dfa0070,7e382f04d082255289374532c357abda3100ce26e59a23073fa6b8ecd744bb60,c3ec8fcd76f9a77d7762fd6eaff514b9e353af53d734e4b0dbb08a0a8480e569,ea199ac91cd496ec1404b4988f03408fff31ebb33708c40d906990ff7f6eddc6
"20001201","2000102","2000101","0","20001115","20001"
"0","2000103","2000102","2000101","0","20001"
"0","0","2000103","2000102","0","20001"
"20002201","2000202","2000201","0","20002115","20002"
"0","2000203","2000202","2000201","0","20002"
"0","0","2000203","2000202","0","20002"
"20003201","2000302","2000301","0","20003115","20003"
"0","2000303","2000302","2000301","0","20003"
"0","0","2000303","2000302","0","20003"
"20004201","2000402","2000401","0","20004115","20004"
"0","2000403","2000402","2000401","0","20004"
"0","0","2000403","2000402","0","20004"
"20005201","2000502","2000501","0","20005115","20005"
"0","2000503","2000502","2000501","0","20005"
"0","0","2000503","2000502","0","20005"
"20006201","2000602","2000601","0","20006115","20006"
"0","2000603","2000602","2000601","0","20006"
"0","0","2000603","2000602","0","20006"
"20007201","2000702","2000701","0","20007115","20007"
"0","2000703","2000702","2000701","0","20007"
"0","0","2000703","2000702","0","20007"
"20008201","2000802","2000801","0","20008115","20008"
"0","2000803","2000802","2000801","0","20008"
"0","0","2000803","2000802","0","20008"
"20009201","2000902","2000901","0","20009115","20009"
"0","2000903","2000902","2000901","0","20009"
"0","0","2000903","2000902","0","20009"
"20010201","2001002","2001001","0","20010115","20010"
"0","2001003","2001002","2001001","0","20010"
"0","0","2001003","2001002","0","20010"
"20011201","2001102","2001101","0","20011115","20011"
"0","2001103","2001102","2001101","0","20011"
"0","0","2001103","2001102","0","20011"
"20012201","2001202","2001201","0","20012115","20012"
"0","2001203","2001202","2001201","0","20012"
"0","0","2001203","2001202","0","20012"
"20013201","2001302","2001301","0","20013115","20013"
"0","2001303","2001302","2001301","0","20013"
"0","0","2001303","2001302","0","20013"
"20014201","2001402","2001401","0","20014115","20014"
"0","2001403","2001402","2001401","0","20014"
"0","0","2001403","2001402","0","20014"
"20015201","2001502","2001501","0","20015115","20015"
"0","2001503","2001502","2001501","0","20015"
"0","0","2001503","2001502","0","20015"
