b81ca60756bd7bd8659ceeacfa358729f6a9ffd84ea5e34472763a693927c257,433efcb0f362acdbd789966782a87dc0ec9790eae5052b98a3ce1c8c0bc3ec2c,11a979d33b321b683b40f7084769655a72ec3d975c67dd464c4b23b15ec2af3c,03faa6fe8064029a9adaa286491bb7dc5d2575539810387c1203540b5ed41386,ae11c5d67987b023c73401b6bac740b8370527a8fed028e41e1ff4c44d41ef5f
"信頼度","10053102","1","10053","6017101"
"信頼度","10127103","1","10127","6100101"
"信頼度","10129106","1","10129","6102101"
"信頼度","10131114","1","10131","6104101"
"信頼度","10141107","1","10141","6114101"
"信頼度","10144102","1","10144","6144101"
"信頼度","10151110","1","10151","6124101"
"信頼度","0","1","20015","0"
"信頼度","0","1","20017","0"
"信頼度","0","1","20018","0"
"信頼度","0","1","20019","0"
"信頼度","0","1","20020","0"
"信頼度","0","1","20022","0"
"信頼度","0","1","20023","0"
"信頼度","0","1","20024","0"
"信頼度","0","1","20025","0"
"信頼度","0","1","20026","0"
"信頼度","0","1","20028","0"
"信頼度","0","1","20029","0"
"信頼度","0","1","20030","0"
"信頼度","0","1","20031","0"
"信頼度","0","1","20032","0"
"信頼度","0","1","20035","0"
"信頼度","0","1","20037","0"
"信頼度","0","1","20038","0"
"信頼度","0","1","20042","0"
"信頼度","0","1","20043","0"
"信頼度","0","1","20048","0"
"信頼度","0","1","20049","0"
"信頼度","0","1","20051","0"
