4e8e2aac8349ca5b9c266a64cb6d42249ebab93ce3f788075fa134a8673ce569,b922dcbbb992a5dbb63920b85b35cf978f7dc82292257cbc2b8e5abfd062c53e,e1a02e29611fad882cb9627040084919c192d2bd93ea921e6fd2a798228d00eb,6f1df0ed3df0c1c9cccbd6cc6e26fbedd35de97140408e575a3e1983763294cc,6aa0e0fcdb044fda9ae830b56ff9e12bc682808e93f01bf7cab149b14e8acb93,eee57589fb127a4094eae5fb418f5cf4fe588b5fee929e3c744311753c3db0f2,7fbd7a47919b24b7c3425b8c5d21ce61cd1544d27b92ab959ff6a1c1bc152c45,3267cc1c4cbe1493a407aba16d53b39eefedd34249cb201124cbcd7ac387f36c,ff2b5378c2ff5d481af416b63b9c7b7ed2135d28ff25778e0abd73e817a74ed7,bada1efdf28be9f293e49fd721aac1b5048d75a390a4364d2914e22697a4f740,0bd47d484f8a105bb9d95404a9a9f909a11cc157775a937e9eee94daed2909d9
"-190","1","-140","1","0","112511","1.8","1","1500","omp_talk_worry","1010001"
"-190","1","140","1","1","112411","1.8","1","1500","omp_idle_normal","1010002"
"1","1","0","31","","1","1","1","0","","1010003"
"","1","","93","","","","1","","","1010004"
"","1","0","21","","vo_omp_7001_000","","vo_omp_7001","0","","1010005"
"1","1","1","11","","ウヅキ、大丈夫？\n夜営続きで疲れてない？","","112511","10","","1010006"
"","1","","91","","","","0","","","1010007"
"","1","","3","","omp_idle_worry","0","112511","1","","1010008"
"","1","","3","","omp_talk_joy1","0","112411","1","","1010009"
"","1","0","21","","vo_omp_7001_001","","vo_omp_7001","0","","1010010"
"1","1","1","11","","はい、大丈夫です！\nみんなと一緒に旅をするの\nとっても楽しいですし","","112411","10","","1010011"
"","1","","91","","","","0","","","1010012"
"","1","","3","","omp_psn_20","0","112411","1","","1010013"
"","1","","3","","omp_talk_normal","0","112511","1","","1010014"
"","1","0","21","","vo_omp_7001_002","","vo_omp_7001","0","","1010015"
"1","1","1","11","","そっか\nウヅキはどんなときも楽しそうだよね","","112511","10","","1010016"
"","1","","91","","","","0","","","1010017"
"","1","","3","","omp_idle_normal","0","112511","1","","1010018"
"","1","","3","","omp_talk_sad","0","112411","1","","1010019"
"","1","0","21","","vo_omp_7001_003","","vo_omp_7001","0","","1010020"
"1","1","1","11","","もしかして…\nリンちゃんは楽しくないですか？","","112411","10","","1010021"
"","1","","91","","","","0","","","1010022"
"","1","","3","","omp_idle_sad","0","112411","1","","1010023"
"1","1","omp_idle_surprise1","3","0.1","omp_surprise","0","112511","0","","1010024"
"","1","0","21","","vo_omp_7001_004","","vo_omp_7001","0","","1010025"
"1","1","1","11","","えっ？　どうして？\nそんなことないよ\n私も…すごく楽しい","","112511","10","","1010026"
"","1","","93","","1","","2.5","","","1010027"
"","1","","3","","omp_talk_normal","0.2","112511","1","","1010028"
"","1","","91","","","","1010026","","","1010029"
"","1","","3","","omp_idle_normal","0","112511","1","","1010030"
"","1","","3","","omp_talk_joy2","0","112411","1","","1010031"
"","1","0","21","","vo_omp_7001_005","","vo_omp_7001","0","","1010032"
"1","1","1","11","","えへへっ♪\nそれなら安心してください！\nリンちゃんが楽しいなら\n私も楽しいですから！","","112411","10","","1010033"
"","1","","91","","","","0","","","1010034"
"","1","","4","","0","","112511","1","","1010035"
"","1","","3","","omp_psn_20","0","112411","1","","1010036"
"","1","","3","","omp_idle_normal","0","112511","1","","1010037"
"","1","0","21","","vo_omp_7001_006","","vo_omp_7001","0","","1010038"
"1","1","1","11","","心配してたつもりなのに…\n私が励まされちゃった\nウヅキはやっぱりすごいな…","","112511","10","","1010039"
"","1","","91","","","","0","","","1010040"
"","1","","93","","","","0.4","","","1010041"
"-195","2","-180","1","0","112511","1.8","1","1600","omp_idle_normal","1020001"
"-190","2","20","1","1","112411","1.8","1","1500","omp_talk_normal","1020002"
"-205","2","220","1","1","112611","1.8","1","1600","omp_idle_normal","1020003"
"1","2","0","31","","1","1","1","0","","1020004"
"","2","","93","","","","1","","","1020005"
"","2","0","21","","vo_omp_7002_000","","vo_omp_7002","0","","1020006"
"1","2","1","11","","ペコリーヌちゃんの魔物料理、\n美味しかったですね♪","","112411","10","","1020007"
"","2","","91","","","","0","","","1020008"
"","2","","4","","0","","112411","","","1020009"
"","2","","3","","omp_idle_normal","0","112411","1","","1020010"
"","2","","3","","omp_talk_joy1","0","112611","1","","1020011"
"","2","0","21","","vo_omp_7002_001","","vo_omp_7002","0","","1020012"
"1","2","1","11","","うん！　美味しかったし\n冒険の醍醐味って感じがして…\nすごい経験しちゃったなって！","","112611","10","","1020013"
"","2","","91","","","","0","","","1020014"
"","2","","3","","omp_idle_joy1","0","112611","1","","1020015"
"","2","","3","","omp_talk_surprise1","0","112411","1","","1020016"
"","2","0","21","","vo_omp_7002_002","","vo_omp_7002","0","","1020017"
"1","2","1","11","","でも不思議ですよね\nあんな見た目の魔物が\nご馳走に変身しちゃうなんて！","","112411","10","","1020018"
"","2","","91","","","","0","","","1020019"
"","2","","4","","1","","112411","","","1020020"
"","2","","3","","omp_idle_surprise1","0","112411","1","","1020021"
"","2","","3","","omp_talk_normal","0","112511","1","","1020022"
"","2","0","21","","vo_omp_7002_003","","vo_omp_7002","0","","1020023"
"1","2","1","11","","全然想像できない味だったね\nいい意味で","","112511","10","","1020024"
"","2","","91","","","","0","","","1020025"
"","2","","3","","omp_talk_sad","0","112511","1","","1020026"
"","2","0","21","","vo_omp_7002_004","","vo_omp_7002","0","","1020027"
"1","2","1","11","","でも魔物が調理されてるところは\nまあ、何て言うか…","","112511","10","","1020028"
"","2","","91","","","","0","","","1020029"
"","2","","3","","omp_idle_sad","0","112511","1","","1020030"
"","2","","3","","omp_talk_bitter","0","112411","1","","1020031"
"","2","0","21","","vo_omp_7002_005","","vo_omp_7002","0","","1020032"
"1","2","1","11","","…す、すごかったですよね","","112411","10","","1020033"
"","2","","91","","","","0","","","1020034"
"","2","","3","","omp_idle_bitter","0","112411","1","","1020035"
"","2","","3","","omp_talk_joy1","0","112611","1","","1020036"
"","2","0","21","","vo_omp_7002_006","","vo_omp_7002","0","","1020037"
"1","2","1","11","","魔物料理は、おペコさんに\nまるっとお任せしちゃった方が\nいいかも。あはは～","","112611","10","","1020038"
"","2","","91","","","","0","","","1020039"
"","2","","3","","omp_idle_joy1","0","112611","1","","1020040"
"","2","","3","","omp_talk_bitter","0","112511","1","","1020041"
"","2","0","21","","vo_omp_7002_007","","vo_omp_7002","0","","1020042"
"1","2","1","11","","冒険って、奥が深いね…","","112511","10","","1020043"
"","2","","91","","","","0","","","1020044"
"","2","","93","","","","0.4","","","1020045"
"-190","3","-140","1","0","112411","1.8","1","1500","omp_talk_joy1","1030001"
"-190","3","140","1","1","112611","1.8","1","1500","omp_idle_normal","1030002"
"1","3","0","31","","1","1","1","0","","1030003"
"","3","","93","","","","1","","","1030004"
"","3","0","21","","vo_omp_7003_000","","vo_omp_7003","0","","1030005"
"1","3","1","11","","ミオちゃん！\nこのあたりっていろいろな\n魔物がいて楽しいですね！","","112411","10","","1030006"
"","3","","91","","","","0","","","1030007"
"","3","","3","","omp_psn_20","0","112411","1","","1030008"
"","3","","3","","omp_psn_19","0","112611","1","","1030009"
"","3","0","21","","vo_omp_7003_001","","vo_omp_7003","0","","1030010"
"1","3","1","11","","た、楽しいかな～？","","112611","10","","1030011"
"","3","","91","","","","0","","","1030012"
"","3","","3","","omp_psn_18","0","112611","1","","1030013"
"","3","","3","","omp_talk_joy1","0","112411","1","","1030014"
"","3","0","21","","vo_omp_7003_002","","vo_omp_7003","0","","1030015"
"1","3","1","11","","怖い魔物もたくさんいますけど\n探せばぴにゃこら太さんや\nプチグリフォンさんみたいに\nかわいい魔物もいると思うんですよね！","","112411","10","","1030016"
"","3","","91","","","","0","","","1030017"
"","3","","3","","omp_psn_20","0","112411","1","","1030018"
"","3","","3","","omp_talk_joy1","0","112611","1","","1030019"
"","3","0","21","","vo_omp_7003_003","","vo_omp_7003","0","","1030020"
"1","3","1","11","","そういうことか\nいや、ちょっとまって、しまむー\nプチグリフォンはかわいいかもだけど\nぴにゃこら太、かわいいかな～？","","112611","10","","1030021"
"","3","","93","","1","","1.5","","","1030022"
"","3","","3","","omp_psn_19","0.2","112611","1","","1030023"
"","3","","91","","","","1030021","","","1030024"
"","3","","3","","omp_psn_18","0","112611","1","","1030025"
"","3","","3","","omp_talk_joy1","0","112411","1","","1030026"
"","3","0","21","","vo_omp_7003_004","","vo_omp_7003","0","","1030027"
"1","3","1","11","","かわいいですよ～\n私たちの歌で、たくさんの\nぴにゃこら太さんを\n集められませんかね？","","112411","10","","1030028"
"","3","","91","","","","0","","","1030029"
"","3","","3","","omp_psn_20","0","112411","1","","1030030"
"","3","","3","","omp_psn_19","0","112611","1","","1030031"
"","3","0","21","","vo_omp_7003_005","","vo_omp_7003","0","","1030032"
"1","3","1","11","","いやー、どうだろう\nぴにゃこら太って\nオンリーワンみたいなところあるし…\nむしろオンリーワンであってほしいし…","","112611","10","","1030033"
"","3","","91","","","","0","","","1030034"
"","3","","3","","omp_psn_18","0","112611","1","","1030035"
"","3","","3","","omp_talk_joy2","0","112411","1","","1030036"
"","3","0","21","","vo_omp_7003_006","","vo_omp_7003","0","","1030037"
"1","3","1","11","","あっ、たしかにそうですね！\nまずは目の前のぴにゃこら太さんに\n認めてもらわなきゃですし♪","","112411","10","","1030038"
"","3","","91","","","","0","","","1030039"
"","3","","3","","omp_psn_20","0","112411","1","","1030040"
