0d2af150a984a649815916444ba75e342cdfae5f2e712b7558c755e6c2db2f94,7818d9a30eb2be0660165a81a0609cefa94f08c88269cbf0f479b9dbfb78402f,8b94bef3e408c3484cf6a945e9a15279ec7f43172aaa32632c8183731015ff28,6a0e92e58939e9bfd37bc44121bfe257e90be3e7f314c7cc741df1813885c451,c4ffd07a6c37fca0ddc47703cecc6cc7c3075dd1048718fcfd806e9f9259a510,567e3abfd5359aa9b5b3f60c5efd3b09cad2418df517500371545d6ea9c27d50,8ca618d76bfb70d85c94365e4feb938c7882e071049fb7d273d98de3877585fd,42f0c94721dcf58b3958d76ede9564aaff9f36a9ed7377d55c7810bf41e678df,f7d0f7d9e66381925742e20d9359c7cc0bdb872a2eb6d3360060cd9611a05db0
"100111","0","50","20000","0","0","0","30000","5000"
"100112","0","50","20000","0","0","0","30000","5000"
"100113","0","50","20000","0","0","0","30000","5000"
"100121","0","125","30000","0","0","0","45000","12500"
"100122","0","125","30000","0","0","0","45000","12500"
"100123","0","125","30000","0","0","0","45000","12500"
"100131","0","200","40000","0","0","0","60000","20000"
"100132","0","200","40000","0","0","0","60000","20000"
"100133","0","200","40000","0","0","0","60000","20000"
"100211","0","50","20000","0","0","0","30000","5000"
"100212","0","50","20000","0","0","0","30000","5000"
"100213","0","50","20000","0","0","0","30000","5000"
"100221","0","125","30000","0","0","0","45000","12500"
"100222","0","125","30000","0","0","0","45000","12500"
"100223","0","125","30000","0","0","0","45000","12500"
"100231","0","200","40000","0","0","0","60000","20000"
"100232","0","200","40000","0","0","0","60000","20000"
"100233","0","200","40000","0","0","0","60000","20000"
"100311","0","50","20000","0","0","0","30000","5000"
"100312","0","50","20000","0","0","0","30000","5000"
"100313","0","50","20000","0","0","0","30000","5000"
"100321","0","125","30000","0","0","0","45000","12500"
"100322","0","125","30000","0","0","0","45000","12500"
"100323","0","125","30000","0","0","0","45000","12500"
"100331","0","200","40000","0","0","0","60000","20000"
"100332","0","200","40000","0","0","0","60000","20000"
"100333","0","200","40000","0","0","0","60000","20000"
"100411","0","50","20000","0","0","0","30000","5000"
"100412","0","50","20000","0","0","0","30000","5000"
"100413","0","50","20000","0","0","0","30000","5000"
"100421","0","125","30000","0","0","0","45000","12500"
"100422","0","125","30000","0","0","0","45000","12500"
"100423","0","125","30000","0","0","0","45000","12500"
"100431","0","200","40000","0","0","0","60000","20000"
"100432","0","200","40000","0","0","0","60000","20000"
"100433","0","200","40000","0","0","0","60000","20000"
"100511","0","50","20000","0","0","0","30000","5000"
"100512","0","50","20000","0","0","0","30000","5000"
"100513","0","50","20000","0","0","0","30000","5000"
"100521","0","125","30000","0","0","0","45000","12500"
"100522","0","125","30000","0","0","0","45000","12500"
"100523","0","125","30000","0","0","0","45000","12500"
"100531","0","200","40000","0","0","0","60000","20000"
"100532","0","200","40000","0","0","0","60000","20000"
"100533","0","200","40000","0","0","0","60000","20000"
"100611","0","50","20000","0","0","0","30000","5000"
"100612","0","50","20000","0","0","0","30000","5000"
"100613","0","50","20000","0","0","0","30000","5000"
"100621","0","125","30000","0","0","0","45000","12500"
"100622","0","125","30000","0","0","0","45000","12500"
"100623","0","125","30000","0","0","0","45000","12500"
"100631","0","200","40000","0","0","0","60000","20000"
"100632","0","200","40000","0","0","0","60000","20000"
"100633","0","200","40000","0","0","0","60000","20000"
"100711","0","50","20000","0","0","0","30000","5000"
"100712","0","50","20000","0","0","0","30000","5000"
"100713","0","50","20000","0","0","0","30000","5000"
"100721","0","125","30000","0","0","0","45000","12500"
"100722","0","125","30000","0","0","0","45000","12500"
"100723","0","125","30000","0","0","0","45000","12500"
"100731","0","200","40000","0","0","0","60000","20000"
"100732","0","200","40000","0","0","0","60000","20000"
"100733","0","200","40000","0","0","0","60000","20000"
"100811","0","50","20000","0","0","0","30000","5000"
"100812","0","50","20000","0","0","0","30000","5000"
"100813","0","50","20000","0","0","0","30000","5000"
"100821","0","125","30000","0","0","0","45000","12500"
"100822","0","125","30000","0","0","0","45000","12500"
"100823","0","125","30000","0","0","0","45000","12500"
"100831","0","200","40000","0","0","0","60000","20000"
"100832","0","200","40000","0","0","0","60000","20000"
"100833","0","200","40000","0","0","0","60000","20000"
"100911","0","50","20000","0","0","0","30000","5000"
"100912","0","50","20000","0","0","0","30000","5000"
"100913","0","50","20000","0","0","0","30000","5000"
"100921","0","125","30000","0","0","0","45000","12500"
"100922","0","125","30000","0","0","0","45000","12500"
"100923","0","125","30000","0","0","0","45000","12500"
"100931","0","200","40000","0","0","0","60000","20000"
"100932","0","200","40000","0","0","0","60000","20000"
"100933","0","200","40000","0","0","0","60000","20000"
