122c7ee47e44bc52ca1a19c1213a70ffac9b789a9d8513e7f268a7a070376dc1,100401eca17b132297cf925ab0f8a50b2769b35906afb5c509df2bc05e6edc27,322ed1e5dc28f04047a17140ab0f72877bc2573fad0a9dcb018b402b5e2a2148,4d7a419eee9c36ef3535c2e25a4f13831d2e0a81869d7cd0e49b7981e8c2af4e,167998cf9891181975d7636544b2209036eba08b2802b5befdd36e1748c49044,1368cda65a7a74452175643034e23b7b93601d64a8982b7c0f8cc62137678630,92d3af5e01f2acbf222479a6c317448c75c6c321448f91c02e67246d29e5f16c,f4038e17f12c60ca81a60c90deb9c2bcf2a32e4cd4f2a86007bd126275db3d1e,2bbbf535c2926fe058e1c66ca9e728e499535069926920ed834c9fb9167ca9ec,5db0aa99483a430ecc6d492037e54aaa93f338b33a687fa393309067aa889d12
"1","0","102231","-100","記憶領域1層","0","bgm_M301","102231","bgm_M301","75000001"
"1","0","81002102","0","記憶領域2層","0","bgm_M248_02","81002102","bgm_M248","75000002"
"1","0","102241","-100","記憶領域3層","0","bgm_M301","102241","bgm_M301","75000003"
"1","0","81002502","0","記憶領域4層","0","bgm_M268","81002502","bgm_M268","75000004"
"1","0","102881","-100","記憶領域5層","0","bgm_M502","102881","bgm_M502","75000005"
"1","0","81004602","0","記憶領域6層","0","bgm_M397","81004602","bgm_M397","75000006"
"1","0","102871","-100","記憶領域7層","0","bgm_M503","102871","bgm_M503","75000007"
"1","0","81009002","0","記憶領域8層","0","bgm_M577","81009002","bgm_M577","75000008"
"1","0","102251","-100","記憶領域9層","0","bgm_M301","102251","bgm_M301","75000009"
"1","0","102861","-100","記憶領域10層","0","bgm_M505","102861","bgm_M505","75000010"
"1","0","81010002","0","記憶領域11層","0","bgm_M621","81010002","bgm_M621","75000011"
"1","0","81000605","-100","記憶領域12層","0","bgm_M504","81000605","bgm_M504","75000012"
