f2a95c3042b86b3a0e5bf0602759c189a60e2cdd3d361c96bbc8de2d1c6d6c67,1db68e801bb8ffae5dc2cdbef80a1d806f8b52b922b6da66427cc849264b2e5a,73e2057682dd0fb85253c88900164f85f4d32229f93721309705a4a29ca41239,71c8113a8837de5f1a7e073f2d9ad197f35500936aae521a9571ff0d2d2bb297,65ee3fadb79ea67c53aacbac543f28015962ddc9298c5c022457ce0dd7ce7c0d,ad49cea9c063a6aa455e973d3d8557b47ef6622e62822356dba03958e16ca3ed,1956c44d8f85c54fe77bfb9435a1e77a8642429580c9e6837ee9bae4819736af,f9c0139df54a0919d196fa25ae9e0c8398121585bb127794f91e1a92b317d6e6,0ab30c47d9a64dc0b58ba562417157882a5dd6aebaef510c35faf0b94e7394a0,d75c61c75b6bbce435e077e875e21dfb2435b170bd406c7f2f83c15bcaacaffa,6756b3ec32f785c6a92711a45a7cd07034636d4cc5b56a14f22f82a372eb7b1a
"31","8","8","25015","91002","25021","1","10","285001001","2","2"
"31","8","8","25015","91002","25021","2","10","285001002","2","2"
"32","8","8","25015","91002","25021","3","10","285001003","2","2"
"32","8","8","25015","91002","25021","4","10","285001004","2","2"
"33","8","8","25015","91002","25021","5","10","285001005","2","2"
"33","9","8","25015","91002","25021","6","10","285001006","2","2"
"34","9","8","25015","91002","25021","7","10","285001007","2","2"
"35","9","8","25015","91002","25021","8","10","285001008","2","2"
"35","9","8","25015","91002","25021","9","10","285001009","2","2"
"37","10","8","25015","91002","25021","10","30","285001010","2","2"
"41","10","8","25015","91002","25021","11","10","285001011","2","2"
"43","11","8","25015","91002","25021","12","10","285001012","2","2"
"46","11","8","25015","91002","25021","13","10","285001013","2","2"
"48","12","8","25015","91002","25021","14","10","285001014","2","2"
"50","12","8","25015","91002","25021","15","10","285001015","2","2"
"53","13","8","25015","91002","25021","16","10","285001016","2","2"
"55","14","8","25015","91002","25021","17","10","285001017","2","2"
"58","14","8","25015","91002","25021","18","10","285001018","2","2"
"60","15","8","25015","91002","25021","19","10","285001019","2","2"
"62","15","8","25015","91002","25021","20","30","285001020","2","2"
"68","16","8","25015","91002","25021","21","10","285001021","2","2"
"70","16","8","25015","91002","25021","22","10","285001022","2","2"
"72","16","8","25015","91002","25021","23","10","285001023","2","2"
"75","17","8","25015","91002","25021","24","10","285001024","2","2"
"77","18","8","25015","91002","25021","25","10","285001025","2","2"
"79","18","8","25015","91002","25021","26","10","285001026","2","2"
"82","19","8","25015","91002","25021","27","10","285001027","2","2"
"84","19","8","25015","91002","25021","28","10","285001028","2","2"
"86","19","8","25015","91002","25021","29","10","285001029","2","2"
"89","20","8","25015","91002","25021","30","30","285001030","2","2"
"94","20","8","25015","91002","25021","31","10","285001031","2","2"
"96","21","8","25015","91002","25021","32","10","285001032","2","2"
"99","21","8","25015","91002","25021","33","10","285001033","2","2"
"101","22","8","25015","91002","25021","34","10","285001034","2","2"
"103","22","8","25015","91002","25021","35","10","285001035","2","2"
"106","23","8","25015","91002","25021","36","10","285001036","2","2"
"108","23","8","25015","91002","25021","37","10","285001037","2","2"
"111","24","8","25015","91002","25021","38","10","285001038","2","2"
"113","25","8","25015","91002","25021","39","10","285001039","2","2"
"115","25","8","25015","91002","25021","40","30","285001040","2","2"
"121","26","8","25015","91002","25021","41","10","285001041","2","2"
"123","27","8","25015","91002","25021","42","10","285001042","2","2"
"125","28","8","25015","91002","25021","43","10","285001043","2","2"
"128","28","8","25015","91002","25021","44","10","285001044","2","2"
"130","29","8","25015","91002","25021","45","10","285001045","2","2"
"132","30","8","25015","91002","25021","46","10","285001046","2","2"
"135","30","8","25015","91002","25021","47","10","285001047","2","2"
"137","31","8","25015","91002","25021","48","10","285001048","2","2"
"139","31","8","25015","91002","25021","49","10","285001049","2","2"
"142","31","8","25015","91002","25021","50","30","285001050","2","2"
"144","32","8","25015","91002","25021","51","10","285001051","2","2"
"146","32","8","25015","91002","25021","52","10","285001052","2","2"
"149","32","8","25015","91002","25021","53","10","285001053","2","2"
"152","33","8","25015","91002","25021","54","10","285001054","2","2"
"155","33","8","25015","91002","25021","55","10","285001055","2","2"
"157","33","8","25015","91002","25021","56","10","285001056","2","2"
"160","34","8","25015","91002","25021","57","10","285001057","2","2"
"163","34","8","25015","91002","25021","58","10","285001058","2","2"
"166","34","8","25015","91002","25021","59","10","285001059","2","2"
"169","35","8","25015","91002","25021","60","30","285001060","2","2"
"171","35","8","25015","91002","25021","61","10","285001061","2","2"
"174","35","8","25015","91002","25021","62","10","285001062","2","2"
"177","36","8","25015","91002","25021","63","10","285001063","2","2"
"180","36","8","25015","91002","25021","64","10","285001064","2","2"
"182","36","8","25015","91002","25021","65","10","285001065","2","2"
"185","37","8","25015","91002","25021","66","10","285001066","2","2"
"187","37","8","25015","91002","25021","67","10","285001067","2","2"
"190","37","8","25015","91002","25021","68","10","285001068","2","2"
"193","38","8","25015","91002","25021","69","10","285001069","2","2"
"196","38","8","25015","91002","25021","70","30","285001070","2","2"
"200","39","8","25015","91002","25021","71","10","285001071","2","2"
"204","39","8","25015","91002","25021","72","10","285001072","2","2"
"208","40","8","25015","91002","25021","73","10","285001073","2","2"
"212","40","8","25015","91002","25021","74","10","285001074","2","2"
"216","41","8","25015","91002","25021","75","10","285001075","2","2"
"220","41","8","25015","91002","25021","76","10","285001076","2","2"
"224","42","8","25015","91002","25021","77","10","285001077","2","2"
"228","42","8","25015","91002","25021","78","10","285001078","2","2"
"232","43","8","25015","91002","25021","79","10","285001079","2","2"
"236","43","8","25015","91002","25021","80","30","285001080","2","2"
