7d9db4f3abf119769e251bd6cae8cc2a813b7632a470d7aa3e4114fae2ac75f1,fd9c2c90c9fed0f208befc6d14a6a7acfc5f78c4cfbb0b4d9e7e5fb03a34b825,34c7acac941ec0ed7184f5d9f35c2d04bd8ced6c8bfef434f05140db9be58047,bb05d4bd4eac6895df0d8f0348b1622856c3ee0609f8c7099f3be2fc2730b37b
"1","1","101","1"
"2","1","102","1"
"3","1","103","1"
"4","1","104","1"
"5","1","105","3"
"6","1","106","3"
"7","1","107","3"
"8","1","108","3"
"9","1","109","3"
"10","1","110","4"
"11","1","111","4"
"12","1","112","4"
"13","1","113","4"
"14","1","114","4"
"15","1","115","4"
"16","1","116","4"
"17","1","117","4"
"18","1","118","4"
"19","1","119","4"
"20","1","120","6"
"21","1","121","6"
"22","1","122","6"
"23","1","123","6"
"24","1","124","6"
"25","1","125","6"
"26","1","126","6"
"27","1","127","6"
"28","1","128","6"
"29","1","129","6"
"30","1","130","7"
"31","1","131","7"
"32","1","132","7"
"33","1","133","7"
"34","1","134","7"
"35","1","135","7"
"36","1","136","7"
"37","1","137","7"
"38","1","138","7"
"39","1","139","7"
"40","1","140","8"
"41","1","141","8"
"42","1","142","8"
"43","1","143","8"
"44","1","144","8"
"45","1","145","8"
"46","1","146","8"
"47","1","147","8"
"48","1","148","8"
"49","1","149","8"
"50","1","150","8"
"0","2","201","1"
"0","2","202","2"
"0","2","203","3"
"0","2","204","4"
"0","3","301","1"
"0","3","302","2"
"0","3","303","3"
"0","3","304","4"
"1","4","401","0"
"2","4","402","0"
"3","4","403","0"
"4","4","404","0"
"5","4","405","0"
"6","4","406","0"
"7","4","407","0"
"8","4","408","0"
"9","4","409","0"
"10","4","410","0"
"11","4","411","0"
"12","4","412","0"
"13","4","413","0"
"14","4","414","0"
"15","4","415","0"
"16","4","416","0"
"17","4","417","0"
"18","4","418","0"
"19","4","419","0"
"20","4","420","0"
"21","4","421","0"
"22","4","422","0"
"23","4","423","0"
"24","4","424","0"
"25","4","425","0"
"26","4","426","0"
"27","4","427","0"
"28","4","428","0"
"29","4","429","0"
"30","4","430","0"
"31","4","431","0"
"32","4","432","0"
"33","4","433","0"
"34","4","434","0"
"35","4","435","0"
"36","4","436","0"
"37","4","437","0"
"38","4","438","0"
"39","4","439","0"
"40","4","440","0"
"41","4","441","0"
"42","4","442","0"
"43","4","443","0"
"44","4","444","0"
"45","4","445","0"
"46","4","446","0"
"47","4","447","0"
"48","4","448","0"
"49","4","449","0"
"50","4","450","0"
