c265c1b799e5a755bca26d04f65090b9a96e371666563e2ea24399d4588fc68b,c047cb926f3cb5e3b9776fe259e51c439e7465fa83646d095d79f4a6cbeee62a,09acad70309972a4c7154fe6de26b4f2af158cf547f21ca434a34f0907b9e26b,b13ce9f1fc61b55fe656621ee2a8280fd20e3a6e4ee8a65a29718d94df22f043,fd6e0a316b39d4b05b4f3f9e3675a2db629c0b85aea3fe29f790b7c703fcbeda,2c503e7dccd62753d416ecbf4e4156aa4e4066e238ccac4811087bf88f99ea53,3b5d68ca1b0c4b6f193370024380ad08664044968e88c3148b7a1b5b1eaa871b,52e5969ae274398586ccfc6baadd68ebaefa09438bf1f10f76f4483704d9e2d3
"正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","1","平凡な\n未鑑定トレジャー","100","平凡な未鑑定トレジャー","1","53001","200"
"正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","2","貴重な\n未鑑定トレジャー","200","貴重な未鑑定トレジャー","1","53002","400"
"正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。","3","至高の\n未鑑定トレジャー","400","至高の未鑑定トレジャー","1","53003","800"
"平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","1","平凡なジェムストーン","100","平凡なジェムストーン","0","53004","200"
"珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","2","貴重なジェムストーン","200","貴重なジェムストーン","0","53005","400"
"非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","3","至高のジェムストーン","400","至高のジェムストーン","0","53006","800"
"平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","1","平凡なインゴット","100","平凡なインゴット","0","53007","200"
"珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","2","貴重なインゴット","200","貴重なインゴット","0","53008","400"
"非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","3","至高のインゴット","400","至高のインゴット","0","53009","800"
"平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","1","平凡なスクロール","100","平凡なスクロール","0","53010","200"
"珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","2","貴重なスクロール","200","貴重なスクロール","0","53011","400"
"非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","3","至高のスクロール","400","至高のスクロール","0","53012","800"
"平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","1","平凡なティアラ","100","平凡なティアラ","0","53013","200"
"珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","2","貴重なティアラ","200","貴重なティアラ","0","53014","400"
"非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","3","至高のティアラ","400","至高のティアラ","0","53015","800"
"平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","1","平凡なルーン","100","平凡なルーン","0","53016","200"
"珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","2","貴重なルーン","200","貴重なルーン","0","53017","400"
"非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","3","至高のルーン","400","至高のルーン","0","53018","800"
"平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","1","平凡なクラウン","100","平凡なクラウン","0","53019","200"
"珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","2","貴重なクラウン","200","貴重なクラウン","0","53020","400"
"非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","3","至高のクラウン","400","至高のクラウン","0","53021","800"
"平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","1","平凡なアーティファクト","100","平凡なアーティファクト","0","53022","200"
"珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","2","貴重なアーティファクト","200","貴重なアーティファクト","0","53023","400"
"非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","3","至高のアーティファクト","400","至高のアーティファクト","0","53024","800"
