9e85e15497b510fad823ea8e4b65cf967499f40b931c46457801795104a53eeb,270b087b2b842e2e025ba51d8bd6b43f6f20b5e14add82ac7bdae069f38b74ab,e8fc29a9f5202596fd8f1b1c0c1419e5b60ded31a07dfa85a60bbfa507ed1600
"1","1","30007"
"1","2","30008"
"2","3","30012"
"2","4","40001"
"2","5","30014"
"3","6","30022"
"3","7","50023"
"3","8","30024"
"4","9","30026"
"4","10","50027"
"4","11","30028"
"5","12","30028"
"5","13","30029"
"5","14","30030"
"6","15","30044"
"6","16","40002"
"6","17","30046"
"6","18","50047"
"7","19","30059"
"7","20","30060"
"7","21","50061"
"8","22","30066"
"8","23","50067"
"8","24","30068"
"8","25","30069"
"9","26","30075"
"9","27","30076"
"10","28","30091"
"10","29","40003"
"10","30","30093"
"10","31","50094"
"11","32","30102"
"11","33","30103"
"12","34","30103"
"12","35","30104"
"13","36","30106"
"13","37","30107"
"13","38","50108"
"13","39","30109"
"14","40","30109"
"14","41","30110"
"14","42","30111"
"14","43","30112"
"15","44","30114"
"15","45","40004"
"15","46","30117"
"15","47","30118"
"15","48","50119"
"16","49","50119"
"16","50","30120"
"16","51","30121"
"16","52","30122"
"16","53","30123"
"17","54","50129"
"17","55","30130"
"18","56","30148"
"18","57","40005"
"18","58","30150"
"18","59","50151"
"19","60","50151"
"19","61","30152"
"19","62","30153"
"19","63","30154"
"19","64","40006"
"19","65","30156"
"19","66","30157"
"20","67","50162"
"20","68","30163"
"21","69","30163"
"21","70","30164"
"21","71","30166"
"21","72","30167"
"22","73","30170"
"22","74","30171"
"22","75","50172"
"22","76","30173"
"23","77","30173"
"23","78","30174"
"23","79","30175"
"23","80","30176"
"23","81","30177"
"24","82","30179"
"24","83","40007"
"24","84","30182"
"24","85","50183"
"25","86","50183"
"25","87","30184"
"25","88","30186"
"25","89","30187"
"25","90","30188"
"25","91","30189"
"26","92","30194"
"26","93","50195"
"26","94","30196"
"27","95","30213"
"27","96","40008"
"27","97","30215"
"27","98","30216"
"27","99","50217"
"28","100","30224"
"28","101","30225"
"28","102","30226"
"28","103","30227"
"29","104","30235"
"29","105","30236"
"29","106","50237"
"29","107","30238"
"30","108","30244"
"30","109","40009"
"30","110","30247"
"30","111","50248"
"31","112","30256"
"31","113","30257"
"31","114","30258"
"32","115","30274"
"32","116","40010"
"32","117","30276"
"32","118","30277"
"32","119","50278"
"33","120","30286"
"33","121","30287"
"33","122","30288"
"34","123","30295"
"34","124","30296"
"34","125","30297"
"34","126","50298"
"34","127","30299"
"35","128","40011"
"35","129","30308"
"35","130","50309"
"36","131","30319"
"36","132","30320"
"36","133","50321"
"37","134","30339"
"37","135","40012"
"37","136","50341"
"37","137","30342"
"37","138","30343"
"38","139","30363"
"38","140","30364"
"38","141","50365"
"38","142","30366"
"39","143","30370"
"39","144","40013"
"39","145","30374"
"40","146","30381"
"40","147","30382"
"40","148","50383"
"41","149","30401"
"41","150","40014"
"41","151","30404"
"41","152","50405"
"42","153","30422"
"42","154","30423"
"42","155","50424"
"42","156","30426"
"43","157","30432"
"43","158","40015"
"43","159","50435"
"44","160","50444"
"44","161","30445"
