c3e29429ff0c8896662f606cd25fd8256a64b2f25d6f0f72a9041c39c8f73071,b36f9444c417c10e35e38bea6ad1a18da2bbdc8f0ff04deddd320aef146cb2e7,5d0a02607340b9a112072c42b9d290d03e801f18930c7d49c2987f02e8f8d0cb,4d15a1355dd83fd46ba76b9f61336f84766ff89010a74192f456ccb5fd2328a8,534386de0108df7c5e4ad8a3fc53e3c5ffe8a93eb9af756be738aa8f52fafecf
"ダメージ減衰","1","10101","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","damage_limit"
"防御力（ダウン不可）アップ","1","10102","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","def_lower_limit"
"ダメージ減衰","2","10201","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","damage_limit"
"防御力（ダウン不可）アップ","2","10202","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","def_lower_limit"
"全ダメージカット","2","10203","すべてのモンスターが受けるダメージを一定値カットさせる。","damage_cut"
"与ダメージアップ","2","10204","すべてのモンスターの与えるダメージをアップさせる。","damage_up"
"防御力アップ","2","10205","すべてのモンスターの物理/魔法防御力をアップさせる。","def_up"
"ダメージ減衰","3","10301","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","damage_limit"
"防御力（ダウン不可）アップ","3","10302","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","def_lower_limit"
"全ダメージカット","3","10303","すべてのモンスターが受けるダメージを一定値カットさせる。","damage_cut"
"与ダメージアップ","3","10304","すべてのモンスターの与えるダメージをアップさせる。","damage_up"
"防御力アップ","3","10305","すべてのモンスターの物理/魔法防御力をアップさせる。","def_up"
"クリティカルダウン","3","10306","すべてのキャラの物理/魔法クリティカルをダウンさせる。","critical_down"
"ダメージ減衰","4","10401","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","damage_limit"
"防御力（ダウン不可）アップ","4","10402","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","def_lower_limit"
"全ダメージカット","4","10403","すべてのモンスターが受けるダメージを一定値カットさせる。","damage_cut"
"与ダメージアップ","4","10404","すべてのモンスターの与えるダメージをアップさせる。","damage_up"
"防御力アップ","4","10405","すべてのモンスターの物理/魔法防御力をアップさせる。","def_up"
"クリティカルダウン","4","10406","すべてのキャラの物理/魔法クリティカルをダウンさせる。","critical_down"
"ＨＰ吸収ダウン","4","10407","すべてのキャラのＨＰ吸収をダウンさせる。","life_steal_down"
"強敵出現","5","10501","EXTREMEバトル時に一定確率で強敵が出現する。","add_monster"
"ダメージ減衰","5","10502","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","damage_limit"
"防御力（ダウン不可）アップ","5","10503","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","def_lower_limit"
"全ダメージカット","5","10504","すべてのモンスターが受けるダメージを一定値カットさせる。","damage_cut"
"与ダメージアップ","5","10505","すべてのモンスターの与えるダメージをアップさせる。","damage_up"
"防御力アップ","5","10506","すべてのモンスターの物理/魔法防御力をアップさせる。","def_up"
"クリティカルダウン","5","10507","すべてのキャラの物理/魔法クリティカルをダウンさせる。","critical_down"
"ＨＰ吸収ダウン","5","10508","すべてのキャラのＨＰ吸収をダウンさせる。","life_steal_down"
"ＴＰダウンカット","5","10509","すべてのモンスターがＴＰダウンカット状態になる。","tp_down_cut"
"ＨＰ回復量ダウン","5","10510","すべてのキャラのＨＰ回復量をダウンさせる。","hp_recovery_down"
