91a8e13e6f0944391710151ad262903ea5e32d186e5319944b9d341c8887ae91,b2dffbd60aebd368bf34d3d3da9b56c8e8504a14e15ca7a962ad850bc340a9e0,c5ff133efe2cdc2e9bd03f55cee1d401c86d84603775ba4139cddfbac7924a6d,6cda92e5a76a7de95c30b223c510a92a6147af83ec9d85f57a8ff67f968bb27c
"2019/03/01 4:59:59","2019/02/15 5:00:00","1st Anniversary スペシャルログインボーナス","10000"
"2019/05/07 4:59:59","2019/04/27 5:00:00","GW スペシャルログインボーナス","10001"
"2019/09/01 4:59:59","2019/08/15 5:00:00","1.5Year Anniversary スペシャルログインボーナス","10002"
"2020/03/01 4:59:59","2020/02/15 5:00:00","2nd Anniversary スペシャルログインボーナス","10003"
"2020/09/01 4:59:59","2020/08/15 5:00:00","2.5 Year Anniversary スペシャルログインボーナス","10004"
"2021/03/01 4:59:59","2021/02/15 5:00:00","3rd Anniversary スペシャルログインボーナス","10005"
"2021/09/01 4:59:59","2021/08/15 5:00:00","3.5 Year Anniversary スペシャルログインボーナス","10006"
"2022/03/01 4:59:59","2022/02/15 5:00:00","4th Anniversary スペシャルログインボーナス","10007"
"2022/09/01 4:59:59","2022/08/15 5:00:00","4.5 Year Anniversary スペシャルログインボーナス","10008"
"2023/03/01 4:59:59","2023/02/15 5:00:00","5th Anniversary スペシャルログインボーナス","10009"
"2023/09/01 4:59:59","2023/08/15 5:00:00","5.5 Year Anniversary スペシャルログインボーナス","10010"
"2024/03/01 4:59:59","2024/02/15 5:00:00","6th Anniversary スペシャルログインボーナス","10011"
"2024/09/01 4:59:59","2024/08/15 5:00:00","6.5 Year Anniversary スペシャルログインボーナス","10012"
