3bb558619867c96822827ceb4eab60b241a98fbcd298524a6b08a2c18981f4fd,6b12e131b1cdfb0dfa4e4af32e9e97bb12253a08d798eb280bef49884fcf4ba9,9b64d91b7a68842dffb848aa6413050339f3d98f52996909a443a5bf118c188c,6fc75d3dd17939fd85e5f305666fababe34842d7a1d9201c7c4fa36ea2fb8e35,0eb603fbfb89e7854f474d68006a2be4096602eafc96396f784439deb98bd761,6edada3f08bc019892839d2d50b7d3d7784316867d991ad40548ac33e22c2d9c,0fe3cee09bd6fe3c8cab488f9ee89f78bcd3ebebc5563a576aefb648c58aa23d,14dc7d858406d8e35cbc5f655d79bd5add1fb8b74785ab8bf7bd0628b0c919a9,60761375bd0f22c6b8191eb5849627b965aa85fd16ae172f29be26817acae4c2,18ee720ed07487f76c1f494bea75394a265a85d393ea8ec979d8cd7cb85b7b6b,18527060db14e1345f15d093e684835c6a9b819b4c204d8544086cf15b56ac89,8292fd5d95a46ac980445e3a99ead29035f19f1a2c83d0a1f5e2b0c7c6045b86
"4","0","5154062","0.8","1","0","1","0","0","0","0","515406201"
"2","0","5154062","0","0","0","2","0","vo_abd_0101","0","vo_abd","515406202"
"1","2","5154062","0","0","1","3","300","0","0","0","515406203"
"4","0","5154062","2.1","1","0","4","0","0","0","0","515406204"
"2","0","5154062","0","0","0","5","0","vo_abd_0102","0","vo_abd","515406205"
"1","2.05","5154062","0","0","2","6","400","0","0","0","515406206"
"4","0","5154062","3.2","1","0","7","0","0","0","0","515406207"
"2","0","5154062","0","0","0","8","0","vo_abd_0103","0","vo_abd","515406208"
"1","1","5154062","0","0","3","9","60","0","0","0","515406209"
"4","0","5154062","1.4","1","0","10","0","0","0","0","515406210"
"1","2.5","5154062","0","0","3","11","430","0","60","0","515406211"
"4","0","5154062","3.3","1","0","12","0","0","0","0","515406212"
"2","0","5154062","0","0","0","13","0","vo_abd_0104","0","vo_abd","515406213"
"1","0.2","5154062","0","0","4","14","27","0","0","0","515406214"
"4","0","5154062","0.5","1","0","15","0","0","0","0","515406215"
"1","0.2","5154062","0","0","4","16","60","0","27","0","515406216"
"4","0","5154062","0.6","1","0","17","0","0","0","0","515406217"
"1","0.8","5154062","0","0","4","18","145","0","60","0","515406218"
"4","0","5154062","1.2","1","0","19","0","0","0","0","515406219"
"1","1.8","5154062","0","0","4","20","400","0","145","0","515406220"
"4","0","5154062","2.2","1","0","21","0","0","0","0","515406221"
"2","0","5154062","0","0","0","22","0","vo_abd_0105","0","vo_abd","515406222"
"1","0.6","5154062","0","0","5","23","95","0","0","0","515406223"
"4","0","5154062","1","1","0","24","0","0","0","0","515406224"
"1","0.7","5154062","0","0","5","25","195","0","95","0","515406225"
"4","0","5154062","1.5","1","0","26","0","0","0","0","515406226"
"1","0.8","5154062","0","0","5","27","315","0","195","0","515406227"
"4","0","5154062","1","1","0","28","0","0","0","0","515406228"
"1","0.7","5154062","0","0","5","29","415","0","315","0","515406229"
"4","0","5154062","2","1","0","30","0","0","0","0","515406230"
"2","0","5154062","0","0","0","31","0","vo_abd_0106","0","vo_abd","515406231"
"1","1","5154062","0","0","6","32","160","0","0","0","515406232"
"4","0","5154062","1.3","1","0","33","0","0","0","0","515406233"
"1","1","5154062","0","0","6","34","415","0","160","0","515406234"
"4","0","5154062","2.3","1","0","35","0","0","0","0","515406235"
"2","0","5154062","0","0","0","36","0","vo_abd_0107","0","vo_abd","515406236"
"1","0.7","5154062","0","0","7","37","85","0","0","0","515406237"
"4","0","5154062","0.8","1","0","38","0","0","0","0","515406238"
"1","0.8","5154062","0","0","7","39","360","0","85","0","515406239"
"4","0","5154062","2","1","0","40","0","0","0","0","515406240"
"2","0","5154062","0","0","0","41","0","vo_abd_0108","0","vo_abd","515406241"
"1","2.63","5154062","0","0","8","42","415","0","0","0","515406242"
"4","0","5154062","2.63","1","0","43","0","0","0","0","515406243"
"2","0","5154062","0","0","0","44","0","vo_abd_0109","0","vo_abd","515406244"
"1","1","5154062","0","0","9","45","200","0","0","0","515406245"
"4","0","5154062","2","1","0","46","0","0","0","0","515406246"
"1","0.5","5154062","0","0","9","47","245","0","200","0","515406247"
"4","0","5154062","1.2","1","0","48","0","0","0","0","515406248"
"1","1.5","5154062","0","0","9","49","415","0","245","0","515406249"
"4","0","5154062","2.5","1","0","50","0","0","0","0","515406250"
"2","0","5154062","0","0","0","51","0","vo_abd_0110","0","vo_abd","515406251"
"1","0.2","5154062","0","0","10","52","35","0","0","0","515406252"
"4","0","5154062","0.6","1","0","53","0","0","0","0","515406253"
"1","1.3","5154062","0","0","10","54","400","0","35","0","515406254"
"4","0","5154062","2.3","1","0","55","0","0","0","0","515406255"
"2","0","5154062","0","0","0","56","0","vo_abd_0111","0","vo_abd","515406256"
"1","0.3","5154062","0","0","11","57","60","0","0","0","515406257"
"4","0","5154062","1.2","1","0","58","0","0","0","0","515406258"
"1","1","5154062","0","0","11","59","315","0","60","0","515406259"
"4","0","5154063","0.8","1","0","1","0","0","0","0","515406301"
"2","0","5154063","0","0","0","2","0","vo_abd_0201","0","vo_abd","515406302"
"1","1.5","5154063","0","0","1","3","350","0","0","0","515406303"
"4","0","5154063","2.25","1","0","4","0","0","0","0","515406304"
"2","0","5154063","0","0","0","5","0","vo_abd_0202","0","vo_abd","515406305"
"1","1.8","5154063","0","0","2","6","350","0","0","0","515406306"
"4","0","5154063","3","1","0","7","0","0","0","0","515406307"
"2","0","5154063","0","0","0","8","0","vo_abd_0203","0","vo_abd","515406308"
"1","1.5","5154063","0","0","3","9","315","0","0","0","515406309"
"4","0","5154063","1.8","1","0","10","0","0","0","0","515406310"
"2","0","5154063","0","0","0","11","0","vo_abd_0204","0","vo_abd","515406311"
"1","1.3","5154063","0","0","4","12","300","0","0","0","515406312"
"4","0","5154063","2.5","1","0","13","0","0","0","0","515406313"
