75047a2b26f740ddb4d957374e59f2cd91ad7c5bad75c22115d53cca09fd37e5,be9df8e5519a88305e7bc2056357bc2fce79f63a8f297145cbed997bed8c9d09,1758ae40bb7c93f55970d929dd9d21e0f0dba7645013ba3e209a88a55bb860a1,d74306d46c5dc270165d2e9ef02d172574a80c63f60ffea9444f4307a7874f72,5b04f014c2be015999efbeef219f61cd64a9dfa0bec587db256577e0fe667735,76f141c49f7d5e543e1168932f0bb270d9ad1430c110d23afcfc23ee99381443,d1cb8bd43d7bdf9fe32bad2f85486776276e5e55dd4cd6bc1f144d0c78987581
"2500","累計スコアを2500pt 獲得しよう","12","5126700","94002","50000","1"
"5000","累計スコアを5000pt 獲得しよう","12","0","94002","50000","1"
"7500","累計スコアを7500pt 獲得しよう","12","0","94002","50000","1"
"10000","累計スコアを10000pt 獲得しよう","7","5126701","2839","1","1"
"12500","累計スコアを12500pt 獲得しよう","12","0","94002","80000","1"
"15000","累計スコアを15000pt 獲得しよう","12","0","94002","80000","1"
"17500","累計スコアを17500pt 獲得しよう","12","0","94002","80000","1"
"20000","累計スコアを20000pt 獲得しよう","8","5126702","91002","25","1"
"22500","累計スコアを22500pt 獲得しよう","12","0","94002","100000","1"
"25000","累計スコアを25000pt 獲得しよう","12","0","94002","100000","1"
"27500","累計スコアを27500pt 獲得しよう","8","0","91002","100","1"
"30000","累計スコアを30000pt 獲得しよう","15","5126703","11001262","1","1"
"2500","累計スコアを2500pt 獲得しよう","12","5126710","94002","50000","2"
"5000","累計スコアを5000pt 獲得しよう","12","0","94002","50000","2"
"7500","累計スコアを7500pt 獲得しよう","12","0","94002","50000","2"
"10000","累計スコアを10000pt 獲得しよう","7","5126711","2840","1","2"
"12500","累計スコアを12500pt 獲得しよう","12","0","94002","80000","2"
"15000","累計スコアを15000pt 獲得しよう","12","0","94002","80000","2"
"17500","累計スコアを17500pt 獲得しよう","12","0","94002","80000","2"
"20000","累計スコアを20000pt 獲得しよう","8","5126712","91002","25","2"
"22500","累計スコアを22500pt 獲得しよう","12","0","94002","100000","2"
"25000","累計スコアを25000pt 獲得しよう","12","0","94002","100000","2"
"27500","累計スコアを27500pt 獲得しよう","8","0","91002","100","2"
"30000","累計スコアを30000pt 獲得しよう","15","5126713","11001263","1","2"
