0f742b3caa7ebaf9de499c7fe827335ce92e3c5c41c6016b3e4af10ecaa207a7,eb2b64813ad00d4bbf1b6f481022842bcb453d1e149f958a624b01ed2d3bfe96,0b9014ca4528e40cd018e4b4ee4dad7e23b4c8258916c42784329510925ee77c,dc2cdf8ca804535bc4f58b7b2426a36802a13358d37a17c132b48e565144d97f,886ea40edd7b042e68ce63afd0e56989f25136ef2041c1e0d7d86c4edc2fc51d,0ecf2d0f2e32cf4962b78339bd1d63109f58e1ea14fd69a5711c8443cb4efd01,fdaf7a820f42516a32a94da906fe2114ea0662b7b8fa6938ac4df43647c68f9f,cdd97d1a56806bf90e15c5ffe620b874987ed177146eb33a1b926471fce0eaa6,35f1d1388de10f1ab0c5ae422f21cf41438c7fbba9a2c7ee19102dfe1e39f880,1d294550a18e91038cc8efca14c6386739af4e99d33cf983bd5d2176aad39027,be40a8ece0e0adb53657821dd2b1a57a0d9cbfceb4daa50f19884328c5f85639,772a9914ddf64c092e4a6518e771368bed0e5ffc9b04a4ac38a8f52462c9c521,93b4a44a83d493e09b32efd5a8eff9b2921515f08efa8cb410e938be3dfc03ab,617e2686e7e001c0c166b18b8f127fa03fd72e3f8349927593489c779d85a841,a64512c1b0339fe0b5ece9163f4acc1598ae28861ffb0026349b5cb77cb1aaa4,5443e5bce7bec5780bcac9e7bff44716cba968e830620246eac2f234ba8b254a,9eaaba4a355dc30f54baacf01cf93ecc0c45d262f134415d5ebdf5ce3e7ddab1,04dd9a588e336c6bc6feb1adb0c7243a8b72b7c98879b16f63583f1dd673ed37,94df67a65c6e02c099b8e5eaa0461e1750fc43219d3a0fa6add7962cb0c679ab,b5b88e3cd4268b684962cf4b7be15e451c59b3a5ede6903d35914e9d54bae302,d0020b2eb4dabea362d30598843c5143f3cd263eacffd568265513d4682d7e68
"1","0","90006","0","0","91002","5","0","1","31043","0","1","500","8","500","1","2","0","1001","0","2"
"2","0","90006","0","0","91002","8","0","2","31043","0","1","1000","8","1000","2","2","0","1001","0","2"
"3","0","90006","0","0","91002","10","0","3","31043","0","1","1500","8","1500","3","2","0","1001","0","2"
"4","0","90006","0","0","91002","12","0","4","31043","0","1","2000","8","2000","4","2","0","1001","0","2"
"5","0","90006","0","0","91002","14","0","5","31043","0","1","2500","8","2500","5","2","0","1001","0","2"
"6","0","90006","0","0","91002","16","0","6","31043","0","1","3000","8","3000","6","2","0","1001","0","2"
"7","0","90006","0","0","91002","18","0","7","31043","0","1","3500","8","3500","7","2","0","1001","0","2"
"8","0","90006","0","0","91002","20","0","9","31043","0","1","4000","8","4000","8","2","0","1001","0","2"
"9","0","90006","0","0","91002","25","0","-1","31043","0","1","4500","8","4500","10","2","0","1001","0","2"
"10","0","90006","0","0","91002","5","0","1","31022","0","1","500","8","500","1","2","0","1002","0","2"
"11","0","90006","0","0","91002","8","0","2","31022","0","1","1000","8","1000","2","2","0","1002","0","2"
"12","0","90006","0","0","91002","10","0","3","31022","0","1","1500","8","1500","3","2","0","1002","0","2"
"13","0","90006","0","0","91002","12","0","4","31022","0","1","2000","8","2000","4","2","0","1002","0","2"
"14","0","90006","0","0","91002","14","0","5","31022","0","1","2500","8","2500","5","2","0","1002","0","2"
"15","0","90006","0","0","91002","16","0","6","31022","0","1","3000","8","3000","6","2","0","1002","0","2"
"16","0","90006","0","0","91002","18","0","7","31022","0","1","3500","8","3500","7","2","0","1002","0","2"
"17","0","90006","0","0","91002","20","0","8","31022","0","1","4000","8","4000","8","2","0","1002","0","2"
"18","0","90006","0","0","91002","25","0","9","31022","0","1","4500","8","4500","9","2","0","1002","0","2"
