8ebc16da64423ad5c362c8ffcea958d333ec070049ea2543558893a68487b432,c1e8517347e98f2fb7e37e9d16e11f2dae9de1fdc7523e27688fac4906651f55,164b679c75049d5f0f50568c6b7409029ade96f92ff47a3d74f52db1dd4e9997,5607b44254738d9cc39c0c32bfbfb00531f5732bbf3a363fee6d1dedecd41b6d,5757dcbe521a28345b1ebc6aa8526e8ebd64576b3dcca159972cd185850eee5f,83814fae9f80d8c8eeb2f5b377418795d80ddfceae78cbe48d378e4638d1222a,e390ea7eac933c4cff77c7f15e25f0e804fd48b5012015e995fe0e68f8cae9d4
"3","1","105","105","1","105","2"
"3","2","105","120","1","120","2"
"3","3","100","100","1","120","2"
"3","4","105","120","1","120","2"
"3","5","105","105","1","120","2"
"3","6","100","100","1","105","2"
"3","7","120","100","1","105","2"
"3","8","100","100","1","105","2"
"3","9","105","120","1","120","2"
"3","10","120","100","1","105","2"
"3","11","100","105","1","100","2"
"3","12","105","120","1","120","2"
"3","13","105","105","1","105","2"
"3","14","105","120","1","105","2"
"3","15","120","120","1","120","2"
"3","16","100","100","1","100","2"
"3","17","120","105","1","120","2"
"3","18","120","120","1","105","2"
"3","19","105","105","1","100","2"
"3","20","100","105","1","105","2"
"3","21","100","105","1","100","2"
"3","22","120","120","1","120","2"
"3","23","105","100","1","100","2"
"3","24","120","120","1","120","2"
"3","25","105","105","1","120","2"
"3","26","100","100","1","100","2"
"3","27","100","100","1","100","2"
"3","28","100","100","1","100","2"
"3","29","120","120","1","120","2"
"3","30","105","120","1","105","2"
