837d7cbe7b4418028ac966a342913f001e7e0fc6d608494cdae2eb58bea31c54,12b1b8c0bda20bfc4f59fdbe555bd0fe13f4a5f3e59e3838f13da8be294289cc,33d28352047e8a0476e31faa6eb780ed61df4238a9177dd2886ef9a8d80d7c21,33c6dd9d6d62d593c13bf828722764d4a17364486f231caae3d517cfae51fdec,6987040f9b48e6b811b190f5a5558d555d493f26687ad71d3129ffd60bb7601a
"1","12","100101","94002","3000000"
"2","2","100101","20004","300"
"3","2","100102","90008","1000"
"4","2","100103","25001","6"
"5","12","100104","94002","1000000"
"6","2","100104","20004","300"
"7","2","100105","90008","1000"
"8","2","100106","25001","6"
"9","8","100107","91002","40"
"10","12","100107","94002","1000000"
"11","2","100107","20004","300"
"12","2","100108","90008","1000"
"13","2","100109","41000","1"
"14","2","100109","25001","7"
"15","12","100110","94002","1000000"
"16","2","100110","20004","400"
"17","2","100111","90008","1500"
"18","8","100112","91002","40"
"19","2","100112","25001","7"
"20","12","100113","94002","1000000"
"21","2","100113","20004","400"
"22","2","100114","90008","1500"
"23","2","100115","41000","1"
"24","2","100115","25001","7"
"25","12","100116","94002","1000000"
"26","2","100116","20004","500"
"27","8","100117","91002","40"
"28","2","100117","90008","1500"
"29","12","100118","94002","2000000"
"30","2","100118","25001","8"
"31","2","100118","90008","2000"
"32","12","100201","94002","3000000"
"33","2","100201","20004","300"
"34","2","100202","90008","1000"
"35","2","100203","25001","12"
"36","12","100204","94002","1000000"
"37","2","100204","20004","300"
"38","2","100205","90008","1000"
"39","2","100206","25001","10"
"40","8","100207","91002","40"
"41","12","100207","94002","1000000"
"42","2","100207","20004","300"
"43","2","100208","90008","1000"
"44","2","100209","41000","1"
"45","2","100209","25001","10"
"46","12","100210","94002","1000000"
"47","2","100210","20004","400"
"48","2","100211","90008","1500"
"49","8","100212","91002","40"
"50","2","100212","25001","9"
"51","12","100213","94002","1000000"
"52","2","100213","20004","400"
"53","2","100214","90008","1500"
"54","2","100215","41000","1"
"55","12","100216","94002","1000000"
"56","2","100216","20004","500"
"57","8","100217","91002","40"
"58","2","100217","90008","1500"
"59","12","100218","94002","2000000"
"60","2","100218","90008","2000"
"61","12","100301","94002","3000000"
"62","2","100301","20004","300"
"63","2","100302","90008","1000"
"64","2","100303","25001","12"
"65","12","100304","94002","1000000"
"66","2","100304","20004","300"
"67","2","100305","90008","1000"
"68","2","100306","25001","10"
"69","8","100307","91002","40"
"70","12","100307","94002","1000000"
"71","2","100307","20004","300"
"72","2","100308","90008","1000"
"73","2","100309","41000","1"
"74","2","100309","25001","10"
"75","12","100310","94002","1000000"
"76","2","100310","20004","400"
"77","2","100311","90008","1500"
"78","8","100312","91002","40"
"79","2","100312","25001","9"
"80","12","100313","94002","1000000"
"81","2","100313","20004","400"
"82","2","100314","90008","1500"
"83","2","100315","41000","1"
"84","12","100316","94002","1000000"
"85","2","100316","20004","500"
"86","8","100317","91002","40"
"87","2","100317","90008","1500"
"88","12","100318","94002","2000000"
"89","2","100318","90008","2000"
"90","12","100401","94002","3000000"
"91","2","100401","20004","300"
"92","2","100402","90008","1000"
"93","2","100403","25001","12"
"94","12","100404","94002","1000000"
"95","2","100404","20004","300"
"96","2","100405","90008","1000"
"97","2","100406","25001","10"
"98","8","100407","91002","40"
"99","12","100407","94002","1000000"
"100","2","100407","20004","300"
"101","2","100408","90008","1000"
"102","2","100409","41000","1"
"103","2","100409","25001","10"
"104","12","100410","94002","1000000"
"105","2","100410","20004","400"
"106","2","100411","90008","1500"
"107","8","100412","91002","40"
"108","2","100412","25001","9"
"109","12","100413","94002","1000000"
"110","2","100413","20004","400"
"111","2","100414","90008","1500"
"112","2","100415","41000","1"
"113","12","100416","94002","1000000"
"114","2","100416","20004","500"
"115","8","100417","91002","40"
"116","2","100417","90008","1500"
"117","12","100418","94002","2000000"
"118","2","100418","90008","2000"
"119","12","100501","94002","3000000"
"120","2","100501","20004","300"
"121","2","100502","90008","1000"
"122","2","100503","25001","12"
"123","12","100504","94002","1000000"
"124","2","100504","20004","300"
"125","2","100505","90008","1000"
"126","2","100506","25001","10"
"127","8","100507","91002","40"
"128","12","100507","94002","1000000"
"129","2","100507","20004","300"
"130","2","100508","90008","1000"
"131","2","100509","41000","1"
"132","2","100509","25001","10"
"133","12","100510","94002","1000000"
"134","2","100510","20004","400"
"135","2","100511","90008","1500"
"136","8","100512","91002","40"
"137","2","100512","25001","9"
"138","12","100513","94002","1000000"
"139","2","100513","20004","400"
"140","2","100514","90008","1500"
"141","2","100515","41000","1"
"142","12","100516","94002","1000000"
"143","2","100516","20004","500"
"144","8","100517","91002","40"
"145","2","100517","90008","1500"
"146","12","100518","94002","2000000"
"147","2","100518","90008","2000"
"148","12","100601","94002","3000000"
"149","2","100601","20004","300"
"150","2","100602","90008","1000"
"151","2","100603","25001","12"
"152","12","100604","94002","1000000"
"153","2","100604","20004","300"
"154","2","100605","90008","1000"
"155","2","100606","25001","10"
"156","8","100607","91002","40"
"157","12","100607","94002","1000000"
"158","2","100607","20004","300"
"159","2","100608","90008","1000"
"160","2","100609","41000","1"
"161","2","100609","25001","10"
"162","12","100610","94002","1000000"
"163","2","100610","20004","400"
"164","2","100611","90008","1500"
"165","8","100612","91002","40"
"166","2","100612","25001","9"
"167","12","100613","94002","1000000"
"168","2","100613","20004","400"
"169","2","100614","90008","1500"
"170","2","100615","41000","1"
"171","12","100616","94002","1000000"
"172","2","100616","20004","500"
"173","8","100617","91002","40"
"174","2","100617","90008","1500"
"175","12","100618","94002","2000000"
"176","2","100618","90008","2000"
