ef1b4f8e84439429ee75c26685800ded799e8d0e237d96b1cfaeed0f1c0d7ee3,0a013735da559702ecdf966c7351b69230ba912a0b0700332460a55dae1a420f,db7a199bf59232d3d5510e3e056f6821f10678345a00f1f0569385d5e56bdb5b,43fa157b65e447b69ba4d62582211bbf9b5144778acf4ffcc0412d64e6a97845,02f72fc027eb576ea46473442d1e92461235996817bcb08c0bdbb3b10205c4a0,612149d0ab3acc8a5ba747f9b284802b6e16923dac451de64a8c73391bdaef5f,fa415beaae0cf9cf32dd9d2423c875eb0e12b8281975eeb4f65b786599e3e0f1,8e12d00b330af90f3f3665b5d84a3a4ca7ff336c7f4abdf6e65cc671caec0b86,4ad8cdb6ee62dda4d171e7341b896196fad27eea5f54f0ba9cb459d8b8a75d6b,9b863a576c672f51712c05fae5ada64574e32e585bed7249be6b2aa24b9d7ecc,535310a9e846c9d3a0125292ff6c43640ce604dfe11d3daa360067db4b697148
"0","8","1","10101","1","1","110","オムレツ","250","0","1010100"
"0","9","1","10101","1","1","110","オムレツ","222","0","1010101"
"0","10","1","10101","1","1","110","オムレツ","200","0","1010102"
"0","9","2","10102","1","1","110","オムレツ","400","0","1010200"
"0","10","2","10102","1","1","110","オムレツ","367","0","1010201"
"0","11","2","10102","1","1","110","オムレツ","338","0","1010202"
"0","10","3","10103","1","1","110","オムレツ","640","0","1010300"
"0","11","3","10103","1","1","110","オムレツ","597","0","1010301"
"0","12","3","10103","1","1","110","オムレツ","560","0","1010302"
"0","9","1","10201","2","1","115","ギョーザ","275","0","1020100"
"0","10","1","10201","2","1","115","ギョーザ","248","0","1020101"
"0","11","1","10201","2","1","115","ギョーザ","225","0","1020102"
"0","10","2","10202","2","1","115","ギョーザ","440","0","1020200"
"0","11","2","10202","2","1","115","ギョーザ","406","0","1020201"
"0","12","2","10202","2","1","115","ギョーザ","377","0","1020202"
"0","11","3","10203","2","1","115","ギョーザ","704","0","1020300"
"0","12","3","10203","2","1","115","ギョーザ","660","0","1020301"
"0","13","3","10203","2","1","115","ギョーザ","621","0","1020302"
"0","8","1","10301","3","1","100","タコヤキ","200","0","1030100"
"0","9","1","10301","3","1","100","タコヤキ","175","0","1030101"
"0","10","1","10301","3","1","100","タコヤキ","156","0","1030102"
"0","9","2","10302","3","1","100","タコヤキ","320","0","1030200"
"0","10","2","10302","3","1","100","タコヤキ","291","0","1030201"
"0","11","2","10302","3","1","100","タコヤキ","267","0","1030202"
"0","10","3","10303","3","1","100","タコヤキ","512","0","1030300"
"0","11","3","10303","3","1","100","タコヤキ","475","0","1030301"
