c0effbccfee20244d9c0de92ff102837b0d88f2b71b2c906827024c6fe1520f8,73df246d5c6222210c7a4a8c9e3c5b2055279b0cb3215d96bc8630da6c1d37d4,44989979ed8b9fdc6d2978c49588a3d0e065a7d13dd9da86348f405b948934de,e3bbf097319903c1e7b5aca73bac1c5da2f6ac38debbf076702c28cf6d2ef768,34c7e344314ab582444b51df1155fbbe53c0562d5815e6771abecbdc959bec10,aaa6524c6007524d7deb0150a1c6787e274a98097d55517fd0be28d367ac2560,5243ae9de30bc6177fbdf4c99cadc52cad702300c16e06cd50e00f5f50a37ac8,5c11de100277007c0558e4e94e82722cb22d839b6ea6ef11822c72a2f1f64038,1aba77e7ff285e21d9a9eaa57ee5c9c8565da02edb2f4fc23a4979ea7f19237f,75ddb27e0e50dac8440dee3dd7d35b3cc7c5f5e1dada16bae37a46e1e4e3044e,35b5071074af52cb050fb5a5dfa29c84f92aaa837bd8e97739d019be8a3ce3ca,ab602b8640491e6d5b280bee30171915dbddec15b08d22c3b81afc0804d51ec4
"20000","ランダムEXPポーションBOX","2015/12/17 15:00:00","0","0","0","2","ランダムなEXPポーションが獲得できる。","1","0","6","2030/08/01 14:59:59"
"20001","ミニEXPポーション","2015/12/17 15:00:00","0","0","80","1","キャラのLv強化に使用すると、キャラEXPが60加算される。","999999","60","1","2030/08/01 14:59:59"
"20002","EXPポーション","2015/12/17 15:00:00","0","0","400","2","キャラのLv強化に使用すると、キャラEXPが300加算される。","999999","300","1","2030/08/01 14:59:59"
"20003","EXPハイポーション","2015/12/17 15:00:00","0","0","2000","3","キャラのLv強化に使用すると、キャラEXPが1500加算される。","999999","1500","1","2030/08/01 14:59:59"
"20004","EXPメガポーション","2015/12/17 15:00:00","0","0","10000","4","キャラのLv強化に使用すると、キャラEXPが7500加算される。","999999","7500","1","2030/08/01 14:59:59"
"20005","EXPギガポーション","2015/12/17 15:00:00","0","0","50000","5","キャラのLv強化に使用すると、キャラEXPが37500加算される。","999999","37500","1","2030/08/01 14:59:59"
"21001","ユカリ（クリスマス）専用スフィア / Lv180","2020/11/30 12:00:00","0","0","0","1","ユカリ（クリスマス）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","999","1","21","2030/08/01 14:59:59"
"21002","ムイミ（ニューイヤー）専用スフィア / Lv180","2020/12/31 12:00:00","0","0","0","1","ムイミ（ニューイヤー）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","999","2","21","2030/08/01 14:59:59"
"21003","ユイ（儀装束）専用スフィア / Lv180","2021/01/31 12:00:00","0","0","0","1","ユイ（儀装束）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","999","3","21","2030/08/01 14:59:59"
"21004","リマ（シンデレラ）専用スフィア / Lv180","2021/02/28 12:00:00","0","0","0","1","リマ（シンデレラ）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","999","5","21","2030/08/01 14:59:59"
"21005","タマキ（作業服）専用スフィア / Lv180","2021/05/31 12:00:00","0","0","0","1","タマキ（作業服）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","999","6","21","2030/08/01 14:59:59"
"21006","ツムギ（サマー）専用スフィア / Lv180","2021/07/31 12:00:00","0","0","0","1","ツムギ（サマー）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","999","7","21","2030/08/01 14:59:59"
"21007","ニノン（ハロウィン）専用スフィア / Lv180","2021/09/30 12:00:00","0","0","0","1","ニノン（ハロウィン）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","999","8","21","2030/08/01 14:59:59"
"21008","マヒル（クリスマス）専用スフィア / Lv215","2021/11/30 12:00:00","0","0","0","1","マヒル（クリスマス）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","999","9","21","2030/08/01 14:59:59"
"21009","ルカ（ニューイヤー）専用スフィア / Lv215","2021/12/31 12:00:00","0","0","0","1","ルカ（ニューイヤー）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","999","10","21","2030/08/01 14:59:59"
"21010","ラビリスタ（オーバーロード）専用スフィア / Lv215","2022/02/07 12:00:00","0","0","0","1","ラビリスタ（オーバーロード）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","999","12","21","2030/08/01 14:59:59"
"21011","アオイ（キャンプ）専用スフィア / Lv215","2022/05/31 12:00:00","0","0","0","1","アオイ（キャンプ）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","999","13","21","2030/08/01 14:59:59"
"21012","ヒヨリ（サマー）専用スフィア / Lv215","2022/06/30 12:00:00","0","0","0","1","ヒヨリ（サマー）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","999","14","21","2030/08/01 14:59:59"
"21013","ミソギ（サマー）専用スフィア / Lv215","2022/07/31 12:00:00","0","0","0","1","ミソギ（サマー）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","999","15","21","2030/08/01 14:59:59"
"21014","リン（ハロウィン）専用スフィア / Lv215","2022/09/30 12:00:00","0","0","0","1","リン（ハロウィン）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","999","16","21","2030/08/01 14:59:59"
"21015","ヨリ（クリスマス）専用スフィア / Lv250","2022/11/30 12:00:00","0","0","0","1","ヨリ（クリスマス）専用のグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。","999","17","21","2030/08/01 14:59:59"
"21016","ミツキ（ニューイヤー）専用スフィア / Lv250","2022/12/31 12:00:00","0","0","0","1","ミツキ（ニューイヤー）専用のグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。","999","20","21","2030/08/01 14:59:59"
"21017","カヤ（リベレイター）専用スフィア / Lv250","2023/01/31 12:00:00","0","0","0","1","カヤ（リベレイター）専用のグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。","999","21","21","2030/08/01 14:59:59"
"21018","カリン（アルケミスト）専用スフィア / Lv250","2023/04/30 12:00:00","0","0","0","1","カリン（アルケミスト）専用のグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。","999","22","21","2030/08/01 14:59:59"
"21019","アキノ（サマー）専用スフィア / Lv250","2023/06/30 12:00:00","0","0","0","1","アキノ（サマー）専用のグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。","999","24","21","2030/08/01 14:59:59"
"21020","クウカ（サマー）専用スフィア / Lv250","2023/07/31 12:00:00","0","0","0","1","クウカ（サマー）専用のグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。","999","25","21","2030/08/01 14:59:59"
"21021","イノリ（ニューイヤー）専用スフィア / Lv280","2023/12/31 12:00:00","0","0","0","1","イノリ（ニューイヤー）専用のグロウスフィア。キャラのステータスをLv280/RANK29まで強化できる。","999","27","21","2030/08/01 14:59:59"
"21022","レイ（アストラル）専用スフィア / Lv280","2024/01/31 12:00:00","0","0","0","1","レイ（アストラル）専用のグロウスフィア。キャラのステータスをLv280/RANK29まで強化できる。","999","28","21","2030/08/01 14:59:59"
"21900","グロウスフィア / Lv180","2021/02/21 12:00:00","0","0","0","1","すべてのキャラに使用できるグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","999","4","21","2030/08/01 14:59:59"
"21901","グロウスフィア / Lv215","2022/01/31 12:00:00","0","0","0","1","すべてのキャラに使用できるグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","999","11","21","2030/08/01 14:59:59"
"21902","グロウスフィア / Lv250","2022/11/30 12:00:00","0","0","0","1","すべてのキャラに使用できるグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。","999","18","21","2030/08/01 14:59:59"
"21903","グロウスフィア / Lv100","2022/12/15 12:00:00","0","0","0","1","すべてのキャラに使用できるグロウスフィア。キャラのステータスをLv100/RANK12まで強化できる。","999","19","21","2030/08/01 14:59:59"
"21904","グロウスフィア / Lv260","2023/04/30 12:00:00","0","0","0","1","すべてのキャラに使用できるグロウスフィア。キャラのステータスをLv260/RANK28まで強化できる。","999","23","21","2030/08/01 14:59:59"
"21905","グロウスフィア / Lv280","2023/10/30 12:00:00","0","0","0","1","すべてのキャラに使用できるグロウスフィア。キャラのステータスをLv280/RANK29まで強化できる。","999","26","21","2030/08/01 14:59:59"
"21951","専用装備１グロウスフィア / Lv240","2022/06/15 15:00:00","0","0","0","1","すべてのキャラに使用できる専用装備１のグロウスフィア。専用装備１を作成し、Lv240まで強化できる。","999","10001","23","2030/08/01 14:59:59"
"21952","専用装備１グロウスフィア / Lv270","2023/05/15 15:00:00","0","0","0","1","すべてのキャラに使用できる専用装備１のグロウスフィア。専用装備１を作成し、Lv270まで強化できる。","999","10002","23","2030/08/01 14:59:59"
"21953","専用装備１グロウスフィア / Lv290","2024/02/15","0","0","0","1","すべてのキャラに使用できる専用装備１のグロウスフィア。専用装備１を作成し、Lv290まで強化できる。","999","10003","23","2030/08/01 14:59:59"
"22001","精錬石","2015/12/17 15:00:00","0","0","120","1","キャラの装備強化に使用すると、装備強化Ptが10加算される。","999999","10","3","2030/08/01 14:59:59"
"22002","上精錬石","2015/12/17 15:00:00","0","0","720","2","キャラの装備強化に使用すると、装備強化Ptが60加算される。","999999","60","3","2030/08/01 14:59:59"
"22003","精錬結晶","2015/12/17 15:00:00","0","0","2400","3","キャラの装備強化に使用すると、装備強化Ptが200加算される。","999999","200","3","2030/08/01 14:59:59"
"23001","スキップチケット","2015/12/17 15:00:00","0","0","0","1","クリアランク★3を獲得したクエストの、プレイ時間をスキップするチケット。","999999","0","5","2030/08/01 14:59:59"
"23002","ファストチケット","2015/12/17 15:00:00","0","0","0","1","アドベンチャーのクエストにかかる時間を短縮することができるチケット。","999999","0","5","2030/08/01 14:59:59"
"24001","プラチナガチャチケット","2015/12/17 15:00:00","0","0","0","1","プラチナガチャやピックアップガチャを1回引くことができるガチャチケット。","999","0","8","2030/08/01 14:59:59"
"24003","共闘チケット","2015/12/17 15:00:00","0","0","0","1","共闘時に使用すると、クリア時の報酬が豪華になるチケット。","999","0","10","2030/08/01 14:59:59"
"24004","10回ガチャチケット","2015/12/17 15:00:00","0","0","0","1","ガチャを10回引くことができるガチャチケット。","999","0","8","2030/08/01 14:59:59"
"24005","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 1）","2020/08/04 12:00:00","0","0","0","1","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","999","0","17","2030/08/01 14:59:59"
"24006","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 2）","2020/09/03 19:00:00","0","0","0","1","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","999","0","17","2030/08/01 14:59:59"
"24007","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 3）","2020/10/01 17:00:00","0","0","0","1","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","999","0","17","2030/08/01 14:59:59"
"24008","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 4）","2020/11/05 12:00:00","0","0","0","1","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","999","0","17","2030/08/01 14:59:59"
"24009","★3確定 プリコネフェス記念ガチャチケット","2021/02/21 12:00:00","0","0","0","1","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","999","0","17","2030/08/01 14:59:59"
"24010","★3確定 プリコネフェス2022記念ガチャチケット","2022/02/14 12:00:00","0","0","0","1","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","999","0","17","2030/08/01 14:59:59"
"24011","★3確定アニメガチャチケット プリンセスコネクト！Re:Dive Season2 1","2022/03/21","0","0","0","1","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","999","0","17","2030/08/01 14:59:59"
"24012","★3確定アニメガチャチケット プリンセスコネクト！Re:Dive Season2 2","2022/04/18","0","0","0","1","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","999","0","17","2030/08/01 14:59:59"
"24013","★3確定アニメガチャチケット プリンセスコネクト！Re:Dive Season2 3","2022/05/16","0","0","0","1","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","999","0","17","2030/08/01 14:59:59"
"24014","★3確定 プリコネフェス2023記念ガチャチケット","2022/01/15 15:00:00","0","0","0","1","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","999","0","17","2030/08/01 14:59:59"
"24015","★3確定 5周年記念ガチャチケット","2023/02/14 15:00:00","0","0","0","1","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","999","0","17","2030/08/01 14:59:59"
"24016","★3確定 Sダッシュガチャチケット","2023/02/14 15:00:00","0","0","0","1","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","999","0","17","2030/08/01 14:59:59"
"24017","★3確定 プリコネフェス2024記念ガチャチケット","2024/02/09 12:00:00","0","0","0","1","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","999","0","17","2030/08/01 14:59:59"
"25001","プリンセスオーブ","2015/12/17 15:00:00","0","0","0","1","キャラの大いなる力を呼び醒ますアイテム。","99999","0","20","2030/08/01 14:59:59"
"25011","アストラルスフィア（火）","2015/12/17 15:00:00","0","0","0","1","世界を構成している属性の力であるアストラルのうち火の属性が結晶化した宝玉。使用することで対応する属性を活性化させることができる。","999999999","0","29","2030/08/01 14:59:59"
"25012","アストラルスフィア（水）","2015/12/17 15:00:00","0","0","0","1","世界を構成している属性の力であるアストラルのうち水の属性が結晶化した宝玉。使用することで対応する属性を活性化させることができる。","999999999","0","29","2030/08/01 14:59:59"
"25013","アストラルスフィア（風）","2015/12/17 15:00:00","0","0","0","1","世界を構成している属性の力であるアストラルのうち風の属性が結晶化した宝玉。使用することで対応する属性を活性化させることができる。","999999999","0","29","2030/08/01 14:59:59"
"25014","アストラルスフィア（光）","2015/12/17 15:00:00","0","0","0","1","世界を構成している属性の力であるアストラルのうち光の属性が結晶化した宝玉。使用することで対応する属性を活性化させることができる。","999999999","0","29","2030/08/01 14:59:59"
"25015","アストラルスフィア（闇）","2015/12/17 15:00:00","0","0","0","1","世界を構成している属性の力であるアストラルのうち闇の属性が結晶化した宝玉。使用することで対応する属性を活性化させることができる。","999999999","0","29","2030/08/01 14:59:59"
"25021","アストラルシャード","2015/12/17 15:00:00","0","0","0","1","世界を構成している属性の力であるアストラルの結晶。内に秘めた属性が未分化の不安定な状態ゆえに励起されると莫大な属性の力を放つ。","999999999","0","29","2030/08/01 14:59:59"
"25101","マスターピース","2015/12/17 15:00:00","0","0","0","1","アストラルの顕在化により発生した宝珠。未確認物質でできており使用するとなぜかプリンセスナイトの　権能を強化拡張することができる。","9999","0","29","2030/08/01 14:59:59"
"25102","マスターピース（欠片）","2015/12/17 15:00:00","0","0","0","1","アストラルの顕在化により発生したマスターピースの欠片。互いに引きあう性質を持ち複数を集めることで合体し、マスターピースとなる。","99999","0","29","2030/08/01 14:59:59"
"26101","ルナコイン","2015/12/17 15:00:00","0","0","0","1","ルナの塔に挑戦した者のみが獲得できる、アストルム内のショップでは流通していない珍しいコイン。","999","0","9","2030/08/01 14:59:59"
"26201","EX装備強化Pt","2015/12/17 15:00:00","0","0","0","1","EX装備の強化に使用すると、強化Ptが1加算される。","999999999","0","25","2030/08/01 14:59:59"
"26202","EX装備錬成Pt","2015/12/17 15:00:00","0","0","0","1","EX装備の錬成に使用することができる。","999999999","0","25","2030/08/01 14:59:59"
"26203","錬成スフィア","2015/12/17 15:00:00","0","0","0","1","アルケス錬金堂の最高の秘術である究極錬成において使用される宝玉。装備の効果自体を物質化したもので特殊な武具に付与することが可能。","999999999","0","33","2030/08/01 14:59:59"
"27001","スペシャル交換チケット","2015/12/17 15:00:00","0","0","0","1","特定のキャラを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"27002","スペシャル交換チケット","2015/12/17 15:00:00","0","0","0","1","特定のキャラを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"27003","スペシャル交換チケット","2015/12/17 15:00:00","0","0","0","1","特定のキャラを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"27004","スペシャル交換チケット","2015/12/17 15:00:00","0","0","0","1","特定のキャラを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"27005","4th Anniv. スペシャル交換チケット","2022/02/15 15:00:00","0","0","0","1","特定のキャラを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
