b308bdee4614ce6209eb3a55eab73bb0437a1de8253642c7d41678d2a4d8a681,45b722ba899d1c21a2bb930d1a82bbf06f34318421e8de6bfe412a0bc47a1673,d3cce2cab565400f043fdfada77ae1f176c18a06d6c9cde69d4a5722a1c03ead,9a7c99bca42a80bafe461be38ef2e66fdee3c4352c50ecf285c5c75cae74a9d6,36f76a17f6c5183d27f2dab048bd9698dc3e6eac29096164f512dbba852910eb,e44eaa03c0df689cff504e914bb0255f057fac5df8f3c7b49bcf3235c8eec68a,b812a026aa3673bd185dd7a9c7ba7557c4989c30044cf21dd00edf991cb65a3e,768ee05c8be9965f8f257f131379e67a7e9f73e9c38de201c3bff1e680b2427e,68c22d4922b59bd7ba1f50ce5ee03a0d8ff8f6fae758bffb7c60d5c838836073
"0","1","1","3","1","唯一無二の","1","1","2"
"0","1","2","3","1","完全無欠の","1","1","2"
"1","1","3","3","1","ランドソル最速の","1","1","2"
"0","1","4","3","1","明鏡止水の","1","1","2"
"0","1","5","3","1","史上最速の","1","1","2"
"0","1","6","3","1","最強最速の","1","1","2"
"2","1","7","3","1","アルティメット","1","1","2"
"0","1","8","3","1","百点満点","1","1","2"
"0","1","9","3","1","最優秀","1","1","2"
"0","1","10","3","1","一騎当千の","1","1","2"
"0","1","11","3","1","唯一無二の","1","1","2"
"0","1","12","3","1","天下無双の","1","1","2"
"0","0","13","3","1","泰然自若の","1","1","2"
"0","0","14","3","1","ハイパー","1","1","2"
"0","0","15","3","1","光速の","1","1","2"
"0","0","16","3","1","稀代の","1","1","2"
"0","0","17","3","1","極限の","1","1","2"
"0","0","18","3","1","至高の","1","1","2"
"0","0","19","3","1","煌めく","1","1","2"
"0","0","20","3","1","百戦錬磨の","1","1","2"
"0","0","21","3","1","疾風迅雷の","1","1","2"
"0","0","22","3","1","電光石火の","1","1","2"
"0","1","23","3","1","変幻自在の","0","1","2"
"0","1","24","3","1","空前絶後の","0","1","2"
"0","1","25","3","1","レペゼン","0","1","2"
"0","1","26","3","1","音速の","0","1","2"
"0","1","27","3","1","常識外れの","0","1","2"
"0","1","28","3","1","獅子奮迅の","0","1","2"
"2","1","29","3","1","勇猛果敢なる","0","1","2"
"2","1","30","3","1","威風堂々たる","0","1","2"
"0","1","31","3","1","急がば回れ","0","1","2"
"0","1","32","3","1","心頭滅却","0","1","2"
"0","0","33","3","1","夢見る","0","1","2"
"0","0","34","3","1","ナイス","0","1","2"
"0","0","35","3","1","そこそこの","0","1","2"
"2","0","36","3","1","若葉マークの","0","1","2"
"0","0","37","3","1","未来ある","0","1","2"
"0","0","38","3","1","新米","0","1","2"
"0","0","39","3","1","駆け出しの","0","1","2"
"0","0","40","3","1","ぼちぼちの","0","1","2"
"0","0","41","3","1","新進気鋭の","0","1","2"
"0","0","42","3","1","不撓不屈の","0","1","2"
"0","0","43","3","1","七転八起の","0","1","2"
"0","0","44","3","1","がんばれ","0","1","2"
"0","1","45","3","1","選ばれし","1","2","2"
"2","1","46","3","1","アルティメット","1","2","2"
"1","1","47","3","1","オーシャンブルー","1","2","2"
"2","1","48","3","1","海に愛された","1","2","2"
"2","1","49","3","1","大海を統べる","1","2","2"
"0","1","50","3","1","伝説の","1","2","2"
"2","1","51","3","1","世界を揺るがす","1","2","2"
"1","1","52","3","1","スーパーワイルド","1","2","2"
"0","1","53","3","1","神がかった","1","2","2"
"2","1","54","3","1","ぶっちぎりの","1","2","2"
"1","0","55","3","1","誰にも止められない","1","2","2"
"2","0","56","3","1","血湧き肉躍る","1","2","2"
"0","0","57","3","1","メガ","1","2","2"
"1","0","58","3","1","ナチュラルボーン","1","2","2"
"0","0","59","3","1","大海原の","1","2","2"
"1","0","60","3","1","アドレナリン全開の","1","2","2"
"0","0","61","3","1","オーマ産の","1","2","2"
"0","0","62","3","1","手練れの","1","2","2"
"0","0","63","3","1","歴戦の","1","2","2"
"0","0","64","3","1","水を得た","1","2","2"
"0","0","65","3","1","ド級の","1","2","2"
"2","1","66","3","1","ただ者ではない","0","2","2"
"0","1","67","3","1","勇猛なる","0","2","2"
"0","1","68","3","1","ひた走る","0","2","2"
"2","1","69","3","1","目にも留まらぬ","0","2","2"
"0","1","70","3","1","荒波の","0","2","2"
"0","1","71","3","1","レイジオブ","0","2","2"
"2","1","72","3","1","負けず嫌いの","0","2","2"
"0","1","73","3","1","伸び盛りの","0","2","2"
"0","1","74","3","1","型破りの","0","2","2"
"0","1","75","3","1","暴れる","0","2","2"
"0","1","76","3","1","荒れくるう","0","2","2"
"0","0","77","3","1","うわさの","0","2","2"
"2","0","78","3","1","ビーチサイドの","0","2","2"
"2","0","79","3","1","元気はつらつ","0","2","2"
"2","0","80","3","1","常夏を駆ける","0","2","2"
"0","0","81","3","1","マッスル","0","2","2"
"0","0","82","3","1","金波銀波の","0","2","2"
"2","0","83","3","1","生まれながらの","0","2","2"
"0","0","84","3","1","お騒がせの","0","2","2"
"0","0","85","3","1","未知数の","0","2","2"
"0","0","86","3","1","激ヤバ","0","2","2"
"0","0","87","3","1","負けるな","0","2","2"
"2","1","88","3","1","ライトスピード","1","3","2"
"1","1","89","3","1","プロフェッショナル","1","3","2"
"0","1","90","3","1","トップオブ","1","3","2"
"2","1","91","3","1","ゴールドメダル","1","3","2"
"2","1","92","3","1","アルティメット","1","3","2"
"0","1","93","3","1","ザ・ベスト","1","3","2"
"2","1","94","3","1","パーフェクト","1","3","2"
"1","1","95","3","1","100年に1人の","1","3","2"
"2","1","96","3","1","レジェンダリー","1","3","2"
"0","1","97","3","1","超一流の","1","3","2"
"0","1","98","3","1","世界の","1","3","2"
"0","1","99","3","1","選ばれし","1","3","2"
"2","0","100","3","1","アスレチック","1","3","2"
"0","0","101","3","1","偉大なる","1","3","2"
"1","0","102","3","1","スーパーソニック","1","3","2"
"0","0","103","3","1","ウルトラ","1","3","2"
"0","0","104","3","1","MVPの","1","3","2"
"0","0","105","3","1","ジェネラル","1","3","2"
"2","0","106","3","1","オールラウンド","1","3","2"
"2","0","107","3","1","シルバーメダル","1","3","2"
"0","0","108","3","1","聖なる","1","3","2"
"2","0","109","3","1","エクセレント","1","3","2"
"0","0","110","3","1","一流の","1","3","2"
"0","0","111","3","1","マーベラス","1","3","2"
"0","1","112","3","1","スーパー","0","3","2"
"0","1","113","3","1","フライング","0","3","2"
"0","1","114","3","1","グレート","0","3","2"
"1","1","115","3","1","アンストッパブル","0","3","2"
"0","1","116","3","1","カリスマ","0","3","2"
"0","1","117","3","1","万能","0","3","2"
"0","1","118","3","1","新世代の","0","3","2"
"0","1","119","3","1","栄えある","0","3","2"
"0","1","120","3","1","異彩を放つ","0","3","2"
"0","1","121","3","1","いぶし銀の","0","3","2"
"0","1","122","3","1","天下の","0","3","2"
"0","0","123","3","1","レッツゴー","0","3","2"
"0","0","124","3","1","グッド","0","3","2"
"1","0","125","3","1","ホップ・ステップ・","0","3","2"
"2","0","126","3","1","伸びしろのある","0","3","2"
"2","0","127","3","1","ブロンズメダル","0","3","2"
"0","0","128","3","1","期待の","0","3","2"
"2","0","129","3","1","ジャンピング","0","3","2"
"0","0","130","3","1","新時代の","0","3","2"
"2","0","131","3","1","知る人ぞ知る","0","3","2"
