d647d971c1427f0d716e9a8ce53ba860f950fcbc1afc6ad9be650ee136dcd35a,936a284679cf8a24587e5a202b76471ae0674df7baa8157707fd0df3e5a9384a,8717bbcb41fe8058bf366587e2eee0adae7ad495cca6419881dace33789986b5,952b89eec780e69dd505e7795674395e4be1d143f32c8be9f56a629fbe4723ac,7b3547acf7311e3e2a3cc22b945390c87519a2eea1a4fc272b37e78de8e55ddb,3114e4c8e8c7a69940c6b800af16e07cc7c0f325f6333a473b7e45ef946683d9
"10036","5035004","5035005","0","0","0"
"10059","5058004","5058005","0","0","0"
"10063","0","0","10062","10062115","1006201"
"10085","0","0","10084","10084115","1008401"
"10087","0","0","10086","10086115","1008601"
"10111","0","0","10110","10110115","1011001"
"10113","0","0","10112","10112115","1011201"
"10137","0","0","10136","10136110","1013601"
"10139","0","0","10138","10138115","1013801"
"20034","0","0","20033","20033115","2003301"
"20047","0","0","20046","20046115","2004601"
