838354569403ae566780e00b942d50450aeb018a59efc984958af29545c09cc1,9f9236efe79b7f396d8533f843cfa96e8e6390ba7f7e37d2cf385c03cd98189e,f97bc9a54400d5b59ca94fbcb5c3196773c07a3cd0f44a780dc44c0b1bc0c9f8,ce3bea9d57d367cf417a2f840faa060e31cce45db284b2b1552564055417dc7f,523b50ef0b6a631dfe43f6e88e8fd5972e27bd99eb2dda9a233e5ecb7c0ab586,c6779431c86d0ff6154068e21c1b9e4cbeabe84cc49abfdba6ed9b7b87c3fb75,94fe738113808bda9d9c8a05a41734a878a36197261b1641bb60deb6c37d7619,4e8a0c561c9b0aecac32e26ddf68291c3564f2c678b1d6a7aa061e09e69be86e,508ae52545af7fa02831a3f42b543a229a7efed3519f9d802562717a28136cd3,3138960768b4803a2c7b87a1fd9b5cb3d73351ef6bea8f00995749c1762408ef,058ab216dd6e76b13d319efb34ef7cda7563818708921b602150945da63c76b8,9045cab7cee2ce4d5ff075777291cdf65da7f6309cffb3d3e492304269bfc23a,10ef783de17954723c56011174a53ad756da7fd0fc23c8ee9d645ceebc93300c,5740611eda44302d79999ececd13dd88652219c7016a956daeb209b1f2ce607e,4aa7b3a616c2ad136c8545fa8af5e1991fb2a80c04ad1f02961055ee1d5d97e3,6c14d006bf27e347095635f61b725fbe9c4514b144a290052b23ec5c6d7b793b
"-110","70","301","101","455","215","1","3","1008201","201","2","401","980","501","1","2"
"-110","70","302","102","230","215","2","3","1008202","202","2","402","515","502","1","2"
"-110","70","303","103","230","215","3","3","1008203","203","2","403","515","503","1","1"
"-110","70","304","104","230","215","4","3","1008204","204","2","404","515","504","1","1"
"-110","78","305","105","355","233","5","3","1008205","205","2","405","787","505","1","2"
"-110","78","306","106","355","233","6","3","1008206","206","2","406","787","506","1","3"
"-110","88","307","107","345","233","7","3","1008207","207","2","407","777","507","1","3"
"-110","88","308","108","345","233","8","3","1008208","208","2","408","777","508","1","1"
"-110","88","309","109","345","233","9","3","1008209","209","2","409","777","509","1","1"
"-110","88","310","110","355","233","10","3","1008210","210","2","410","810","510","1","3"
"-110","88","311","111","345","233","11","3","1008211","211","2","411","777","511","1","2"
"-110","70","312","112","230","215","12","3","1008212","212","2","412","515","512","1","2"
"-110","78","313","113","355","233","13","3","1008213","213","2","413","810","513","1","1"
"-110","70","314","114","230","215","14","3","1008214","214","2","414","515","514","1","1"
"-110","70","315","115","230","215","15","3","1008215","215","2","415","515","515","1","3"
"-110","70","316","116","275","215","16","3","1008216","216","2","416","655","516","1","2"
"-110","70","317","117","230","215","17","3","1008217","217","2","417","515","517","1","3"
"-110","88","318","118","345","233","18","3","1008218","218","2","418","777","518","1","3"
