22325e617cf5b178c965bfaef7960ea4f0bd19c52064814cd2c7b8012e943fda,bef974a32ba384ab146e292d2ef3ae5fbee363b0361fd83a50d9493447c4a19c,81f2515de7073dd466fc1b532eba8df11d6b43a4cb921f49707915aa8a4f7ff7,dc6db54f9a8e85b6ed2e74d1e2b41d22cdc56651840b6f21aacc389eaa318895,551d7786a490fd909969c159701f31b2daf653e7f42c24a04aad8fe485450b31
"1","0","3030100","1","0"
"2","0","3050100","1","0"
"3","0","3040100","1","0"
"4","0","3020100","1","0"
"5","0","2040100","1","0"
"5","0","2040100","2","0"
"6","0","2020100","1","0"
"6","0","2020100","2","0"
"7","314","1030100","1","0"
"8","0","4030100","1","0"
"9","502","1050100","1","0"
"10","0","4020100","1","0"
"11","0","2030100","1","0"
"11","0","2030100","2","0"
"12","0","3040100","1","10301010"
"13","202","1020100","1","0"
"14","406","1040102","1","20201010"
"15","105","1010200","1","0"
"15","0","2010200","2","0"
"15","0","2010200","3","0"
"16","0","3050200","1","0"
"17","0","3040200","1","0"
"18","0","3020200","1","0"
"19","0","2040200","1","0"
"19","0","2040200","2","0"
"20","0","2020200","1","0"
"20","0","2020200","2","0"
"21","315","1030200","1","0"
"22","205","1020200","1","0"
"23","509","1050200","1","0"
"24","0","4020200","1","0"
"25","0","2030200","1","0"
"25","0","2030200","2","0"
"26","0","4030200","1","0"
"27","0","3020200","1","10101020"
"28","408","1040200","1","20201020"
"29","0","3040200","1","10101020"
"30","0","3010200","1","10101020"
"31","102","1010300","1","0"
"31","0","2010300","2","0"
"31","0","2010300","3","0"
"32","0","3050300","1","0"
"33","0","3040300","1","0"
"34","0","3020300","1","0"
"35","0","2040300","1","0"
"35","0","2040300","2","0"
"36","0","2020300","1","0"
"36","0","2020300","2","0"
"37","306","1030300","1","0"
"38","206","1020300","1","0"
"39","502","1050300","1","0"
"40","0","4020300","1","0"
"41","0","2030300","1","0"
"41","0","2030300","2","0"
"42","0","4030300","1","0"
"43","0","3020300","1","10101030"
"44","406","1040300","1","20201030"
"45","0","3010300","1","10101050"
"46","0","3040300","1","10101050"
"47","0","3030300","1","10101050"
"48","0","3010300","1","10101050"
"49","0","3020300","1","10101050"
"50","112","1010300","1","30102050"
