6eec8c63740cc732518444443275faebc0b60041bb4a02b0dc7c3d464213542d,91aa8e93b9928b3702b95170bac6bd825947fe1e6fc9d541a4214091e35bcf5b,e4c1d0d76e4b984ca9cdf4d289022413c4b572d3b920bf894ffc7c153bd0b8a6,ff85e9cc56bfb8cf841dbe117bff96e5120fbbe8041b5520ca24f31cb9cb06a0,48abb5178d399401214c535d72309238dffa01b36849d6d2a1fd7e51106a3f66,3f05c0d871cfe1ea6c2027fe200adb6cc84e4cd5517ad9dfac0cf992d4974408,fb5172d9412ac001dde95e118d4b016bf3ba4bb3151df801f2635461382c686c,d0a14a311219e637622eac54d7f40784f07b629420b9bdef9f3b068648c881d0,96e09bc0c172a12cf5dda738b158a80cf4dde64b9940d17217f073f080fd1afd,7aad62c6c6343a674b1402729e5e368eef6ab0cef598e499188bab7ef9ba1492,c01b0e016e4c3b1735ebd2ac9cc732d156962549cc7e5050a895efc56068166c,bee6e0e1fe694d9f426242bf3f7167d87def577fc54d3649a759daa87fbad3d3,b47af8189884eaf677ed68bce539d16bd56f5e8b2f2e9ab450a3ebed4452b415,7ca284c64ad4929156c5f19beeb47193abb05db8e8624a7cc3ea84416ca3098c,af5e5c8483a2fda57c7057f8ba6fc6acced99315982ce6d51e9d9d447454185a,dc669ae2fe81663614840f3397e399274711534ad235bf06fc35e530e5aac41e,5cad6a69a3387c20697586222c1aca3dde30900e16d6d0dc85a5a2d0a7f9ad5b,07e402be562cfd496b15faf84b4675fc3ae8224148ea53fef9233b066a4a7c3c,3b807bfe7cf6a24b90c6fbaac010677828c52f4996fea508af0b49bfedf80469
"1","50","0","23001","1","50","0","0","94002","80","1002200","20004","12","0","0","2000000","0","2","2"
"2","100","0","23001","51","40","0","0","94002","80","1002200","20004","12","0","0","1600000","0","2","2"
"3","200","0","23001","101","40","0","0","94002","60","1002200","20004","12","0","0","1400000","0","2","2"
"4","500","0","23001","201","35","0","0","94002","60","1002200","20004","12","0","0","1200000","0","2","2"
"5","1000","0","23001","501","35","0","0","94002","40","1002200","20004","12","0","0","1000000","0","2","2"
"6","1500","0","23001","1001","30","0","0","94002","40","1002200","20004","12","0","0","800000","0","2","2"
"7","2000","0","23001","1501","25","0","0","94002","40","1002200","20004","12","0","0","600000","0","2","2"
"8","3000","0","23001","2001","25","0","0","94002","80","1002200","20003","12","0","0","600000","0","2","2"
"9","5000","0","23001","3001","20","0","0","94002","60","1002200","20003","12","0","0","400000","0","2","2"
"10","10000","0","23001","5001","15","0","0","94002","40","1002200","20003","12","0","0","300000","0","2","2"
"11","100000","0","23001","10001","10","0","0","94002","20","1002200","20003","12","0","0","200000","0","2","2"
"12","200000","0","23001","100001","5","0","0","94002","12","1002200","20003","12","0","0","100000","0","2","2"
"13","300000","0","23001","200001","5","0","0","94002","8","1002200","20003","12","0","0","80000","0","2","2"
"14","400000","0","23001","300001","5","0","0","94002","5","1002200","20003","12","0","0","60000","0","2","2"
"15","-1","0","23001","400001","5","0","0","94002","3","1002200","20003","12","0","0","50000","0","2","2"
