6966de05db1d4c8170736a4725f8a62673e632619e3830c28aa6dbfb5cb5fd0d,72fdc980d45555fea5e1cba372140869ba2b619a5e2115c46b3d47e94609c10e,cb600c839ab7bca21d09483364df22a2c32621d3c533735bb73c8c6de72c17a9,5af18816255ab97b1ea8e38641e12607ac45336dd482cfdc74730792e7ca28c5,19414bfd51dec023079d2868b90cf0ddc87ffd70513a022a8fdfb499c45913f1,1bc91ffcbc124262d9a7df27ad292e68aa10a5bbc8ddfb88ee3092ff567cda4e
"10001","1000100","1","赤くて甘酸っぱい果物。","1","リンゴ"
"10001","1000101","2","「リンゴ」の英語読み。","1","アップル"
"10001","1000102","2","知恵の樹になると言われる果物。実はリンゴじゃなかった説もあるとかないとか。","1","きんだんのかじつ"
"10002","1000200","1","強くて黒くてムキムキ。バナナが大好きな生き物。","1","ゴリラ"
"10002","1000201","2","動物の分類のうちのひとつ。","1","れいちょうるい"
"10002","1000202","2","ゴリラの猛々しい鳴き声をあらわした擬声語。","1","うほうほ"
"10002","1000203","3","「ルナの塔」に鎮座する強力な仙猿。ゴリラではなく猿だが、親戚みたいなものなので辛うじてセーフ。","1","マスター・ウキキー"
"10003","1000300","1","特定の金管楽器をひとまとめにした呼び方。","1","ラッパ"
"10003","1000301","2","金管楽器のうちのひとつ。","1","トランペット"
"10003","1000302","2","楽器の分類のうちのひとつ。なお「サックスのれんしゅう」などのプリコネ読みは、ありそうで無い。","1","かんがっき"
"10004","1000400","1","暖かい地域で育つ、黄色くて甘酸っぱい果物。","1","パイナップル"
"10004","1000401","2","「パイナップル」のまた別の呼び方。","1","アナナス"
"10005","1000500","1","宝石の女王とも呼ばれる、鮮やかな赤色の宝石。","1","ルビー"
"10005","1000501","1","装飾品に用いられる、美しく希少価値の高い鉱物。","1","ほうせき"
"10005","1000502","2","ワインレッド色の宝石。ザクロ石とも呼ばれる。","1","ガーネット"
"10005","1000503","2","「ほうせき」の英語読み。","1","ジュエリー"
"10005","1000504","3","「ウィスタリア家」のご令嬢「アキノ」が身に着けている美しいブローチ。","1","アキノのブローチ"
"10005","1000505","3","「アキノ」の専用装備。ウィスタリア家に代々伝わる輝石。","1","こうきせきウィスタリア"
"10006","1000600","1","「ビール」なる飲み物によく似た飲み物。","1","ビールっぽいもの"
"10006","1000601","1","片っ方に取っ手のついた、飲み物用の容器。","1","ジョッキ"
"10006","1000602","3","「ユカリ」が「ビールっぽいもの」のことを、こう呼ぶ。飲ませすぎてはいけない。","1","むぎしゅわ"
"10006","1000603","3","「ユカリ」の専用装備。飲んでも飲んでもエターナルに湧き出てくる。","1","エターナルジョッキ"
"10007","1000700","1","弓と矢からなる武器。","1","ゆみや"
"10007","1000701","2","遠くから飛ばして攻撃するタイプの武器のこと。","1","とびどうぐ"
"10007","1000702","2","「矢」の英語読み。","1","アロー"
"10007","1000703","2","「弓」の英語読み。","1","ボウ"
"10008","1000800","1","音楽において音を書き表すための記号。","1","おんぷ"
"10008","1000801","1","音楽における音の流れの構造。","1","リズム"
"10008","1000802","2","「音楽」のまた別の呼び方。","1","ミュージック"
"10008","1000803","2","声を用いた音楽のこと。","1","うた"
"10008","1000804","2","音の階名を低い順に３つ並べたもの。","1","ドレミ"
"10009","1000900","1","絵の色をつけるための材料。","1","えのぐ"
"10009","1000901","2","ペースト上のものをつめる容器。","1","チューブ"
"10009","1000902","2","青色のこと。または憂鬱な様子。","1","ブルー"
"10009","1000903","2","青色の絵の具。","1","あおいえのぐ"
"10010","1001000","1","刃によって攻撃する武器の総称。","1","けん"
"10010","1001001","1","「剣」の英語読み。","1","ソード"
"10010","1001002","2","もろ刃になっている剣。","1","つるぎ"
"10010","1001003","2","刃がついている道具や武器のこと。","1","はもの"
"10010","1001004","3","「ペコリーヌ」の専用装備。ペコリーヌに更なる力を与える、『王家の装備』の真なる姿。","1","プリンセスソード"
"10011","1001100","1","視力を補正するために、目の辺りに身に着ける道具。","1","めがね"
"10011","1001101","2","眼鏡やさまざまなものに用いられる、光を屈折させるための透明な物体。","1","レンズ"
"10011","1001102","2","ビンの底のような厚いレンズの眼鏡。","1","ビンぞこめがね"
"10011","1001103","2","変装に用いられたり、外すと美人だったりする眼鏡。","1","ぐるぐるめがね"
"10011","1001104","3","ギルドハウスの管理人さん「カリン」がかけている眼鏡。","1","カリンのめがね"
"10012","1001200","1","小さいものを拡大して見るための道具。","1","むしめがね"
"10012","1001201","1","虫眼鏡やさまざまなものに用いられる、光を屈折させるための透明な物体。","1","レンズ"
"10012","1001202","1","「虫眼鏡」のまた別の呼び方。","1","ルーペ"
"10012","1001203","2","レンズを用いて、物を大きく見たり小さく見たりする操作。","1","ズーム"
"10012","1001204","3","名探偵「カスミ」が愛用する探偵道具の一つ。","1","たんていのひっすアイテム"
"10012","1001205","3","「カスミ」の専用装備。このルーペと、数々の事件を共にしてきた。","1","ディテクティブルーペ"
"10013","1001300","1","焼けばジュワっと肉汁あふれる、素敵な食材。","1","にく"
"10013","1001301","2","食材を加工して、食べるために味をつけたり整えたりしたも\nの。","1","りょうり"
"10013","1001302","2","「肉」の英語読み。","1","ミート"
"10013","1001303","2","骨についたままの肉。また、その状態のまま料理したもの。骨についているだけでなんだか美味しそうに見える。","1","ほねつきにく"
"10013","1001304","3","こんなに立派な骨付き肉、もしかするとエルピス島に存在すると噂される「ドラゴン」のものなのかもしれない。","1","ドラゴンのにく"
"10014","1001400","1","夜空に黄金に輝く美しい衛星。","1","つき"
"10014","1001401","1","まん丸に輝いた状態の月。","1","まんげつ"
"10014","1001402","2","「月」の英語読み。","1","ムーン"
"10014","1001403","2","「月」のラテン語読み。","1","ルナ"
"10014","1001404","3","特に美しく見える月。","1","めいげつ"
"10015","1001500","1","数少ない飛翔する哺乳類。血を吸うイメージだが、吸血種は極わずかしかいない。","1","こうもり"
"10015","1001501","1","「こうもり」の英語読み。","1","バット"
"10015","1001502","2","民話や伝説に登場する種族。","1","きゅうけつき"
"10015","1001503","3","幼女の頭を撫でたり抱きしめたりするだけの簡単なお仕事。","1","イリヤのけんぞく"
"10016","1001600","1","鳥類の総称。全身を羽毛に覆われ、翼で飛翔する。","1","とり"
"10016","1001601","1","ランドソル全土に現れる怪物の総称。","1","まもの"
"10016","1001602","2","「とり」の英語読み。","1","バード"
"10016","1001603","3","本に封じられていた鳥型の魔物。ハツネ・シオリ姉妹が退治した。","1","ジズ"
"10017","1001700","1","足に履く物。小石やガムなどから足の裏を護る文明の極み。","1","くつ"
"10017","1001701","1","「くつ」のまた別の呼び方。最近あんまり言わなくない？","1","ズック"
"10017","1001702","2","「くつ」の英語読み。行動速度が５くらい上がりそうな読み\n方。","1","シューズ"
"10017","1001703","2","おじさんから女子高生まで幅広く愛用されるおしゃれアイテ\nム。残念ながら煮ても食べられない。","1","かわぐつ"
"10017","1001704","2","脚を覆う長い靴。特に編み上げの物はおしゃれ度において他の追随を許さない。","1","ブーツ"
"10018","1001800","1","ネコ科の哺乳類。人間と馴染みの深い動物で、そのかわいさの前に人間はただただ無力。","1","ねこ"
"10018","1001801","1","「ねこ」の英語読み。","1","キャット"
"10018","1001802","2","虎のようなしま模様のねこ。タビーとも呼ばれる。","1","とらねこ"
"10018","1001803","2","猫を指す幼児語。意外と大人も言う。","1","にゃんこ"
"10018","1001804","3","猫たちのこと。タマキがご飯を与えているが、出費が馬鹿にならないらしい。","1","タマキのおともだち"
"10019","1001900","1","観賞用の赤く小さな魚類。縁日ですくわずにはいられないニクいやつ。","1","きんぎょ"
"10019","1001901","1","魚類の一般的な呼び方。食べると頭がよくなるという噂。","1","おさかな"
"10019","1001902","1","魚類の一般的な呼び方。年をとると肉より食べたくなるといわれている。","1","さかな"
"10019","1001903","2","金魚の一種。ずんぐりとした体型で顔がこぶ状に隆起しているのが特徴。","1","らんちゅう"
"10020","1002000","1","げっ歯類の一種。","1","ねずみ"
"10020","1002001","1","「ねずみ」の英語読み。かわいくて愛される方は大体マウス。","1","マウス"
"10020","1002002","2","ねずみの鳴き声、あるいは愛称。","1","ちゅーちゅー"
"10020","1002003","2","「ねずみ」の英語読み。科学実験に用いられる方は大体ラッ\nト。","1","ラット"
"10021","1002100","1","鳥などの雌が産む殻に包まれた球状の物体。","1","たまご"
"10021","1002101","2","「たまご」の英語読み。","1","エッグ"
"10021","1002102","2","幼い生き物。基本小さくてかわいい。","1","こども"
"10021","1002103","2","鳥のすみかで、ここで産卵を行ったりする。","1","とりのす"
"10022","1002200","1","人や物を載せて水上を進む乗り物。","1","ふね"
"10022","1002201","2","大型の船で航海すること。","1","クルージング"
"10022","1002202","2","帆を張って風力で進む船。","1","はんせん"
"10022","1002203","2","「ふね」の英語読み。","1","シップ"
