abbcba945414ef46d927375c9c4149649ce4275f9ac9907f2dbd9c2285a13fee,e4ebae773b30b06660d1e64f0c3dd75ab5b25bbfd4c997fd6f08e829a72535d8,b7eadf4a31f10e3ed3b3102cbbd206057a473f3b207ea01e5eaeca3e0f5b661d,1107ac071b13d0a8a4f72c44d9f03bf65db494899c5004579e1a7ec4111d36d7
"101","1","1","1"
"102","1","1","2"
"103","1","1","3"
"104","1","1","4"
"105","1","3","5"
"106","1","3","6"
"107","1","3","7"
"108","1","3","8"
"109","1","3","9"
"110","1","4","10"
"111","1","4","11"
"112","1","4","12"
"113","1","4","13"
"114","1","4","14"
"115","1","4","15"
"116","1","4","16"
"117","1","4","17"
"118","1","4","18"
"119","1","4","19"
"120","1","6","20"
"121","1","6","21"
"122","1","6","22"
"123","1","6","23"
"124","1","6","24"
"125","1","6","25"
"126","1","6","26"
"127","1","6","27"
"128","1","6","28"
"129","1","6","29"
"130","1","7","30"
"131","1","7","31"
"132","1","7","32"
"133","1","7","33"
"134","1","7","34"
"135","1","7","35"
"136","1","7","36"
"137","1","7","37"
"138","1","7","38"
"139","1","7","39"
"140","1","8","40"
"141","1","8","41"
"142","1","8","42"
"143","1","8","43"
"144","1","8","44"
"145","1","8","45"
"146","1","8","46"
"147","1","8","47"
"148","1","8","48"
"149","1","8","49"
"150","1","8","50"
"201","2","1","0"
"202","2","2","0"
"203","2","3","0"
"204","2","4","0"
"301","3","1","0"
"302","3","2","0"
"303","3","3","0"
"304","3","4","0"
"401","4","0","1"
"402","4","0","2"
"403","4","0","3"
"404","4","0","4"
"405","4","0","5"
"406","4","0","6"
"407","4","0","7"
"408","4","0","8"
"409","4","0","9"
"410","4","0","10"
"411","4","0","11"
"412","4","0","12"
"413","4","0","13"
"414","4","0","14"
"415","4","0","15"
"416","4","0","16"
"417","4","0","17"
"418","4","0","18"
"419","4","0","19"
"420","4","0","20"
"421","4","0","21"
"422","4","0","22"
"423","4","0","23"
"424","4","0","24"
"425","4","0","25"
"426","4","0","26"
"427","4","0","27"
"428","4","0","28"
"429","4","0","29"
"430","4","0","30"
"431","4","0","31"
"432","4","0","32"
"433","4","0","33"
"434","4","0","34"
"435","4","0","35"
"436","4","0","36"
"437","4","0","37"
"438","4","0","38"
"439","4","0","39"
"440","4","0","40"
"441","4","0","41"
"442","4","0","42"
"443","4","0","43"
"444","4","0","44"
"445","4","0","45"
"446","4","0","46"
"447","4","0","47"
"448","4","0","48"
"449","4","0","49"
"450","4","0","50"
